NUM	NUM	NUM	NUM	NUM	TEXT	TEXT	FLOAT	FLOAT	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM
编号	随机编号	attr编号	逻辑表编号	阵营编号	名称	称号	x轴坐标	z轴坐标	朝向	脚本编号	重生时间	分组编号	队伍编号	基础AI	AI文件	巡逻路径	商店0	商店1	商店2	商店3	名誉ID	等级	镜像组
0	1505229	9809	-1	21	伯里斯	顿河之王爪牙	55.5	230	5	300619	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	80	0	
1	1505230	2604	101217	-1	莫斯科公国	领地传送人	169	122	27	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	100	0	
2	1505231	2107	400390	-1	伊万诺夫	莫斯科公爵	169.630936	37.236923	27	-1	1000	-1	-1	5	0	-1	-1	-1	-1	-1	-1	80	0	
3	1505232	2135	400391	20	侍卫长谢廖沙		167.288239	70.020309	28	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	80	0	
4	1505233	2138	400394	20	列昂尼德	教皇使者	172.088638	73.958008	9	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	80	0	
5	1505234	2106	400402	20	教皇使者侍从		173.880188	76.083557	9	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	80	0	
6	1505235	2160	400397	20	莫斯科接待官		170.046097	70.225021	27	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	80	0	
7	1505236	417	400393	20	财务官维克多		165.940002	38.822079	0	0	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	80	0	
8	1505237	1631	400392	20	诗人安东尼		203.533844	61.074886	18	0	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	80	0	
9	1505238	2109	400395	20	波兰商人罗伯特		166.629044	73.934563	9	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	80	0	
10	1505239	1632	400396	20	“酒鬼”马丁		201.432678	85.305153	9	0	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	80	0	
11	1505240	2161	400401	20	莫斯科士兵		162.866135	112.790924	27	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	80	0	
12	1505241	2161	400399	20	莫斯科士兵		173.932846	112.868378	27	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	80	0	
13	1505240	2161	400401	20	莫斯科士兵		162.307526	36.155037	27	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	80	0	
14	1505241	2161	400399	20	莫斯科士兵		177.427673	36.118874	27	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	80	0	
15	1505244	2161	400401	20	莫斯科士兵		115.173523	68.10746	18	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	80	0	
16	1505245	2161	400399	20	莫斯科士兵		115.622467	78.106308	18	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	80	0	
17	1505249	2162	400399	20	莫斯科士兵		159.85849	67.364304	27	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	80	0	
18	1505250	2162	400401	20	莫斯科士兵		160.500122	55.419373	27	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	80	0	
19	1505251	2162	400399	20	莫斯科士兵		178.509537	55.505959	27	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	80	0	
20	1505257	2162	400401	20	莫斯科士兵		179.121048	67.568146	27	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	80	0	
21	1505258	168	-1	20	 	 	175.209122	77.587967	9	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	80	0	
22	1505259	2214	-1	21	西伯利亚虎		120.757126	212.475571	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	80	0	
23	1505260	2214	-1	21	西伯利亚虎		57.582794	114.435287	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	80	0	
24	1505262	2214	-1	21	西伯利亚虎		220.920746	206.294495	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	80	0	
25	1505263	2214	-1	21	西伯利亚虎		208.415451	145.649109	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	80	0	
26	1505264	2214	-1	21	西伯利亚虎		195.316254	169.491089	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	80	0	
27	1505265	2214	-1	21	西伯利亚虎		153.863022	223.034943	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	80	0	
28	1505266	2214	-1	21	西伯利亚虎		75.49202	81.883659	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	80	0	
29	1505267	2214	-1	21	西伯利亚虎		42.946884	41.423126	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	80	0	
30	1505269	2214	-1	21	西伯利亚虎		40.492531	89.039024	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	80	0	
31	1505270	2214	-1	21	西伯利亚虎		145.394974	160.182816	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	80	0	
32	1505271	2214	-1	21	西伯利亚虎		176.639511	209.781815	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	80	0	
33	1505272	2215	-1	21	莫斯科棕熊		37.330429	184.344864	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	80	0	
34	1505273	2215	-1	21	莫斯科棕熊		28.890244	144.078323	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	80	0	
35	1505274	2215	-1	21	莫斯科棕熊		121.593735	141.837753	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	80	0	
36	1505275	2215	-1	21	莫斯科棕熊		45.814445	162.372467	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	80	0	
37	1505277	2215	-1	21	莫斯科棕熊		76.734032	225.219543	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	80	0	
38	1505278	2215	-1	21	莫斯科棕熊		98.272186	200.74147	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	80	0	
39	1505279	2215	-1	21	莫斯科棕熊		79.216057	162.43013	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	80	0	
40	1505280	2215	-1	21	莫斯科棕熊		113.412369	170.288696	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	80	0	
41	1505282	2215	-1	21	莫斯科棕熊		142.424454	140.805588	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	80	0	
42	1505283	2215	-1	21	莫斯科棕熊		224.917145	122.958755	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	80	0	
43	1505284	2215	-1	21	莫斯科棕熊		81.020256	112.44101	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	80	0	
44	1505285	2214	-1	21	西伯利亚虎		121.22052	211.270218	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	80	0	
45	1505286	2214	-1	21	西伯利亚虎		56.88472	114.735596	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	80	0	
46	1505287	2214	-1	21	西伯利亚虎		44.294777	41.56176	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	80	0	
47	1505288	2214	-1	21	西伯利亚虎		221.070313	208.87471	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	80	0	
48	1505289	2214	-1	21	西伯利亚虎		210.184158	147.890228	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	80	0	
49	1505290	2214	-1	21	西伯利亚虎		194.032791	167.254578	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	80	0	
50	1505291	2214	-1	21	西伯利亚虎		155.853958	222.000488	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	80	0	
51	1505292	2214	-1	21	西伯利亚虎		75.116837	82.154099	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	80	0	
52	1505293	2214	-1	21	西伯利亚虎		39.391457	42.416542	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	80	0	
53	1505295	2214	-1	21	西伯利亚虎		42.109169	87.542206	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	80	0	
54	1505296	2214	-1	21	西伯利亚虎		144.503006	160.253464	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	80	0	
55	1505297	2214	-1	21	西伯利亚虎		178.843048	206.958618	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	80	0	
56	1505298	2215	-1	21	莫斯科棕熊		37.107445	181.819885	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	80	0	
57	1505299	2215	-1	21	莫斯科棕熊		29.99044	145.111633	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	80	0	
58	1505300	2215	-1	21	莫斯科棕熊		118.901657	140.232224	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	80	0	
59	1505301	2215	-1	21	莫斯科棕熊		47.651352	162.281265	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	80	0	
60	1505303	2215	-1	21	莫斯科棕熊		75.889832	222.592468	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	80	0	
61	1505304	2215	-1	21	莫斯科棕熊		99.081665	199.242035	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	80	0	
62	1505305	2215	-1	21	莫斯科棕熊		79.607635	164.236557	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	80	0	
63	1505306	2215	-1	21	莫斯科棕熊		112.819214	172.863342	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	80	0	
64	1505308	2215	-1	21	莫斯科棕熊		144.502792	139.604202	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	80	0	
65	1505309	2215	-1	21	莫斯科棕熊		224.181	125.436226	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	80	0	
66	1505310	2215	-1	21	莫斯科棕熊		79.77787	112.412445	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	80	0	
67	1505311	2214	-1	21	西伯利亚虎		120.425735	209.745483	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	80	0	
