NUM	NUM	NUM	NUM	NUM	TEXT	TEXT	FLOAT	FLOAT	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM
±àºÅ	Ëæ»ú±àºÅ	attr±àºÅ	Âß¼­±í±àºÅ	ÕóÓª±àºÅ	Ãû³Æ	³ÆºÅ	xÖá×ø±ê	zÖá×ø±ê	³¯Ïò	½Å±¾±àºÅ	ÖØÉúÊ±¼ä	·Ö×é±àºÅ	¶ÓÎé±àºÅ	»ù´¡AI	AIÎÄ¼þ	Ñ²ÂßÂ·¾¶	ÉÌµê0	ÉÌµê1	ÉÌµê2	ÉÌµê3	ÃûÓþID	µÈ¼¶	¾µÏñ×é
0	15052370	2602	131050	-1	À¥ÂØÁÔ³¡	À¥ÂØÍõ¹ú´«ËÍÈË	48.5	216.5	9	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	20	0	
1	15052371	11992	131000	-1	ÐÛÓ¥³¤ÀÏ	À¥ÂØÏÈÏÍ	40.599854	211.400665	35	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	20	0	
2	15052372	12000	131001	-1	ÖÇÕß¹þ´ï		40.720306	203.221695	33	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	20	0	
3	15052373	11980	131002	-1	µ¶Ö®Áé		64.14109	163.473801	16	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	20	0	
4	15052374	11981	131003	-1	½£Ö®Áé		63.689083	159.838058	16	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	20	0	
5	15052375	11982	131004	-1	Ç¹Ö®Áé		63.621689	156.037262	20	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	20	0	
6	15052376	11983	131005	-1	¹­Ö®Áé		76.78447	156.320587	20	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	20	0	
7	15052377	11984	131006	-1	é³Ö®Áé		65.228241	149.952698	20	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	20	0	
8	15052378	11985	131007	-1	ÕÈÖ®Áé		65.608459	166.51619	24	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	20	0	
9	15052379	11986	131008	-1	Ã¬Ö®Áé		76.057297	163.828445	24	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	20	0	
10	15052380	11987	131009	-1	ÁîÖ®Áé		74.77916	166.762512	24	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	20	0	
11	15052381	11988	131010	-1	åóÖ®Áé		76.757423	160.253815	0	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	20	0	
12	15052382	11989	131011	-1	ï¥Ö®Áé		76.289185	153.118469	28	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	20	0	
13	15052383	11990	131012	-1	á¦Ö®Áé		75.142258	150.266144	28	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	20	0	
14	15052384	11991	131013	-1	Ê¥Ê®×ÖÖ®Áé		64.233223	152.79213	32	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	20	0	
15	15052385	11994	131014	-1	²ÔÀÇ³¤ÀÏ	À¥ÂØÏÈÏÍ	70.282097	162.929977	27	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	20	0	
16	15052386	11995	131015	-1	Ä¾Í¼	°×Â¹³¤ÀÏµÄËæ´Ó	102	93	1	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	20	0	
17	15052387	11996	131016	-1	°×Â¹³¤ÀÏ	À¥ÂØÏÈÏÍ	148.629837	102.752975	30	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	20	0	
18	15052389	11960	131018	-1	ÌúÎä	ÐÂ±ø¾üÐè¹Ù	217	134	12	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	20	0	
19	15052391	11960	131026	-1	ÌúÁ¦	ÐÂ±ø½Ì¹Ù	219.915924	126.462502	18	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	20	0	
20	15052398	11956	131029	-1	ÌÕÈç¸ñ		50.569855	197.129333	7	-1	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	20	0	
21	15052406	11957	131030	-1	ÖéÀ¼ÆäÆä¸ñ	ÐÛÓ¥³¤ÀÏÖ®Å®	42.623703	216.399536	5	-1	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	20	0	
22	15052416	11960	131025	-1	Ìú»¢	À¥ÂØÕ÷±øÐ£Î¾	215	130	16	-1	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	20	0	
23	15052427	11965	131034	-1	º½ÐÂ		51.905426	195.72139	7	-1	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	20	0	
24	15052468	11954	131037	20	½ð»¢	À¥ÂØÓÒ¶¼Î¾	220.177582	61.890297	25	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	20	0	
25	8699010	11971	-1	21	²ÝÔ­ÀÇ		28.439247	99.458717	16	-1	1000	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	6	0	
26	8699013	11971	-1	21	²ÝÔ­ÀÇ		102.483978	66.941582	16	-1	1000	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	6	0	
27	8699017	11971	-1	21	²ÝÔ­ÀÇ		37.858486	94.892044	18	-1	1000	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	6	0	
28	8699019	11971	-1	21	²ÝÔ­ÀÇ		71.005814	109.367653	18	-1	1000	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	6	0	
29	8699028	11971	-1	21	²ÝÔ­ÀÇ		93.964478	68.019646	16	-1	1000	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	6	0	
30	8699031	11971	-1	21	²ÝÔ­ÀÇ		58.032791	61.236607	16	-1	1000	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	6	0	
31	8699050	11971	-1	21	²ÝÔ­ÀÇ		112.460999	58.786869	18	-1	1000	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	6	0	
32	8699052	11971	-1	21	²ÝÔ­ÀÇ		68.798058	104.389046	16	-1	1000	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	6	0	
33	8699057	11971	-1	21	²ÝÔ­ÀÇ		97.3862	44.515957	18	-1	1000	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	6	0	
