NUM	NUM	NUM	NUM	NUM	TEXT	TEXT	FLOAT	FLOAT	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM
编号	随机编号	attr编号	逻辑表编号	阵营编号	名称	称号	x轴坐标	z轴坐标	朝向	脚本编号	重生时间	分组编号	队伍编号	基础AI	AI文件	巡逻路径	商店0	商店1	商店2	商店3	名誉ID	等级	镜像组
0	15053887	2298	101303	-1	秦岭	领地传送人	100	100	27	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	100	0	
1	15053891	9802	-1	21	完颜斌	平原之王爪牙	36.273575	35.706669	32	300619	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	55	0	
2	15054072	5928	400216	20	万人敌	盐帮武师	90.2911	100.394051	32	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	55	0	
3	15054073	5928	400216	20	常百胜	盐帮武师	87.958649	103.365715	32	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	55	0	
4	15054074	5928	400216	20	刘长拳	盐帮武师	82.446739	102.363411	32	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	55	0	
5	15054075	5928	400216	20	屠一刀	盐帮武师	88.609444	95.36116	32	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	55	0	
6	15054090	5926	-1	21	青龙寨山贼		85.143127	223.981522	9	300640	10000	-1	-1	6	0	-1	-1	-1	-1	-1	-1	55	0	
7	15054091	5926	-1	21	青龙寨山贼		92.893898	224.208496	9	300640	10000	-1	-1	6	0	-1	-1	-1	-1	-1	-1	55	0	
8	15054092	5926	-1	21	青龙寨山贼		81.068184	198.759888	9	300640	10000	-1	-1	6	0	-1	-1	-1	-1	-1	-1	55	0	
9	15054093	5926	-1	21	青龙寨山贼		98.273727	201.595978	9	300640	10000	-1	-1	6	0	-1	-1	-1	-1	-1	-1	55	0	
10	15054094	5926	-1	21	青龙寨山贼		76.393692	222.934769	8	300640	10000	-1	-1	6	0	-1	-1	-1	-1	-1	-1	55	0	
11	15054095	5926	-1	21	青龙寨山贼		73.92746	220.607651	0	300640	10000	-1	-1	6	0	-1	-1	-1	-1	-1	-1	55	0	
12	15054096	5926	-1	21	青龙寨山贼		79.325546	221.43367	16	300640	10000	-1	-1	6	0	-1	-1	-1	-1	-1	-1	55	0	
13	15054118	9515	-1	21	山魈		29.169365	210.043869	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	55	0	
14	15054119	9515	-1	21	山魈		29.213116	209.623901	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	55	0	
15	15054120	5926	-1	21	青龙寨山贼		71.106506	212.046204	0	300640	10000	-1	-1	6	0	-1	-1	-1	-1	-1	-1	55	0	
16	15054121	9515	-1	21	山魈		30.804424	210.964218	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	55	0	
17	15054122	9515	-1	21	山魈		29.097324	209.637421	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	55	0	
18	15054123	9515	-1	21	山魈		30.43539	210.987152	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	55	0	
19	15054124	9515	-1	21	山魈		28.197071	209.568436	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	55	0	
20	15054125	5926	-1	21	青龙寨山贼		95.113373	217.254761	13	300640	10000	-1	-1	6	0	-1	-1	-1	-1	-1	-1	55	0	
21	15054126	9515	-1	21	山魈		29.35458	208.88446	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	55	0	
22	15054127	9515	-1	21	山魈		28.965744	208.260117	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	55	0	
23	15054128	9515	-1	21	山魈		28.712372	207.773804	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	55	0	
24	15054129	9515	-1	21	山魈		29.770519	210.037659	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	55	0	
25	15054130	9515	-1	21	山魈		29.090321	208.330383	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	55	0	
26	15054131	9515	-1	21	山魈		29.102169	208.399536	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	55	0	
27	15054132	9515	-1	21	山魈		28.59333	208.05278	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	55	0	
28	15054133	9515	-1	21	山魈		32.678879	164.410049	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	55	0	
29	15054134	9515	-1	21	山魈		32.778877	164.410049	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	55	0	
30	15054135	9515	-1	21	山魈		32.87888	164.310043	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	55	0	
31	15054136	9515	-1	21	山魈		32.87888	164.510056	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	55	0	
32	15054137	9515	-1	21	山魈		32.87888	164.410049	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	55	0	
33	15054138	9515	-1	21	山魈		32.978878	164.410049	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	55	0	
34	15054139	9515	-1	21	山魈		32.978878	164.210052	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	55	0	
35	15054140	9515	-1	21	山魈		32.978878	164.610046	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	55	0	
