NUM	NUM	NUM	NUM	NUM	TEXT	TEXT	FLOAT	FLOAT	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM
±àºÅ	Ëæ»ú±àºÅ	attr±àºÅ	Âß¼­±í±àºÅ	ÕóÓª±àºÅ	Ãû³Æ	³ÆºÅ	xÖá×ø±ê	zÖá×ø±ê	³¯Ïò	½Å±¾±àºÅ	ÖØÉúÊ±¼ä	·Ö×é±àºÅ	¶ÓÎé±àºÅ	»ù´¡AI	AIÎÄ¼þ	Ñ²ÂßÂ·¾¶	ÉÌµê0	ÉÌµê1	ÉÌµê2	ÉÌµê3	ÃûÓþID	µÈ¼¶	¾µÏñ×é
0	15052906	3643	-1	21	Ì¤Ñ©°×ÐÜ		227.752045	110.869911	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	40	0	
1	15052907	3643	-1	21	Ì¤Ñ©°×ÐÜ		227.630035	110.881828	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	40	0	
2	15052909	3643	-1	21	Ì¤Ñ©°×ÐÜ		227.697845	110.937119	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	40	0	
3	15052910	3643	-1	21	Ì¤Ñ©°×ÐÜ		217.089172	158.790619	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	40	0	
4	15052911	3643	-1	21	Ì¤Ñ©°×ÐÜ		219.464569	133.410828	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	40	0	
5	15052914	3643	-1	21	Ì¤Ñ©°×ÐÜ		219.640976	133.190964	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	40	0	
6	15052918	3643	-1	21	Ì¤Ñ©°×ÐÜ		232.790955	145.121719	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	40	0	
7	15052919	3643	-1	21	Ì¤Ñ©°×ÐÜ		232.874649	145.30365	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	40	0	
8	15052920	3643	-1	21	Ì¤Ñ©°×ÐÜ		219.04863	133.176712	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	40	0	
9	15052925	13640	-1	20	 	 	233.988647	121.055038	0	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	40	0	
10	15052929	163	-1	20	 	 	71.88665	213.170319	16	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	40	0	
11	15052937	6	136027	20	ÕÔµÂ²ý	´å³¤	74.261604	234.182953	7	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	40	0	
12	15052953	19	136028	20	ÕÔ´äÔÆ	´å³¤Å®¶ù	83.85611	230.967468	24	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	40	0	
13	15052954	31	136034	20	Ðþ¿Õ	ÉÙÁÖºÍÉÐ	67.487885	203.658997	28	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	40	0	
14	15052955	13	136035	20	Ã÷³½	ÉÙÁÖºÍÉÐ	68.644844	202.404022	26	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	40	0	
15	15052956	13	136036	20	Ã÷Õæ	ÉÙÁÖºÍÉÐ	66.133636	202.649719	30	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	40	0	
16	15052957	89	136029	20	¹ÈÂú²Ö	Å©·ò	71.77903	215.006119	14	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	40	0	
17	15052958	90	136030	20	ÕÔÍ®ÔÆ	´å³¤Å®¶ù	65.794182	232.211868	2	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	40	0	
18	15052959	92	136050	20	ÁõÆÅÆÅ	´å³¤·òÈË	66.989716	232.759888	4	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	40	0	
19	15053064	4	136032	20	¹ÈÓÐÅ£	Å©·ò	56.999969	219.107376	0	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	40	0	
20	15052995	3642	-1	21	»¨Á³É½÷Ì	 	127.289818	225.385162	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	40	0	
21	15052996	3642	-1	21	»¨Á³É½÷Ì	 	150.892624	185.937943	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	40	0	
22	15052997	3642	-1	21	»¨Á³É½÷Ì	 	101.218124	199.070938	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	40	0	
23	15052998	3642	-1	21	»¨Á³É½÷Ì	 	127.085114	224.654251	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	40	0	
24	15052999	3642	-1	21	»¨Á³É½÷Ì	 	126.415749	224.537415	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	40	0	
25	15053000	3642	-1	21	»¨Á³É½÷Ì	 	127.084099	225.258301	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	40	0	
26	15053001	3642	-1	21	»¨Á³É½÷Ì	 	101.088318	199.13678	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	40	0	
27	15053002	3642	-1	21	»¨Á³É½÷Ì	 	100.82119	198.979492	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	40	0	
28	15053003	3642	-1	21	»¨Á³É½÷Ì	 	100.907196	199.016647	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	40	0	
29	15053004	3642	-1	21	»¨Á³É½÷Ì	 	100.806244	198.93367	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	40	0	
30	15053005	3642	-1	21	»¨Á³É½÷Ì	 	101.120461	198.988129	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	40	0	
