NUM	NUM	NUM	NUM	NUM	TEXT	TEXT	FLOAT	FLOAT	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM
编号	随机编号	attr编号	逻辑表编号	阵营编号	名称	称号	x轴坐标	z轴坐标	朝向	脚本编号	重生时间	分组编号	队伍编号	基础AI	AI文件	巡逻路径	商店0	商店1	商店2	商店3	名誉ID	等级	镜像组
0	472	28100	400106	20	穆马	草原牧马人	215.149002	197.449997	21	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	20	0	
1	486	28104	400108	20	游吟歌手奈勒台		198.618027	213.787537	8	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	20	0	
2	489	28106	400113	20	穆仰	草原牧羊人	150.590927	106.845627	32	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	20	0	
3	490	5819	400100	20	大萨满吉伊台		210.54364	211.729843	15	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	20	0	
4	496	28102	400103	20	蒙古勇士		186.224548	198.089752	12	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	20	0	
5	537	28100	400114	20	猎人乌斯台		191.428024	207.481216	4	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	20	0	
6	542	28129	-1	20	 		215.949234	192.454849	25	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	20	0	
7	544	28122	-1	20	 		214.746429	192.094681	26	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	20	0	
8	558	28119	-1	20	 		154	101.946198	24	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	20	0	
9	559	28119	-1	20	 		160.356888	106.105087	12	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	20	0	
10	560	28119	-1	20	 		155.839569	106.610886	20	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	20	0	
11	561	28119	-1	20	 		163.021927	105.215897	8	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	20	0	
12	562	28119	-1	20	 		163.029678	101.855598	0	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	20	0	
13	567	28102	400103	20	蒙古勇士		194.425827	191.272858	12	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	20	0	
14	15052370	2604	101210	20	塔塔尔部	王国草原传送人	200	200	27	0	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	100	0	
15	551	28119	-1	20	 		154.243607	102.838211	0	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	20	0	
16	15052372	5838	-1	21	塔塔尔雪猿		220.821503	79.911308	0	0	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	20	0	
17	15052373	5838	-1	21	塔塔尔雪猿		208.762604	39.601677	0	0	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	20	0	
