NUM	NUM	NUM	NUM	NUM	TEXT	TEXT	FLOAT	FLOAT	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM
±àºÅ	Ëæ»ú±àºÅ	attr±àºÅ	Âß¼­±í±àºÅ	ÕóÓª±àºÅ	Ãû³Æ	³ÆºÅ	xÖá×ø±ê	zÖá×ø±ê	³¯Ïò	½Å±¾±àºÅ	ÖØÉúÊ±¼ä	·Ö×é±àºÅ	¶ÓÎé±àºÅ	»ù´¡AI	AIÎÄ¼þ	Ñ²ÂßÂ·¾¶	ÉÌµê0	ÉÌµê1	ÉÌµê2	ÉÌµê3	ÃûÓþID	µÈ¼¶	¾µÏñ×é
0	1505229	9817	-1	21	Ò×ÆÍÀ­ÐÁ	Ìõ¶ÙÖ®Íõ×¦ÑÀ	61	224	5	300619	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	110	0	
1	15052370	2604	101309	-1	Î÷ÄÎ°ëµº	ÁìµØ´«ËÍÈË	51	43	27	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	100	0	
2	14	28526	400586	20	ÂõºÕµÏ	Î÷ÄÎÐÐÊ¡Ê¡³¤	43.576397	42.506474	18	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	110	0	
3	15	1606	400584	20	°¢ÔúÄ¾	°£¼°ËÕµ¤´ó³¼	40.815674	40.461845	32	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	110	0	
4	13	1356	400585	20	Âí¹þÃ¯µÂ	°£¼°ËÕµ¤	38.451572	42.569679	0	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	110	0	
5	39	1939	400587	20	ÈüÒåµÂ	Î÷ÄÎ´ó°¢Ùê	47.148136	195.941452	0	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	110	0	
6	57	1939	400588	20	ÈüÒåÈø	Î÷ÄÎ´ó°¢Ùê	208.107254	142.505234	18	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	110	0	
7	73	37	400589	20	ÂóÌáÄá	Î÷ÄÎ°¢Ùê	210.26947	144.146255	18	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	110	0	
8	74	37	400590	20	Èø²·¶û	Î÷ÄÎ°¢Ùê	210.374603	140.259995	18	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	110	0	
9	75	37	400590	20	Íß¹þ²·	Î÷ÄÎ°¢Ùê	45.965313	193.626083	0	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	110	0	
10	36	1360	400596	20	ÆëÑÅµÂ	Î÷ÄÎ¾ÓÃñ	205.557892	137.392593	28	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	110	0	
11	40	1360	400597	20	ÔúÏ£µÂ	Î÷ÄÎ¾ÓÃñ	154.469009	198.095352	16	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	110	0	
12	63	1360	400598	20	Íß¼ª¹þ	Î÷ÄÎ¾ÓÃñ	37.573193	60.098881	30	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	110	0	
13	64	1301	400599	20	ÈüÒåµÂ	Î÷ÄÎ¾ÓÃñ	38.674217	61.608471	12	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	110	0	
14	65	933	400596	20	ÈøÀïÒ®	Î÷ÄÎ¾ÓÃñ	53.814747	69.422775	27	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	110	0	
15	41	3605	400597	20	Èø·Ñ	Î÷ÄÎ¾ÓÃñ	204.84436	139.473099	0	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	110	0	
16	42	1362	400598	20	ËþÏ£¶û	Î÷ÄÎ¾ÓÃñ	203.511505	140.957214	0	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	110	0	
