NUM	NUM	NUM	NUM	NUM	TEXT	TEXT	FLOAT	FLOAT	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM
±àºÅ	Ëæ»ú±àºÅ	attr±àºÅ	Âß¼­±í±àºÅ	ÕóÓª±àºÅ	Ãû³Æ	³ÆºÅ	xÖá×ø±ê	zÖá×ø±ê	³¯Ïò	½Å±¾±àºÅ	ÖØÉúÊ±¼ä	·Ö×é±àºÅ	¶ÓÎé±àºÅ	»ù´¡AI	AIÎÄ¼þ	Ñ²ÂßÂ·¾¶	ÉÌµê0	ÉÌµê1	ÉÌµê2	ÉÌµê3	ÃûÓþID	µÈ¼¶	¾µÏñ×é
0	1505229	9812	-1	21	Íþ¶ûË¹	ÏÊÑªÖ®Íõ×¦ÑÀ	137	16	24	300619	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	90	0	
1	15052370	2604	101218	-1	ÐÙÑÀÀûÍõ¹ú	ÁìµØ´«ËÍÈË	204	74	18	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	100	0	
2	3	42	400460	20	±ËµÃÉñ¸¦		200.901733	193.38649	22	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	90	0	
3	4	66	400461	20	À­Î¬ÄÈ		196.657898	193.356079	32	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	90	0	
4	5	65	400462	20	ËÕ·Æ		198.086075	196.975174	8	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	90	0	
5	6	67	400463	20	ÂêÀöÑÇ		196.370667	191.693253	32	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	90	0	
6	7	69	400464	20	°ÂÍÐ		232.674561	200.65274	8	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	90	0	
7	9	77	400465	20	·ÑÂ×´Ä		201.020157	197.442795	8	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	90	0	
8	11	76	400466	20	½ð¿­ÎÄ		197.025024	196.201889	4	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	90	0	
9	12	79	400467	20	¸¥À×µÂ		231.422394	200.537094	8	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	90	0	
10	13	79	400468	20	°¢ÅÁµÂ		202.145111	197.105972	12	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	90	0	
11	16	65	400469	20	ÒÁÉ¯±´À­		186.442078	21.933096	0	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	90	0	
12	19	66	400470	20	ÌØÀ×Î÷	±£ÂÞÖ®Ä¸	189.130997	21.776094	16	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	90	0	
13	20	67	400471	20	Âê¸ñÀöÌØ	Ô¼Éª·òÖ®ÆÞ	217.317017	64.474075	24	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	90	0	
14	21	68	400472	20	·ÑµÏÄÏ	Ô¼Éª·òÖ®×Ó	216.343735	67.722	20	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	90	0	
15	22	69	400473	20	±£ÂÞ		189.182053	23.365068	36	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	90	0	
16	24	77	400475	20	°²µÂÁÒ		191.473038	72.929436	32	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	90	0	
17	25	78	400489	20	ÎÄ²É¶û	À­¶¡ÎÄÀÏÊ¦	216.417404	85.691483	9	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	90	0	
18	26	79	400477	20	²éÀí		191.468124	76.064857	4	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	90	0	
19	32	1915	400478	20	°¢¿üÄÇ	Ä¹µØÊØÒ¹ÈË	209.97049	222.136597	8	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	90	0	
20	84	65	400487	20	°²ÂüÄÝ	¹«¾ô·òÈË	28.79084	25.94289	28	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	90	0	
21	85	68	400488	20	±«¶û	¹«¾ôÖ®×Ó	29.169903	29.772198	0	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	90	0	
22	91	76	400474	20	Ô¼Éª·ò		214.557068	64.40612	32	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	90	0	
23	92	78	400476	20	ÂíÐÞ		205.405457	23.466572	18	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	90	0	
24	39	16031	400484	20	Â·Ò×	Ê®×Ö¾üÍÅ³¤	22.234325	168.039398	0	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	90	0	
25	71	2146	400483	20	±´À­¹«¾ô		74.833366	103.43187	9	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	90	0	
26	47	2135	400479	20	¹«¾ôÆïÊ¿		63.861969	117.723549	9	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	90	0	
27	53	2135	400480	20	¹«¾ôÆïÊ¿		67.408516	87.865005	9	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	90	0	
28	54	2135	400481	20	¹«¾ôÆïÊ¿		85.404709	117.836212	9	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	90	0	
29	55	2135	400482	20	¹«¾ôÆïÊ¿		89.613441	103.998283	18	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	90	0	
30	56	2135	400479	20	¹«¾ôÆïÊ¿		87.598129	81.840508	9	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	90	0	
31	57	2135	400480	20	¹«¾ôÆïÊ¿		60.891903	104.113922	0	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	90	0	
32	58	2135	400481	20	¹«¾ôÆïÊ¿		79.82531	94.752785	18	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	90	0	
33	59	2135	400482	20	¹«¾ôÆïÊ¿		66.651978	79.476921	0	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	90	0	
34	60	2135	400479	20	¹«¾ôÆïÊ¿		78.485748	105.04171	9	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	90	0	
35	61	2135	400480	20	¹«¾ôÆïÊ¿		71.099953	104.936989	9	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	90	0	
36	62	2135	400481	20	¹«¾ôÆïÊ¿		61.346325	96.366653	0	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	90	0	
37	63	2135	400482	20	¹«¾ôÆïÊ¿		89.47551	96.328056	18	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	90	0	
38	64	2135	400479	20	¹«¾ôÆïÊ¿		38.748165	48.955868	5	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	90	0	
39	65	2135	400480	20	¹«¾ôÆïÊ¿		92.709229	81.847473	9	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	90	0	
40	66	2135	400481	20	¹«¾ôÆïÊ¿		68.561043	94.632378	0	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	90	0	
41	67	2135	400482	20	¹«¾ôÆïÊ¿		66.640213	83.670349	0	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	90	0	
42	38	16031	400485	20	Ê®×Ö¾üÆïÊ¿		24.17835	156.517792	32	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	90	0	
43	75	16031	400485	20	Ê®×Ö¾üÆïÊ¿		24.304083	178.467178	6	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	90	0	
44	76	16031	400486	20	Ê®×Ö¾üÆïÊ¿		21.504179	161.478714	34	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	90	0	
45	77	16031	400486	20	Ê®×Ö¾üÆïÊ¿		41.949532	161.212341	36	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	90	0	
46	78	16031	400486	20	Ê®×Ö¾üÆïÊ¿		21.899727	174.075241	4	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	90	0	
47	79	16031	400485	20	Ê®×Ö¾üÆïÊ¿		42.883495	172.412964	2	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	90	0	
48	80	2135	400479	20	¹«¾ôÆïÊ¿		80.98996	87.997696	9	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	90	0	
49	81	2135	400480	20	¹«¾ôÆïÊ¿		50.179855	61.567947	1	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	90	0	
50	82	2135	400481	20	¹«¾ôÆïÊ¿		53.30574	58.611988	25	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	90	0	
51	83	2135	400482	20	¹«¾ôÆïÊ¿		41.815994	45.972881	22	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	90	0	
52	86	1154	-1	20	 		31.486914	29.867247	20	0	10000	-1	-1	2	0	-1	-1	-1	-1	-1	-1	90	0	
53	88	1154	-1	20	 		31.21875	28.78463	20	0	10000	-1	-1	2	0	-1	-1	-1	-1	-1	-1	90	0	
54	89	1154	-1	20	 		214.712769	67.784782	0	0	10000	-1	-1	2	0	-1	-1	-1	-1	-1	-1	90	0	
55	90	168	-1	20	 		208.241394	22.500713	18	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	90	0	
56	41	167	-1	20	 		28.356701	154.761185	27	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	90	0	
57	42	168	-1	20	 		31.778915	154.512268	27	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	90	0	
58	43	169	-1	20	 		30.108673	154.68013	27	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	90	0	
59	44	170	-1	20	 		29.273544	181.059006	9	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	90	0	
60	45	171	-1	20	 		31.475821	181.078506	9	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	90	0	
61	46	172	-1	20	 		33.245117	181.105423	9	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	90	0	
62	93	2222	-1	21	ÅËÅµÄáÑÇ°×ÀÇ		140.459579	29.789278	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	90	0	
63	94	2222	-1	21	ÅËÅµÄáÑÇ°×ÀÇ		125.052681	23.463173	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	90	0	
64	95	2222	-1	21	ÅËÅµÄáÑÇ°×ÀÇ		124.784721	23.88084	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	90	0	
65	96	2222	-1	21	ÅËÅµÄáÑÇ°×ÀÇ		124.630974	23.629112	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	90	0	
66	97	2222	-1	21	ÅËÅµÄáÑÇ°×ÀÇ		124.325256	23.37501	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	90	0	
67	98	2222	-1	21	ÅËÅµÄáÑÇ°×ÀÇ		125.253975	23.35124	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	90	0	
68	99	2222	-1	21	ÅËÅµÄáÑÇ°×ÀÇ		125.488159	23.461758	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	90	0	
69	100	2222	-1	21	ÅËÅµÄáÑÇ°×ÀÇ		125.016472	23.534834	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	90	0	
70	101	2222	-1	21	ÅËÅµÄáÑÇ°×ÀÇ		124.669044	23.745489	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	90	0	
71	102	2222	-1	21	ÅËÅµÄáÑÇ°×ÀÇ		125.220993	23.800421	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	90	0	
72	103	2222	-1	21	ÅËÅµÄáÑÇ°×ÀÇ		125.090477	23.580439	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	90	0	
73	104	2222	-1	21	ÅËÅµÄáÑÇ°×ÀÇ		141.043259	29.893711	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	90	0	
74	105	2222	-1	21	ÅËÅµÄáÑÇ°×ÀÇ		102.462158	37.467606	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	90	0	
75	106	2222	-1	21	ÅËÅµÄáÑÇ°×ÀÇ		140.65686	29.687334	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	90	0	
76	107	2222	-1	21	ÅËÅµÄáÑÇ°×ÀÇ		141.92041	29.953056	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	90	0	
77	108	2222	-1	21	ÅËÅµÄáÑÇ°×ÀÇ		141.528885	29.389385	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	90	0	
78	109	2222	-1	21	ÅËÅµÄáÑÇ°×ÀÇ		141.155075	30.12545	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	90	0	
79	110	2222	-1	21	ÅËÅµÄáÑÇ°×ÀÇ		140.919998	29.134424	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	90	0	
80	111	2222	-1	21	ÅËÅµÄáÑÇ°×ÀÇ		141.183304	29.343515	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	90	0	
81	112	2222	-1	21	ÅËÅµÄáÑÇ°×ÀÇ		140.519028	29.06045	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	90	0	
82	113	2222	-1	21	ÅËÅµÄáÑÇ°×ÀÇ		140.967346	29.409073	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	90	0	
83	114	2222	-1	21	ÅËÅµÄáÑÇ°×ÀÇ		83.997986	32.167793	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	90	0	
