NUM	NUM	NUM	NUM	NUM	TEXT	TEXT	FLOAT	FLOAT	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM
编号	随机编号	attr编号	逻辑表编号	阵营编号	名称	称号	x轴坐标	z轴坐标	朝向	脚本编号	重生时间	分组编号	队伍编号	基础AI	AI文件	巡逻路径	商店0	商店1	商店2	商店3	名誉ID	等级	镜像组
0	1505229	9816	-1	21	马苏德	条顿之王爪牙	30	210	5	300619	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	105	0	
1	15053688	9832	400605	21	领地图腾	阿拉伯地区	129.899994	94	9	-1	180000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	105	0	
2	1	42	400819	20	黑衣教士		56.213776	221.366257	32	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	105	0	
3	2	42	400820	20	黑衣教士		65.234924	221.65863	23	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	105	0	
4	3	42	400821	20	黑衣教士		58.762226	219.753677	27	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	105	0	
5	4	42	400819	20	黑衣教士		61.850258	219.868591	27	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	105	0	
6	5	43	400800	20	马修	红衣主教	60.262806	223.485886	9	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	105	0	
7	23	44	400822	20	紫衣教士		110.770737	93.149124	27	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	105	0	
8	34	44	400822	20	紫衣教士		213.602554	213.706039	17	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	105	0	
9	6	45	400819	20	蓝衣教士		62.652328	225.641907	12	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	105	0	
10	7	45	400820	20	蓝衣教士		57.884293	225.493683	8	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	105	0	
11	24	45	400821	20	蓝衣教士		112.664299	91.259636	27	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	105	0	
12	25	45	400819	20	蓝衣教士		108.75592	91.243347	27	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	105	0	
13	35	45	400820	20	蓝衣教士		214.971878	216.156509	16	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	105	0	
14	36	45	400821	20	蓝衣教士		216.02298	212.223145	18	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	105	0	
15	55	76	400802	20	查理	耶路撒冷总督	146.914459	85.52523	28	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	105	0	
16	22	1380	400803	20	胡安	耶路撒冷将军	147.546173	115.292648	9	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	105	0	
17	26	65	400823	20	伊莉莎白	总督夫人	150.294128	87.147781	20	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	105	0	
18	28	69	400818	20	乔治	总督之子	147.256317	87.665016	0	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	105	0	
19	30	79	400816	20	道格勒	耶路撒冷富商	107.658417	117.805969	12	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	105	0	
20	31	67	400817	20	玛丽	富商之妻	105.036453	117.574791	4	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	105	0	
21	72	78	400813	20	萨齐科	耶路撒冷庄园主	32.79924	25.454208	32	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	105	0	
22	73	66	400814	20	苏珊娜	庄园主夫人	36.040848	24.593271	28	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	105	0	
23	74	68	400815	20	汤姆	庄园主之子	34.708595	25.215733	28	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	105	0	
24	37	77	400809	20	卡尔	耶路撒冷居民	211.32074	208.970673	32	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	105	0	
25	38	78	400810	20	马丁	耶路撒冷居民	209.309143	211.707855	32	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	105	0	
