NUM	NUM	NUM	NUM	NUM	TEXT	TEXT	FLOAT	FLOAT	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM
index	guid	type	obj_id	camp_id	name	title	pos_x	pos_z	dir	script_id	respawn_time	group_id	team_id	base_ai	ai_file	patrol_id	shop0	shop1	shop2	shop3	ReputationID	level	viewgroup
0	1	10437	401200	18	昆仑物资官		129.264481	435.055481	33	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	100	0	
1	2	10438	401201	16	楼兰物资官		438.30307	313.722198	24	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	100	0	
2	3	10439	401202	17	天山物资官		255.875015	460.015167	5	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	100	0	
3	4	10440	401203	19	敦煌物资官		420.733124	434.31369	26	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	100	0	
4	5	10441	401204	20	阿赫里	沙城军需官	232	276	27	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	100	0	
5	6	10445	401208	20	王城密探		225	148	9	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	100	0	
6	7	2604	401209	17	天山传送	沙城传送人 	241.030655	464.203613	15	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	100	0	
7	8	9778	401210	20	沙城召集石		109	421	35	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	100	0	
8	9	9778	401211	20	沙城召集石		247	453	32	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	100	0	
9	10	9778	401212	20	沙城召集石		415	442	8	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	100	0	
10	11	9778	401213	20	沙城召集石		437	283	30	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	100	0	
11	12	9778	401214	20	沙城召集石		134	330	0	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	100	0	
