NUM	NUM	NUM	NUM	NUM	TEXT	TEXT	FLOAT	FLOAT	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM
编号	随机编号	attr编号	逻辑表编号	阵营编号	名称	称号	x轴坐标	z轴坐标	朝向	脚本编号	重生时间	分组编号	队伍编号	基础AI	AI文件	巡逻路径	商店0	商店1	商店2	商店3	名誉ID	等级	镜像组
0	3	9790	170426	20	雷虎	跨服双人战场报名人	216.999481	40.04829	22	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	60	0	
1	4	9789	170427	20	布柏达	跨服战场勋章兑换商人	215.148514	35.781475	23	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	60	0	
2	5	9789	170428	20	布柏达	跨服战场勋章兑换商人	219.310501	213.51413	13	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	60	0	
3	6	9790	170429	20	雷虎	跨服双人战场报名人	214.300812	215.708954	13	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	60	0	
4	7	9790	170430	20	雷虎	跨服双人战场报名人	40.744247	215.665131	4	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	60	0	
5	8	9789	170431	20	布柏达	跨服战场勋章兑换商人	41.950294	219.888718	4	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	60	0	
6	11	9790	170432	20	雷虎	跨服双人战场报名人	40.598026	39.433407	31	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	60	0	
7	12	9789	170433	20	布柏达	跨服战场勋章兑换商人	35.359669	40.768742	32	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	60	0	
8	13	9790	170434	20	雷虎	跨服双人战场报名人	126.796921	128.230286	9	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	60	0	
9	14	9789	170435	20	布柏达	跨服战场勋章兑换商人	132.531693	130.18718	9	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	60	0	
10	15	4308	170076	20	战场卫兵		168.246231	57.691639	9	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	60	0	
11	16	4308	170077	20	战场卫兵		88.657059	57.037888	9	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	60	0	
12	17	4308	170078	20	战场卫兵		88.216232	43.132092	27	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	60	0	
13	18	4308	170079	20	战场卫兵		114.637932	44.310341	30	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	60	0	
14	19	4308	170080	20	战场卫兵		114.810349	56.805466	4	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	60	0	
15	20	4308	170081	20	战场卫兵		140.609467	57.103691	11	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	60	0	
16	21	4308	170082	20	战场卫兵		140.776901	44.264042	23	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	60	0	
17	22	4308	170083	20	战场卫兵		168.195816	43.384872	28	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	60	0	
18	23	4308	170084	20	战场卫兵		198.635971	87.96714	0	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	60	0	
19	24	4308	170085	20	战场卫兵		212.845673	87.923645	19	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	60	0	
20	25	4308	170076	20	战场卫兵		212.603348	114.75293	23	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	60	0	
21	26	4308	170077	20	战场卫兵		198.955215	114.853485	34	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	60	0	
22	27	4308	170078	20	战场卫兵		212.48848	168.0392	18	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	60	0	
23	28	4308	170079	20	战场卫兵		198.214981	141.258911	2	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	60	0	
24	29	4308	170080	20	战场卫兵		212.821259	141.18782	15	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	60	0	
25	30	4308	170081	20	战场卫兵		198.575775	168.060333	0	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	60	0	
26	31	4308	170082	20	战场卫兵		168.082184	198.369156	27	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	60	0	
27	32	4308	170083	20	战场卫兵		168.143387	212.997467	9	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	60	0	
28	33	4308	170084	20	战场卫兵		140.408325	213.058487	10	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	60	0	
29	34	4308	170085	20	战场卫兵		140.429901	198.467224	26	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	60	0	
30	35	4308	170076	20	战场卫兵		115.017746	212.270966	3	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	60	0	
