NUM	NUM	NUM	NUM	NUM	TEXT	TEXT	FLOAT	FLOAT	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM
ฑเบล	หๆป๚ฑเบล	attrฑเบล	ย฿ผญฑํฑเบล	ี๓ำชฑเบล	ร๛ณฦ	ณฦบล	xึแื๘ฑ๊	zึแื๘ฑ๊	ณฏฯ๒	ฝลฑพฑเบล	ึุษ๚สฑผไ	ทึื้ฑเบล	ถำฮ้ฑเบล	ป๙ดกAI	AIฮฤผþ	ัฒย฿ยทพถ	ษฬต๊0	ษฬต๊1	ษฬต๊2	ษฬต๊3	ร๛ำþID	ตศผถ	พตฯ๑ื้
0	1	65323	-1	21	ลัยาฦ๏สฟ		40	68	0	0	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	80	0
1	2	65323	-1	21	ลัยาฦ๏สฟ		40	68	0	0	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	80	0
2	3	65323	-1	21	ลัยาฦ๏สฟ		40	68	0	0	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	80	0
3	4	65323	-1	21	ลัยาฦ๏สฟ		40	68	0	0	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	80	0
4	5	65323	-1	21	ลัยาฦ๏สฟ		40	68	0	0	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	80	0
5	6	65323	-1	21	ลัยาฦ๏สฟ		40	68	0	0	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	80	0
6	7	65323	-1	21	ลัยาฦ๏สฟ		40	68	0	0	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	80	0
7	8	65323	-1	21	ลัยาฦ๏สฟ		40	68	0	0	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	80	0
8	9	65323	-1	21	ลัยาฦ๏สฟ		40	68	0	0	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	80	0
9	10	65323	-1	21	ลัยาฦ๏สฟ		40	68	0	0	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	80	0
10	11	65323	-1	21	ลัยาฦ๏สฟ		40	68	0	0	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	80	0
11	12	65323	-1	21	ลัยาฦ๏สฟ		40	68	0	0	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	80	0
12	13	65323	-1	21	ลัยาฦ๏สฟ		40	88	0	0	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	80	0
13	14	65323	-1	21	ลัยาฦ๏สฟ		40	88	0	0	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	80	0
14	15	65323	-1	21	ลัยาฦ๏สฟ		40	88	0	0	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	80	0
15	16	65323	-1	21	ลัยาฦ๏สฟ		40	88	0	0	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	80	0
16	17	65323	-1	21	ลัยาฦ๏สฟ		40	88	0	0	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	80	0
17	18	65323	-1	21	ลัยาฦ๏สฟ		40	88	0	0	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	80	0
18	19	65323	-1	21	ลัยาฦ๏สฟ		40	88	0	0	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	80	0
19	20	65323	-1	21	ลัยาฦ๏สฟ		40	88	0	0	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	80	0
20	21	65323	-1	21	ลัยาฦ๏สฟ		40	88	0	0	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	80	0
21	22	65323	-1	21	ลัยาฦ๏สฟ		40	88	0	0	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	80	0
22	23	65323	-1	21	ลัยาฦ๏สฟ		40	88	0	0	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	80	0
23	24	65323	-1	21	ลัยาฦ๏สฟ		40	88	0	0	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	80	0
24	25	65323	-1	21	ลัยาฦ๏สฟ		40	118	0	0	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	80	0
25	26	65323	-1	21	ลัยาฦ๏สฟ		40	118	0	0	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	80	0
26	27	65323	-1	21	ลัยาฦ๏สฟ		40	118	0	0	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	80	0
27	28	65323	-1	21	ลัยาฦ๏สฟ		40	118	0	0	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	80	0
28	29	65323	-1	21	ลัยาฦ๏สฟ		40	118	0	0	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	80	0
29	30	65323	-1	21	ลัยาฦ๏สฟ		40	118	0	0	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	80	0
30	31	65323	-1	21	ลัยาฦ๏สฟ		40	118	0	0	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	80	0
31	32	65323	-1	21	ลัยาฦ๏สฟ		40	118	0	0	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	80	0
32	33	65323	-1	21	ลัยาฦ๏สฟ		40	118	0	0	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	80	0
33	34	65323	-1	21	ลัยาฦ๏สฟ		40	118	0	0	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	80	0
34	35	65323	-1	21	ลัยาฦ๏สฟ		40	118	0	0	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	80	0
35	36	65323	-1	21	ลัยาฦ๏สฟ		40	118	0	0	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	80	0
36	37	65323	-1	21	ลัยาฦ๏สฟ		60	118	0	0	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	80	0
37	38	65323	-1	21	ลัยาฦ๏สฟ		60	118	0	0	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	80	0
38	39	65323	-1	21	ลัยาฦ๏สฟ		60	118	0	0	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	80	0
39	40	65323	-1	21	ลัยาฦ๏สฟ		60	118	0	0	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	80	0
40	41	65323	-1	21	ลัยาฦ๏สฟ		60	118	0	0	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	80	0
41	42	65323	-1	21	ลัยาฦ๏สฟ		60	118	0	0	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	80	0
42	43	65323	-1	21	ลัยาฦ๏สฟ		60	118	0	0	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	80	0
43	44	65323	-1	21	ลัยาฦ๏สฟ		60	118	0	0	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	80	0
44	45	65323	-1	21	ลัยาฦ๏สฟ		60	118	0	0	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	80	0
45	46	65323	-1	21	ลัยาฦ๏สฟ		60	118	0	0	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	80	0
46	47	65323	-1	21	ลัยาฦ๏สฟ		60	118	0	0	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	80	0
47	48	65323	-1	21	ลัยาฦ๏สฟ		60	118	0	0	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	80	0
48	49	65323	-1	21	ลัยาฦ๏สฟ		80	118	0	0	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	80	0
49	50	65323	-1	21	ลัยาฦ๏สฟ		80	118	0	0	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	80	0
50	51	65323	-1	21	ลัยาฦ๏สฟ		80	118	0	0	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	80	0
51	52	65323	-1	21	ลัยาฦ๏สฟ		80	118	0	0	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	80	0
52	53	65323	-1	21	ลัยาฦ๏สฟ		80	118	0	0	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	80	0
53	54	65323	-1	21	ลัยาฦ๏สฟ		80	118	0	0	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	80	0
54	55	65323	-1	21	ลัยาฦ๏สฟ		80	118	0	0	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	80	0
55	56	65323	-1	21	ลัยาฦ๏สฟ		80	118	0	0	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	80	0
56	57	65323	-1	21	ลัยาฦ๏สฟ		80	118	0	0	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	80	0
57	58	65323	-1	21	ลัยาฦ๏สฟ		80	118	0	0	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	80	0
58	59	65323	-1	21	ลัยาฦ๏สฟ		80	118	0	0	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	80	0
59	60	65323	-1	21	ลัยาฦ๏สฟ		80	118	0	0	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	80	0
60	61	65323	-1	21	ลัยาฦ๏สฟ		110	118	0	0	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	80	0
61	62	65323	-1	21	ลัยาฦ๏สฟ		110	118	0	0	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	80	0
62	63	65323	-1	21	ลัยาฦ๏สฟ		110	118	0	0	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	80	0
63	64	65323	-1	21	ลัยาฦ๏สฟ		110	118	0	0	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	80	0
64	65	65323	-1	21	ลัยาฦ๏สฟ		110	118	0	0	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	80	0
65	66	65323	-1	21	ลัยาฦ๏สฟ		110	118	0	0	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	80	0
66	67	65323	-1	21	ลัยาฦ๏สฟ		110	118	0	0	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	80	0
67	68	65323	-1	21	ลัยาฦ๏สฟ		110	118	0	0	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	80	0
68	69	65323	-1	21	ลัยาฦ๏สฟ		110	118	0	0	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	80	0
69	70	65323	-1	21	ลัยาฦ๏สฟ		110	118	0	0	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	80	0
70	71	65323	-1	21	ลัยาฦ๏สฟ		110	118	0	0	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	80	0
71	72	65323	-1	21	ลัยาฦ๏สฟ		110	118	0	0	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	80	0
72	73	65323	-1	21	ลัยาฦ๏สฟ		120	95	0	0	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	80	0
73	74	65323	-1	21	ลัยาฦ๏สฟ		120	95	0	0	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	80	0
74	75	65323	-1	21	ลัยาฦ๏สฟ		120	95	0	0	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	80	0
75	76	65323	-1	21	ลัยาฦ๏สฟ		120	95	0	0	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	80	0
76	77	65323	-1	21	ลัยาฦ๏สฟ		120	95	0	0	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	80	0
77	78	65323	-1	21	ลัยาฦ๏สฟ		120	95	0	0	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	80	0
78	79	65323	-1	21	ลัยาฦ๏สฟ		120	95	0	0	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	80	0
79	80	65323	-1	21	ลัยาฦ๏สฟ		120	95	0	0	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	80	0
80	81	65323	-1	21	ลัยาฦ๏สฟ		120	95	0	0	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	80	0
81	82	65323	-1	21	ลัยาฦ๏สฟ		120	95	0	0	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	80	0
82	83	65323	-1	21	ลัยาฦ๏สฟ		120	95	0	0	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	80	0
83	84	65323	-1	21	ลัยาฦ๏สฟ		120	95	0	0	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	80	0
84	85	65323	-1	21	ลัยาฦ๏สฟ		120	95	0	0	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	80	0
85	86	65323	-1	21	ลัยาฦ๏สฟ		120	95	0	0	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	80	0
86	87	65323	-1	21	ลัยาฦ๏สฟ		120	95	0	0	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	80	0
87	88	65323	-1	21	ลัยาฦ๏สฟ		120	95	0	0	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	80	0
88	89	65323	-1	21	ลัยาฦ๏สฟ		120	95	0	0	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	80	0
89	90	65323	-1	21	ลัยาฦ๏สฟ		120	95	0	0	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	80	0
90	91	65323	-1	21	ลัยาฦ๏สฟ		120	95	0	0	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	80	0
91	92	65323	-1	21	ลัยาฦ๏สฟ		120	95	0	0	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	80	0
92	93	65323	-1	21	ลัยาฦ๏สฟ		120	95	0	0	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	80	0
93	94	65323	-1	21	ลัยาฦ๏สฟ		120	95	0	0	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	80	0
94	95	65323	-1	21	ลัยาฦ๏สฟ		120	95	0	0	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	80	0
95	96	65323	-1	21	ลัยาฦ๏สฟ		120	95	0	0	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	80	0
96	97	65323	-1	21	ลัยาฦ๏สฟ		90	90	0	0	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	80	0
97	98	65323	-1	21	ลัยาฦ๏สฟ		90	90	0	0	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	80	0
98	99	65323	-1	21	ลัยาฦ๏สฟ		90	90	0	0	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	80	0
99	100	65323	-1	21	ลัยาฦ๏สฟ		90	90	0	0	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	80	0
100	101	65323	-1	21	ลัยาฦ๏สฟ		90	90	0	0	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	80	0
101	102	65323	-1	21	ลัยาฦ๏สฟ		90	90	0	0	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	80	0
102	103	65323	-1	21	ลัยาฦ๏สฟ		90	90	0	0	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	80	0
103	104	65323	-1	21	ลัยาฦ๏สฟ		90	90	0	0	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	80	0
104	105	65323	-1	21	ลัยาฦ๏สฟ		90	90	0	0	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	80	0
105	106	65323	-1	21	ลัยาฦ๏สฟ		90	90	0	0	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	80	0
106	107	65323	-1	21	ลัยาฦ๏สฟ		90	90	0	0	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	80	0
107	108	65323	-1	21	ลัยาฦ๏สฟ		90	90	0	0	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	80	0
108	109	65323	-1	21	ลัยาฦ๏สฟ		80	48	0	0	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	80	0
109	110	65323	-1	21	ลัยาฦ๏สฟ		80	48	0	0	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	80	0
