NUM	NUM	NUM	TEXT	NUM	TEXT	NUM	TEXT	NUM	TEXT	NUM	TEXT	NUM	TEXT
护身符id	花费	孔1是否有效	孔1适用部位	孔2是否有效	孔2适用部位	孔3是否有效	孔3适用部位	孔4是否有效	孔4适用部位	孔5是否有效	孔5适用部位	孔6是否有效	孔6适用部位
10340000	10000	1	0|1|6|10	1	2|5|7|8|9|12	-1	-1	-1	-1	-1	-1	-1	-1
10340001	10000	1	0|1	1	6|10	1	2|5|8	1	7|9|12	-1	-1	-1	-1
10340002	10000	1	0|5	1	2	1	1|7	1	6|8	1	9	1	10|12
10340003	10000	1	0|1|2|5|6|7|8|9|10|12	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
10340004	10000	1	0|1|6	1	2|5|8	1	7|9|10|12	-1	-1	-1	-1	-1	-1
10340005	10000	1	0|5	1	2|8	1	1|9	1	6|7	1	10|12	-1	-1
10340006	10000	1	0|1|2|5|6|7|8|9|10|12	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
10340007	10000	1	0|1|6|10	1	2|5|7|8|9|12	-1	-1	-1	-1	-1	-1	-1	-1
10340008	10000	1	0|2|5	1	1|7|9	1	6|8|10|12	-1	-1	-1	-1	-1	-1
10340009	10000	1	0|1|6|10	1	2|5|7|8|9|12	-1	-1	-1	-1	-1	-1	-1	-1
10340010	10000	1	0|2|5	1	1|7|9	1	6|8|10|12	-1	-1	-1	-1	-1	-1
10340011	10000	1	0|2|5	1	1|7|9	1	6|8	1	10|12	-1	-1	-1	-1
10340012	10000	1	0|2|5	1	1|7|9	1	6|8	1	10|12	-1	-1	-1	-1
10340013	10000	1	0|2|5	1	1|7|9	1	6|8	1	10|12	-1	-1	-1	-1
10340014	10000	1	0|2|5	1	1|7|9	1	6|8	1	10|12	-1	-1	-1	-1
10340015	10000	1	0|2|5	1	1|7|9	1	6|8	1	10|12	-1	-1	-1	-1
10340016	10000	1	0|2|5	1	1|7|9	1	6|8	1	10|12	-1	-1	-1	-1
10340017	10000	1	0|2|5	1	1|7|9	1	6|8	1	10|12	-1	-1	-1	-1
10340018	10000	1	0|2|5	1	1|7|9	1	6|8	1	10|12	-1	-1	-1	-1
10340019	10000	1	0|2|5	1	1|7|9	1	6|8	1	10|12	-1	-1	-1	-1
