NUM	NUM	NUM	NUM	NUM	NUM
技能ID	"下一级技能ID(没有下一级,技能ID = -1)"	等级	需求帮会等级	消耗金钱	消耗经验
13500	13501	0	3	2500000	960
13501	13502	1	3	2500000	1440
13502	13503	2	3	2500000	2880
13503	13504	3	3	2500000	7200
13504	13505	4	3	2500000	21600
13505	13596	5	3	2500000	21600
13596	13597	6	3	2500000	21600
13597	13598	7	3	2500000	21600
13598	13599	8	3	2500000	21600
13599	13600	9	3	2500000	21600
13600	-1	10	3	-1	-1
#					
13510	13511	0	4	2500000	1200
13511	13512	1	4	2500000	1800
13512	13513	2	4	2500000	3600
13513	13514	3	4	2500000	9000
13514	13515	4	4	2500000	27000
13515	13601	5	4	2500000	27000
13601	13602	6	4	2500000	27000
13602	13603	7	4	2500000	27000
13603	13604	8	4	2500000	27000
13604	13605	9	4	2500000	27000
13605	-1	10	4	-1	-1
#					
13520	13521	0	5	2500000	1440
13521	13522	1	5	2500000	2160
13522	13523	2	5	2500000	4320
13523	13524	3	5	2500000	10800
13524	13525	4	5	2500000	32400
13525	13606	5	5	2500000	32400
13606	13607	6	5	2500000	32400
13607	13608	7	5	2500000	32400
13608	13609	8	5	2500000	32400
13609	13610	9	5	2500000	32400
13610	-1	10	5	-1	-1
#					
13530	13531	0	6	2500000	1680
13531	13532	1	6	2500000	2520
13532	13533	2	6	2500000	5040
13533	13534	3	6	2500000	12600
13534	13535	4	6	2500000	37800
13535	13611	5	6	2500000	37800
13611	13612	6	6	2500000	37800
13612	13613	7	6	2500000	37800
13613	13614	8	6	2500000	37800
13614	13615	9	6	2500000	37800
13615	-1	10	6	-1	-1
#					
13540	13541	0	7	2500000	1920
13541	13542	1	7	2500000	2880
13542	13543	2	7	2500000	5760
13543	13544	3	7	2500000	14400
13544	13545	4	7	2500000	43200
13545	13616	5	7	2500000	43200
13616	13617	6	7	2500000	43200
13617	13618	7	7	2500000	43200
13618	13619	8	7	2500000	43200
13619	13620	9	7	2500000	43200
13620	-1	10	7	-1	-1
#					
13550	13551	0	3	2500000	960
13551	13552	1	3	2500000	1440
13552	13553	2	3	2500000	2880
13553	13554	3	3	2500000	7200
13554	13555	4	3	2500000	21600
13555	13621	5	3	2500000	21600
13621	13622	6	3	2500000	21600
13622	13623	7	3	2500000	21600
13623	13624	8	3	2500000	21600
13624	13625	9	3	2500000	21600
13625	-1	10	3	2500000	21600
#					
13560	13561	0	4	2500000	1200
13561	13562	1	4	2500000	1800
13562	13563	2	4	2500000	3600
13563	13564	3	4	2500000	9000
13564	13565	4	4	2500000	27000
13565	13626	5	4	2500000	27000
13626	13627	6	4	2500000	27000
13627	13628	7	4	2500000	27000
13628	13629	8	4	2500000	27000
13629	13630	9	4	2500000	27000
13630	-1	10	4	-1	-1
#					
13570	13571	0	5	2500000	1440
13571	13572	1	5	2500000	2160
13572	13573	2	5	2500000	4320
13573	13574	3	5	2500000	10800
13574	13575	4	5	2500000	32400
13575	13631	5	5	2500000	32400
13631	13632	6	5	2500000	32400
13632	13633	7	5	2500000	32400
13633	13634	8	5	2500000	32400
13634	13635	9	5	2500000	32400
13635	-1	10	5	-1	-1
#					
13580	13581	0	6	2500000	1680
13581	13582	1	6	2500000	2520
13582	13583	2	6	2500000	5040
13583	13584	3	6	2500000	12600
13584	13585	4	6	2500000	37800
13585	13636	5	6	2500000	37800
13636	13637	6	6	2500000	37800
13637	13638	7	6	2500000	37800
13638	13639	8	6	2500000	37800
13639	13640	9	6	2500000	37800
13640	-1	10	6	-1	-1
#					
13590	13591	0	7	2500000	1920
13591	13592	1	7	2500000	2880
13592	13593	2	7	2500000	5760
13593	13594	3	7	2500000	14400
13594	13595	4	7	2500000	43200
13595	13641	5	7	2500000	43200
13641	13642	6	7	2500000	43200
13642	13643	7	7	2500000	43200
13643	13644	8	7	2500000	43200
13644	13645	9	7	2500000	43200
13645	-1	10	7	-1	-1
