NUM	NUM	NUM	NUM	TEXT	TEXT	TEXT	TEXT	NUM	TEXT	TEXT	NUM	NUM	NUM	NUM	NUM	NUM	TEXT	TEXT	TEXT	NUM	TEXT	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	TEXT	NUM	TEXT	NUM
ID	基本类型	Type类别	"Index编号(物品号0~1000随机，1001~1999白装，2001~2999打造装备，3001~3999荣誉装备，4001~4999声望装备，6000~6999任务装备，7000~7001套装,9916~9999打造装)"	道具tip图标	道具背包图标	名称	说明	"颜色类型(白:1,绿:2,蓝:3,黄:4,紫:5，红：6)"	类型描述	获取的地方	Lv需求等级	基础价格	出售价格	适应规则	天然星级	堆叠数	装备对应的位置	掉落模型	掉落模型附加的特殊光效	掉落音效	动画帧	附加蓝属性ID1	附加蓝属性数值1	附加蓝属性ID2	附加蓝属性数值2	附加蓝属性ID3	附加蓝属性数值3	脚本ID	拾取等级	是否允许摆摊收购	说明	寻路npc	灰化头像	卡牌排序
####																													1					
45011001	45	1	1001	set:Khan2_Jiangxing_1 image:Khan2_Jiangxing_1_Icon_1	set:khan3_item_1 image:khan3_item_1_1	巴根	可铭刻部位：帽子，衣服，项链，护手	1	卡牌	此卡牌在浮屠塔1-20层掉落，您是否要自动寻路到浮屠塔？	45	100	10	27	1	250	2|5|6|7	武魂卡01.lmodel	cj_yingguang_huang	0	-1	22	3	-1	-1	-1	-1	-1	-1	0	国家：基辅公国#r出身地区：西俄罗斯	141176	set:Khan2_Jiangxinghui_1 image:Khan2_Jiangxinghui_1_Icon_1	100103
45011002	45	1	1002	set:Khan2_Jiangxing_1 image:Khan2_Jiangxing_1_Icon_1	set:khan3_item_1 image:khan3_item_1_1	巴根	可铭刻部位：帽子，衣服，项链，护手	1	卡牌	此卡牌在浮屠塔1-20层掉落，您是否要自动寻路到浮屠塔？	45	100	10	27	2	250	2|5|6|7	武魂卡01.lmodel	cj_yingguang_huang	0	-1	22	30	-1	-1	-1	-1	-1	-1	0	国家：基辅公国#r出身地区：西俄罗斯	141176	set:Khan2_Jiangxinghui_1 image:Khan2_Jiangxinghui_1_Icon_1	100103
45011003	45	1	1003	set:Khan2_Jiangxing_1 image:Khan2_Jiangxing_1_Icon_1	set:khan3_item_1 image:khan3_item_1_1	巴根	可铭刻部位：帽子，衣服，项链，护手	1	卡牌	此卡牌在浮屠塔1-20层掉落，您是否要自动寻路到浮屠塔？	45	100	10	27	3	250	2|5|6|7	武魂卡01.lmodel	cj_yingguang_huang	0	-1	22	76	-1	-1	-1	-1	-1	-1	0	国家：基辅公国#r出身地区：西俄罗斯	141176	set:Khan2_Jiangxinghui_1 image:Khan2_Jiangxinghui_1_Icon_1	100103
45011004	45	1	1004	set:Khan2_Jiangxing_1 image:Khan2_Jiangxing_1_Icon_1	set:khan3_item_1 image:khan3_item_1_1	巴根	可铭刻部位：帽子，衣服，项链，护手	1	卡牌	此卡牌在浮屠塔1-20层掉落，您是否要自动寻路到浮屠塔？	45	100	10	27	4	250	2|5|6|7	武魂卡01.lmodel	cj_yingguang_huang	0	-1	22	126	-1	-1	-1	-1	-1	-1	0	国家：基辅公国#r出身地区：西俄罗斯	141176	set:Khan2_Jiangxinghui_1 image:Khan2_Jiangxinghui_1_Icon_1	100103
45011005	45	1	1005	set:Khan2_Jiangxing_1 image:Khan2_Jiangxing_1_Icon_1	set:khan3_item_1 image:khan3_item_1_1	巴根	可铭刻部位：帽子，衣服，项链，护手	1	卡牌	此卡牌在浮屠塔1-20层掉落，您是否要自动寻路到浮屠塔？	45	100	10	27	5	250	2|5|6|7	武魂卡01.lmodel	cj_yingguang_huang	0	-1	22	156	-1	-1	-1	-1	-1	-1	0	国家：基辅公国#r出身地区：西俄罗斯	141176	set:Khan2_Jiangxinghui_1 image:Khan2_Jiangxinghui_1_Icon_1	100103
45011006	45	2	1010	set:Khan2_Jiangxing_1 image:Khan2_Jiangxing_1_Icon_8	set:khan3_item_1 image:khan3_item_1_1	高云	可铭刻部位：帽子，衣服，项链，护手	1	卡牌	此卡牌在浮屠塔21-30层掉落，您是否要自动寻路到浮屠塔？	55	100	10	27	1	250	2|5|6|7	武魂卡01.lmodel	cj_yingguang_huang	0	-1	22	16	-1	-1	-1	-1	-1	-1	0	国家：南宋#r出身地区：华南	141176	set:Khan2_Jiangxinghui_1 image:Khan2_Jiangxinghui_1_Icon_8	100103
45011007	45	2	1011	set:Khan2_Jiangxing_1 image:Khan2_Jiangxing_1_Icon_8	set:khan3_item_1 image:khan3_item_1_1	高云	可铭刻部位：帽子，衣服，项链，护手	1	卡牌	此卡牌在浮屠塔21-30层掉落，您是否要自动寻路到浮屠塔？	55	100	10	27	2	250	2|5|6|7	武魂卡01.lmodel	cj_yingguang_huang	0	-1	22	84	-1	-1	-1	-1	-1	-1	0	国家：南宋#r出身地区：华南	141176	set:Khan2_Jiangxinghui_1 image:Khan2_Jiangxinghui_1_Icon_8	100103
45011008	45	2	1012	set:Khan2_Jiangxing_1 image:Khan2_Jiangxing_1_Icon_8	set:khan3_item_1 image:khan3_item_1_1	高云	可铭刻部位：帽子，衣服，项链，护手	1	卡牌	此卡牌在浮屠塔21-30层掉落，您是否要自动寻路到浮屠塔？	55	100	10	27	3	250	2|5|6|7	武魂卡01.lmodel	cj_yingguang_huang	0	-1	22	214	-1	-1	-1	-1	-1	-1	0	国家：南宋#r出身地区：华南	141176	set:Khan2_Jiangxinghui_1 image:Khan2_Jiangxinghui_1_Icon_8	100103
