NUM	NUM	NUM	TEXT	NUM	NUM	NUM
序列	卡牌颜色类型（1绿、2蓝、3黄、4紫、5红	合成随机到卡牌的ID	随机到卡牌的名称	权重	是否触发公告	固定消耗（银卡）
1	1	45011031	巴图	5000	0	1000
2	1	45011261	牧仁	5000	0	1000
3	1	45011496	阿木尔	5000	0	1000
4	1	45011746	庆格尔泰	5000	0	1000
5	1	45011971	乌德	5000	0	1000
6	1	45012211	卓力格	5000	0	1000
7	1	45012441	沙克台	5000	0	1000
8	1	45012701	彼得	5000	0	1000
9	1	45012706	张兴泽	5000	0	1000
10	1	45012916	李葛	5000	0	1000
11	1	45012921	张翼	5000	0	1000
12	1	45013151	额尔格达	5000	0	1000
13	1	45013156	郝进飞	5000	0	1000
14	1	45011036	大江广原	2500	0	1000
15	1	45011266	坦木尔	2500	0	1000
16	1	45011501	其木格	2500	0	1000
17	1	45011751	那须与一	2500	0	1000
18	1	45011976	熊谷直实	2500	0	1000
19	1	45012216	田山重忠	2500	0	1000
20	1	45012446	朝台哈丹巴	2500	0	1000
21	1	45012711	顺塔	2500	0	1000
22	1	45012926	李谅	2500	0	1000
23	1	45013161	诺兰葛	2500	0	1000
24	1	45011041	呼和	1250	0	1000
25	1	45011271	察帖尔	1250	0	1000
26	1	45011506	李安权	1250	0	1000
27	1	45011756	李仁友	1250	0	1000
28	1	45011981	仁宗	1250	0	1000
29	1	45012221	李纯佑	1250	0	1000
30	1	45012451	额尔德木图	1250	0	1000
31	1	45012716	阿来夫	1250	0	1000
32	1	45012931	李天煞	1250	0	1000
33	1	45013166	其扎	1250	0	1000
34	1	45011046	阿尔蒙斯尔	620	0	1000
35	1	45011276	顿宁	620	0	1000
36	1	45011511	那日松	620	0	1000
37	1	45011761	仁托	620	0	1000
38	1	45011986	纳真	620	0	1000
39	1	45012226	通拉嘎	620	0	1000
40	1	45012456	德丹	620	0	1000
41	1	45012721	戈来	620	0	1000
42	1	45012936	斯尔	620	0	1000
43	1	45013171	斡托娅	620	0	1000
44	1	45011051	托娅	310	0	1000
45	1	45011281	黠多罗	310	0	1000
46	1	45011516	陶格斯	310	0	1000
47	1	45011766	理查一世	310	0	1000
48	1	45011991	撒乞阿盘第	310	0	1000
49	1	45012231	桑菊	310	0	1000
50	1	45012461	托克帕别乞	310	0	1000
51	1	45012726	克斯巴	310	0	1000
52	1	45012941	拉满达	310	0	1000
53	1	45013176	尔乌敦	310	0	1000
54	1	45011056	武奎	150	0	1000
55	1	45011286	达鲁赤	150	0	1000
56	1	45011521	亨克利二世	150	0	1000
57	1	45011771	亨克利一世	150	0	1000
58	1	45011996	者勒蔽	150	0	1000
59	1	45012236	日更达	150	0	1000
60	1	45012731	旭日塔	150	0	1000
61	1	45012946	赖福	150	0	1000
62	1	45013181	斯图格	150	0	1000
63	2	45011061	杜赛	5000	0	3000
64	2	45011291	佐拉	5000	0	3000
65	2	45011526	罗珊	5000	0	3000
66	2	45011776	阿古达木	5000	0	3000
67	2	45012001	孙婉宁	5000	0	3000
68	2	45012006	佩莎	5000	0	3000
69	2	45012241	乌拉佳	5000	0	3000
70	2	45012471	尤姆沙	5000	0	3000
71	2	45012736	崔兰	5000	0	3000
72	2	45012951	思雨	5000	0	3000
73	2	45013186	汪莺	5000	0	3000
74	2	45013336	魔·哈里发	5000	0	3000
75	2	45013341	魔·忽都思苏丹	5000	0	3000
76	2	45011066	阿历克塞三世	2500	0	3000
77	2	45011296	诺敏	2500	0	3000
78	2	45011531	李皇后	2500	0	3000
79	2	45011781	桑萨玛	2500	0	3000
80	2	45012011	佩蔽	2500	0	3000
81	2	45012246	吴皇后	2500	0	3000
82	2	45012476	伊萨克二世	2500	0	3000
83	2	45012741	顺天公主	2500	0	3000
84	2	45012956	阿尔夏	2500	0	3000
85	2	45013191	大乌丸	2500	0	3000
86	2	45013346	魔·完颜洪烈	2500	0	3000
87	2	45013351	魔·胡沙虎	2500	0	3000
88	2	45013356	魔·蒲和万奴	2500	0	3000
89	2	45011071	阿历克塞四世	1250	0	3000
90	2	45011301	北条政子	1250	0	3000
91	2	45011536	别勒古台	1250	0	3000
92	2	45011541	特木尔	1250	0	3000
93	2	45011786	阿尔阿吉尔	1250	0	3000
94	2	45012016	堀内	1250	0	3000
95	2	45012251	阿尔阿富斯坦	1250	0	3000
96	2	45012481	鲁特	1250	0	3000
97	2	45012746	高镇	1250	0	3000
98	2	45012961	亮子	1250	0	3000
99	2	45013196	王昭	1250	0	3000
100	2	45013361	魔·摩诃魔	1250	0	3000
101	2	45013366	魔·札兰丁	1250	0	3000
102	2	45013371	魔·八赤蛮	1250	0	3000
103	2	45011076	阿默德	620	0	3000
104	2	45011306	格根	620	0	3000
105	2	45011546	源范赖	620	0	3000
106	2	45011791	直古鲁	620	0	3000
107	2	45012021	窝罗吉斯拉夫	620	0	3000
108	2	45012256	帖木儿灭里	620	0	3000
109	2	45012486	源义经	620	0	3000
110	2	45012751	华筝	620	0	3000
111	2	45012966	源赖朝	620	0	3000
112	2	45013201	耶图尔	620	0	3000
113	2	45011081	阿迪尔	310	0	3000
114	2	45011086	孛罗忽勒	310	0	3000
115	2	45011091	安那斯塔西雅	310	0	3000
116	2	45011311	赤老温	310	0	3000
117	2	45011316	别儿哥	310	0	3000
118	2	45011551	阔阔出	310	0	3000
119	2	45011556	丽夏	310	0	3000
120	2	45011561	博尔忽	310	0	3000
121	2	45011796	阿纳赛尔	310	0	3000
122	2	45011801	玛丽亚	310	0	3000
123	2	45012026	失吉忽秃忽	310	0	3000
124	2	45012031	曲出	310	0	3000
125	2	45012036	易朱贝特	310	0	3000
126	2	45012261	斡儿答	310	0	3000
127	2	45012266	昔班	310	0	3000
128	2	45012491	约翰	310	0	3000
129	2	45012496	土墩蔑年	310	0	3000
130	2	45012756	朵亚戈	310	0	3000
131	2	45012971	沙通天	310	0	3000
132	2	45013206	扎兰丁	310	0	3000
133	2	45011096	路易八世	150	0	3000
134	2	45011101	阿尔丰沙八世	150	0	3000
135	2	45011321	安娜	150	0	3000
136	2	45011326	菲力普二世	150	0	3000
137	2	45011566	卡妮丝狄奴	150	0	3000
138	2	45011571	法兰杰斯科	150	0	3000
139	2	45011806	路易九世	150	0	3000
140	2	45012041	玛格雷特	150	0	3000
141	2	45012046	塞得丽亚	150	0	3000
142	2	45012271	茵洁孛克	150	0	3000
143	2	45012276	乌戈丽琪	150	0	3000
144	2	45012501	帖札	150	0	3000
145	2	45012506	摩诃末	150	0	3000
146	2	45012761	德米尼克	150	0	3000
147	2	45012976	伊夏丝	150	0	3000
148	2	45013211	斡思剌黑	150	0	3000
149	3	45011106	艾莲娜	5000	0	5000
150	3	45011331	张满荣	5000	0	5000
151	3	45011336	菲丽琶	5000	0	5000
152	3	45011576	察八儿	5000	0	5000
153	3	45011581	贝林格瑞亚	5000	0	5000
154	3	45011811	刘颂	5000	0	5000
155	3	45012051	亦剌合桑昆	5000	0	5000
156	3	45012281	成江	5000	0	5000
157	3	45012511	札合敢不	5000	0	5000
158	3	45012766	托斡邻勒汗	5000	0	5000
159	3	45012981	普斯图	5000	0	5000
160	3	45012986	李闲炳	5000	0	5000
161	3	45013216	樊泊	5000	0	5000
162	3	45011111	艾扪克	2500	0	5000
163	3	45011341	巴尔邦	2500	0	5000
164	3	45011586	卡巴差	2500	0	5000
165	3	45011816	陆秀夫	2500	0	5000
166	3	45012056	塞得特	2500	0	5000
167	3	45012286	文天祥	2500	0	5000
168	3	45012516	赵构	2500	0	5000
169	3	45012771	博拉基尔	2500	0	5000
170	3	45012991	张世杰	2500	0	5000
171	3	45013221	刘辰飞	2500	0	5000
172	3	45011116	恩和	1250	0	5000
173	3	45011121	娜拉	1250	0	5000
174	3	45011346	但德罗	1250	0	5000
175	3	45011351	赤速梯	1250	0	5000
176	3	45011591	吉牙思	1250	0	5000
177	3	45011821	哥里	1250	0	5000
178	3	45012061	齐尔吉	1250	0	5000
179	3	45012066	娜美	1250	0	5000
180	3	45012291	奥利奥	1250	0	5000
181	3	45012296	坦乌拉	1250	0	5000
