NUM	TEXT	TEXT	TEXT	NUM	TEXT	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	TEXT
套牌ID	套牌名称	图标名称	描述	套牌数量	套牌部件ID	"激活位置,起始位置80-"	"激活位置,起始位置80-591"	套装分数	套牌属性1	属性数值1	套牌属性2	属性数值2	套牌属性3	属性数值3	套牌属性4	属性数值4	套牌属性5	属性数值5	"使用等级, 在激活属性时候用"	"分类1 ,2 3"	图标名称
1	草原长老	set:khan3_item_2 image:khan3_item_2_9		2	45013681|45013686	917	919	2	22	20	8	3	-1	-1	-1	-1	-1	-1	10	1	set:khan3_item_2_hui image:khan3_item_2_hui_9
2	罕难河的兄弟	set:khan3_item_2 image:khan3_item_2_9		2	45013691|45013696	920	922	3	22	30	8	5	-1	-1	-1	-1	-1	-1	15	1	set:khan3_item_2_hui image:khan3_item_2_hui_9
3	乞颜部的父子	set:khan3_item_2 image:khan3_item_2_9		2	45013701|45013706	923	925	5	22	50	8	8	-1	-1	-1	-1	-1	-1	20	1	set:khan3_item_2_hui image:khan3_item_2_hui_9
4	我们不出名	set:khan3_item_2 image:khan3_item_2_9		3	45011002|45012182|45012887	926	929	8	22	100	8	10	-1	-1	-1	-1	-1	-1	45	1	set:khan3_item_2_hui image:khan3_item_2_hui_9
5	异域双娇	set:khan3_item_2 image:khan3_item_2_9		2	45011617|45012092	80	82	8	22	120	-1	-1	-1	-1	-1	-1	-1	-1	45	1	set:khan3_item_2_hui image:khan3_item_2_hui_9
6	学者之星	set:khan3_item_2 image:khan3_item_2_9		2	45012368|45011184	83	85	23	22	370	-1	-1	-1	-1	-1	-1	-1	-1	45	1	set:khan3_item_2_hui image:khan3_item_2_hui_9
7	地理学者	set:khan3_item_2 image:khan3_item_2_9		2	45011418|45012368	86	88	17	22	280	-1	-1	-1	-1	-1	-1	-1	-1	45	1	set:khan3_item_2_hui image:khan3_item_2_hui_9
8	三族长	set:khan3_item_2 image:khan3_item_2_9		3	45012768|45012513|45012053	272	275	34	22	560	0	22	-1	-1	-1	-1	-1	-1	45	1	set:khan3_item_2_hui image:khan3_item_2_hui_9
9	起义军四勇	set:khan3_item_2 image:khan3_item_2_9		4	45012709|45012918|45013158|45012923	468	472	23	22	370	8	15	-1	-1	-1	-1	-1	-1	45	1	set:khan3_item_2_hui image:khan3_item_2_hui_9
10	吐番四金枝	set:khan3_item_2 image:khan3_item_2_9		4	45012473|45012243|45011529|45012008	473	477	34	22	560	8	23	-1	-1	-1	-1	-1	-1	45	1	set:khan3_item_2_hui image:khan3_item_2_hui_9
11	王室之争	set:khan3_item_2 image:khan3_item_2_9		2	45012557|45012327	89	91	9	22	150	16	6	-1	-1	-1	-1	-1	-1	55	1	set:khan3_item_2_hui image:khan3_item_2_hui_9
12	射雕传说	set:khan3_item_2 image:khan3_item_2_9		2	45012193|45012892	101	103	14	22	230	14	9	-1	-1	-1	-1	-1	-1	55	1	set:khan3_item_2_hui image:khan3_item_2_hui_9
13	乞颜部族	set:khan3_item_2 image:khan3_item_2_9		2	45011538|45011783	104	106	21	22	340	12	14	-1	-1	-1	-1	-1	-1	55	1	set:khan3_item_2_hui image:khan3_item_2_hui_9
14	平原双英	set:khan3_item_2 image:khan3_item_2_9		2	45012148|45012373	92	94	21	22	340	18	14	-1	-1	-1	-1	-1	-1	55	1	set:khan3_item_2_hui image:khan3_item_2_hui_9
15	王室伉俪	set:khan3_item_2 image:khan3_item_2_9		2	45012518|45012248	95	97	21	22	340	20	14	-1	-1	-1	-1	-1	-1	55	1	set:khan3_item_2_hui image:khan3_item_2_hui_9
16	王之兄弟	set:khan3_item_2 image:khan3_item_2_9		2	45012479|45011069	98	100	37	22	610	10	25	-1	-1	-1	-1	-1	-1	55	1	set:khan3_item_2_hui image:khan3_item_2_hui_9
17	上行下效	set:khan3_item_2 image:khan3_item_2_9		2	45012479|45011072	107	109	21	22	340	0	14	-1	-1	-1	-1	-1	-1	55	1	set:khan3_item_2_hui image:khan3_item_2_hui_9
18	贞烈母女	set:khan3_item_2 image:khan3_item_2_9		2	45013194|45012522	110	112	21	22	340	2	14	-1	-1	-1	-1	-1	-1	55	1	set:khan3_item_2_hui image:khan3_item_2_hui_9
19	西夏双杰	set:khan3_item_2 image:khan3_item_2_9		2	45012929|45012934	113	115	37	22	610	4	24	-1	-1	-1	-1	-1	-1	55	1	set:khan3_item_2_hui image:khan3_item_2_hui_9
20	中原女强人	set:khan3_item_2 image:khan3_item_2_7		3	45011534|45012248|45012743	284	287	31	22	520	16	21	-1	-1	-1	-1	-1	-1	55	1	set:khan3_item_2_hui image:khan3_item_2_hui_7
21	霸权者	set:khan3_item_2 image:khan3_item_2_9		3	45011114|45012773|45011343	288	291	42	22	690	8	28	-1	-1	-1	-1	-1	-1	55	1	set:khan3_item_2_hui image:khan3_item_2_hui_9
22	劫富济贫	set:khan3_item_2 image:khan3_item_2_5		3	45013199|45012748|45013223	304	307	31	22	520	18	21	-1	-1	-1	-1	-1	-1	55	1	set:khan3_item_2_hui image:khan3_item_2_hui_5
23	霸权王侯	set:khan3_item_2 image:khan3_item_2_6		3	45011113|45012062|45011587	308	311	28	22	460	20	19	-1	-1	-1	-1	-1	-1	55	1	set:khan3_item_2_hui image:khan3_item_2_hui_6
24	镰仓四杰	set:khan3_item_2 image:khan3_item_2_9		4	45012219|45011039|45011978|45011753	488	492	37	22	610	8	25	-1	-1	-1	-1	-1	-1	55	1	set:khan3_item_2_hui image:khan3_item_2_hui_9
25	西夏王族	set:khan3_item_2 image:khan3_item_2_7		2	45011758|45011507	116	118	16	22	270	16	11	-1	-1	-1	-1	-1	-1	65	1	set:khan3_item_2_hui image:khan3_item_2_hui_7
26	草原的青梅	set:khan3_item_2 image:khan3_item_2_9		2	45012192|45012752	140	142	11	22	180	8	7	-1	-1	-1	-1	-1	-1	65	1	set:khan3_item_2_hui image:khan3_item_2_hui_9
27	塔塔尔部族	set:khan3_item_2 image:khan3_item_2_9		2	45013048|45012568	143	145	25	22	410	8	16	-1	-1	-1	-1	-1	-1	65	1	set:khan3_item_2_hui image:khan3_item_2_hui_9
28	父子双雄一	set:khan3_item_2 image:khan3_item_2_7		2	45011984|45012222	119	121	25	22	410	16	16	-1	-1	-1	-1	-1	-1	65	1	set:khan3_item_2_hui image:khan3_item_2_hui_7
29	两统领	set:khan3_item_2 image:khan3_item_2_5		2	45012294|45011347	122	124	25	22	410	18	16	-1	-1	-1	-1	-1	-1	65	1	set:khan3_item_2_hui image:khan3_item_2_hui_5
30	哥鲁双雄	set:khan3_item_2 image:khan3_item_2_6		2	45011823|45011593	125	127	25	22	410	20	16	-1	-1	-1	-1	-1	-1	65	1	set:khan3_item_2_hui image:khan3_item_2_hui_6
31	王室兄弟	set:khan3_item_2 image:khan3_item_2_3		2	45011984|45011758	128	130	33	22	540	10	22	-1	-1	-1	-1	-1	-1	65	1	set:khan3_item_2_hui image:khan3_item_2_hui_3
32	父子双杰	set:khan3_item_2 image:khan3_item_2_2		2	45011914|45012623	131	133	33	22	540	14	22	-1	-1	-1	-1	-1	-1	65	1	set:khan3_item_2_hui image:khan3_item_2_hui_2
33	王室家族	set:khan3_item_2 image:khan3_item_2_3		2	45011684|45011914	134	136	44	22	730	10	29	-1	-1	-1	-1	-1	-1	65	1	set:khan3_item_2_hui image:khan3_item_2_hui_3
34	父女情深	set:khan3_item_2 image:khan3_item_2_1		2	45013044|45011304	137	139	44	22	730	12	29	-1	-1	-1	-1	-1	-1	65	1	set:khan3_item_2_hui image:khan3_item_2_hui_1
35	伉俪情深	set:khan3_item_2 image:khan3_item_2_9		2	45012538|45011533	146	148	25	22	410	8	16	-1	-1	-1	-1	-1	-1	65	1	set:khan3_item_2_hui image:khan3_item_2_hui_9
36	天地良缘	set:khan3_item_2 image:khan3_item_2_9		2	45012969|45011304	149	151	44	22	730	8	29	-1	-1	-1	-1	-1	-1	65	1	set:khan3_item_2_hui image:khan3_item_2_hui_9
37	鎌仓三美女	set:khan3_item_2 image:khan3_item_2_8		3	45011304|45012964|45012018	320	323	49	22	820	239	7	-1	-1	-1	-1	-1	-1	65	1	set:khan3_item_2_hui image:khan3_item_2_hui_8
38	西辽王族	set:khan3_item_2 image:khan3_item_2_9		2	45011792|45012022	152	154	13	22	210	6	17	-1	-1	-1	-1	-1	-1	75	1	set:khan3_item_2_hui image:khan3_item_2_hui_9
39	金国三牙将	set:khan3_item_2 image:khan3_item_2_5		3	45013003|45012073|45012783	348	351	57	22	940	18	38	8	38	-1	-1	-1	-1	75	1	set:khan3_item_2_hui image:khan3_item_2_hui_5
40	虎父无犬子一	set:khan3_item_2 image:khan3_item_2_9		2	45012118|45012342	155	157	19	22	310	6	25	-1	-1	-1	-1	-1	-1	75	1	set:khan3_item_2_hui image:khan3_item_2_hui_9
