NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM
索引ID	武士技能	剑侠技能	骑射手技能	火枪技能	先知技能	萨满技能	十字军技能	圣火使技能	刺客技能	近卫军技能	隐修士技能	僧侣技能
0	31	32	33	34	35	36	4	5	6	7	8	9
1	121	201	301	404	501	601	1107	1201	1303	1407	1508	1600
2	123	202	302	406	502	602	1104	1202	1304	1400	1507	1609
3	124	203	303	408	503	604	1106	1211	1310	1403	1509	1603
4	125	204	305	409	505	605	1108	1207	1309	1406	1510	1601
5	126	205	306	410	506	606	1109	1208	1307	1404	1500	1604
6	127	206	307	411	507	609	1105	1205	1308	1405	1501	1607
7	128	207	309	412	508	610	1100	1209	1306	1413	1506	1605
8	129	208	311	413	509	611	1101	1206	1305	1415	1503	1608
9	130	209	313	414	510	612	1103	1200	1313	1414	1502	1602
10	132	210	314	417	511	613	1102	1204	1311	1409	1504	1612
11	134	211	315	418	512	614	1112	1203	1312	1410	1505	1611
12	135	212	316	421	513	615	1113	1213	1300	1401	1513	1613
13	136	213	317	422	514	616	1111	1214	1301	1408	1511	1606
14	137	214	318	423	515	617	1110	1212	1302	1402	1512	1610
15	142	221	322	427	523	621	1118	1219	1319	1420	1517	1618
												
												
												
												
					s							
