NUM	NUM
装备id	装备类型（1：神级，2：天级，3：冥级，4:玄级）
10014003	1
10014004	2
10019600	1
10019700	1
10019701	2
10019803	1
10019804	1
10019805	1
10019810	2
10019811	2
10019850	3
10019851	3
10019852	3
10019853	3
10019854	3
10019855	3
10019856	3
10019857	3
10019858	3
10019859	3
10019900	1
10019901	1
10019902	1
10019903	2
10019904	2
10019905	3
10019906	4
10019907	4
10019910	1
10019911	1
10019912	1
10019913	2
10019914	2
10019915	3
10019916	3
10019917	3
10019918	3
10019919	3
10019920	3
10019921	3
10019922	3
10019923	4
10019924	4
10019925	4
10019926	4
10019927	4
10019928	4
10019929	4
10019930	3
10019931	3
10019932	3
10019933	3
10019934	3
10019935	3
10019936	3
10019937	3
10019938	3
10019939	3
10019940	3
10019941	3
10019942	3
10019943	3
10019944	4
10019945	4
10019946	4
10019947	4
10019948	4
10019949	4
10019950	4
10019951	3
10019952	3
10019953	3
10019954	3
10019955	3
10019956	3
10019957	3
10019958	3
10019959	3
10019960	3
10019961	3
10019962	3
10019963	3
10019964	3
10019965	4
10019966	4
10019967	4
10019968	4
10019969	4
10019970	4
10019971	4
10019972	3
10019973	3
10019974	3
10019975	3
10019976	3
10019977	3
10019978	3
10019979	3
10019980	3
10019981	3
10019982	3
10019983	3
10019984	3
10019985	3
10019986	4
10019987	4
10019988	4
10019989	4
10019990	4
10019991	4
10019992	4
10019993	3
10019994	3
10019995	3
10019996	3
10019997	3
10019998	3
10019999	3
10024003	1
10024004	2
10028600	1
10028700	1
10028701	2
10028803	1
10028804	1
10028805	1
10028810	2
10028811	2
10028850	3
10028851	3
10028852	3
10028853	3
10028854	3
10028855	3
10028856	3
10028857	3
10028858	3
10028859	3
10029000	1
10029001	1
10029002	1
10029003	2
10029004	2
10029005	3
10029006	4
10029007	4
10029010	1
10029011	1
10029012	1
10029013	2
10029014	2
10029015	3
10029916	3
10029917	3
10029918	3
10029919	3
10029920	3
10029921	3
10029922	3
10029923	4
10029924	4
10029925	4
10029926	4
10029927	4
10029928	4
10029929	4
10029930	3
10029931	3
10029932	3
10029933	3
10029934	3
10029935	3
10029936	3
10029937	3
10029938	3
10029939	3
10029940	3
10029941	3
10029942	3
10029943	3
10029944	4
10029945	4
10029946	4
10029947	4
10029948	4
10029949	4
10029950	4
10029951	3
10029952	3
10029953	3
10029954	3
10029955	3
10029956	3
10029957	3
10029958	3
10029959	3
10029960	3
10029961	3
10029962	3
10029963	3
10029964	3
10029965	4
10029966	4
10029967	4
10029968	4
10029969	4
10029970	4
10029971	4
10029972	3
10029973	3
10029974	3
10029975	3
10029976	3
10029977	3
10029978	3
10029979	3
10029980	3
10029981	3
10029982	3
10029983	3
10029984	3
10029985	3
10029986	4
10029987	4
10029988	4
10029989	4
10029990	4
10029991	4
10029992	4
10029993	3
10029994	3
10029995	3
10029996	3
10029997	3
10029998	3
10029999	3
10034003	1
10034004	2
10038600	1
10038700	1
10038701	2
10038803	1
10038804	1
10038805	1
10038810	2
10038811	2
10038850	3
10038851	3
10038852	3
10038853	3
10038854	3
10038855	3
10038856	3
10038857	3
10038858	3
10038859	3
10039000	1
10039001	1
10039002	1
10039003	2
10039004	2
10039005	3
10039006	4
10039007	4
10039010	1
10039011	1
10039012	1
10039013	2
10039014	2
10039015	3
10039916	3
10039917	3
10039918	3
10039919	3
10039920	3
10039921	3
10039922	3
10039923	4
10039924	4
10039925	4
10039926	4
10039927	4
10039928	4
10039929	4
10039930	3
10039931	3
10039932	3
10039933	3
10039934	3
10039935	3
10039936	3
10039937	3
10039938	3
10039939	3
10039940	3
10039941	3
10039942	3
10039943	3
10039944	4
10039945	4
10039946	4
10039947	4
10039948	4
10039949	4
10039950	4
10039951	3
10039952	3
10039953	3
10039954	3
10039955	3
10039956	3
10039957	3
10039958	3
10039959	3
10039960	3
10039961	3
10039962	3
10039963	3
10039964	3
10039965	4
10039966	4
10039967	4
10039968	4
10039969	4
10039970	4
10039971	4
