NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM
index	武士装备	剑侠装备	骑射手装备	火枪装备	先知装备	萨满装备	十字军装备	圣火使装备	刺客装备	近卫军装备	隐修士装备	僧侣装备
0	10014001	10024001	10034001	10044001	10054001	10064001	10354001	10364001	10374001	10384001	10394001	10404001
1	10014002	10024002	10034002	10044002	10054002	10064002	10354002	10364002	10374002	10384002	10394002	10404002
2	10014003	10024003	10034003	10044003	10054003	10064003	10354003	10364003	10374003	10384003	10394003	10404003
3	10014004	10024004	10034004	10044004	10054004	10064004	10354004	10364004	10374004	10384004	10394004	10404004
4	10019600	10028600	10038600	10048600	10058600	10068600	10354200	10364200	10374200	10384200	10394200	10404200
5	10019700	10028700	10038700	10048700	10058700	10068700	10354100	10364100	10374100	10384100	10394100	10404100
6	10019701	10028701	10038701	10048701	10058701	10068701	10354101	10364101	10374101	10384101	10394101	10404101
7	10019801	10028801	10038801	10048801	10058801	10068801	10355001	10365001	10375001	10385001	10395001	10405001
8	10019802	10028802	10038802	10048802	10058802	10068802	10355002	10365002	10375002	10385002	10395002	10405002
9	10019803	10028803	10038803	10048803	10058803	10068803	10355003	10365003	10375003	10385003	10395003	10405003
10	10019804	10028804	10038804	10048804	10058804	10068804	10355200	10365200	10375200	10385200	10395200	10405200
11	10019805	10028805	10038805	10048805	10058805	10068805	10355100	10365100	10375100	10385100	10395100	10405100
12	10019810	10028810	10038810	10048810	10058810	10068810	10355004	10365004	10375004	10385004	10395004	10405004
13	10019811	10028811	10038811	10048811	10058811	10068811	10355101	10365101	10375101	10385101	10395101	10405101
14	10019850	10028850	10038850	10048850	10058850	10068850	10354005	10364005	10374005	10384005	10394005	10404005
15	10019851	10028851	10038851	10048851	10058851	10068851	10354102	10364102	10374102	10384102	10394102	10404102
16	10019852	10028852	10038852	10048852	10058852	10068852	10355005	10365005	10375005	10385005	10395005	10405005
17	10019853	10028853	10038853	10048853	10058853	10068853	10355102	10365102	10375102	10385102	10395102	10405102
18	10019854	10028854	10038854	10048854	10058854	10068854	10354201	10364201	10374201	10384201	10394201	10404201
19	10019855	10028855	10038855	10048855	10058855	10068855	10354202	10364202	10374202	10384202	10394202	10404202
20	10019856	10028856	10038856	10048856	10058856	10068856	10354203	10364203	10374203	10384203	10394203	10404203
21	10019857	10028857	10038857	10048857	10058857	10068857	10355201	10365201	10375201	10385201	10395201	10405201
22	10019858	10028858	10038858	10048858	10058858	10068858	10355202	10365202	10375202	10385202	10395202	10405202
23	10019859	10028859	10038859	10048859	10058859	10068859	10355203	10365203	10375203	10385203	10395203	10405203
24	10019900	10029000	10039000	10049000	10059000	10069000	10354301	10364301	10374301	10384301	10394301	10404301
25	10019901	10029001	10039001	10049001	10059001	10069001	10354302	10364302	10374302	10384302	10394302	10404302
26	10019902	10029002	10039002	10049002	10059002	10069002	10354303	10364303	10374303	10384303	10394303	10404303
27	10019903	10029003	10039003	10049003	10059003	10069003	10354401	10364401	10374401	10384401	10394401	10404401
28	10019904	10029004	10039004	10049004	10059004	10069004	10354402	10364402	10374402	10384402	10394402	10404402
29	10019905	10029005	10039005	10049005	10059005	10069005	10354403	10364403	10374403	10384403	10394403	10404403
30	10019906	10029006	10039006	10049006	10059006	10069006	10355404	10365404	10375404	10385404	10395404	10405404
