NUM	TEXT	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM
ID	纹样名称	蓝属性1ID	蓝属性1数值	蓝属性2ID	蓝属性2数值	蓝属性3ID	蓝属性3数值	蓝属性4ID	蓝属性4数值	蓝属性5ID	蓝属性5数值	蓝属性6ID	蓝属性6数值	蓝属性7ID	蓝属性7数值	蓝属性8ID	蓝属性8数值
11010201	攻击+80	12	80	14	80	10	80	0	0	0	0	0	0	0	0	0	0
11010202	攻击+50	12	50	14	50	10	50	0	0	0	0	0	0	0	0	0	0
11010213	攻击+50	12	50	14	50	10	50	0	0	0	0	0	0	0	0	0	0
11010221	防御+50	18	50	20	50	16	50	0	0	0	0	0	0	0	0	0	0
11010222	防御+30	18	30	20	30	16	30	0	0	0	0	0	0	0	0	0	0
11010241	生命上限+960	22	960	0	0	0	0	0	0	0	0	0	0	0	0	0	0
11010242	生命上限+600	22	600	0	0	0	0	0	0	0	0	0	0	0	0	0	0
11010243	生命上限+5000	22	5000	0	0	0	0	0	0	0	0	0	0	0	0	0	0
11010261	暴攻	53	3	12	130	14	130	10	130	0	0	0	0	0	0	0	0
11010281	韧攻	54	3	12	130	14	130	10	130	0	0	0	0	0	0	0	0
11010301	命攻	50	3	12	130	14	130	10	130	0	0	0	0	0	0	0	0
11010321	闪攻	51	3	12	130	14	130	10	130	0	0	0	0	0	0	0	0
11010341	免暴伤攻	118	6	12	130	14	130	10	130	0	0	0	0	0	0	0	0
11010361	暴防	53	3	18	100	20	100	16	100	0	0	0	0	0	0	0	0
11010381	韧防	54	3	18	100	20	100	16	100	0	0	0	0	0	0	0	0
11010401	命防	50	3	18	100	20	100	16	100	0	0	0	0	0	0	0	0
11010421	闪防	51	3	18	100	20	100	16	100	0	0	0	0	0	0	0	0
11010441	免暴伤防	118	6	18	100	20	100	16	100	0	0	0	0	0	0	0	0
11010461	暴血	53	3	22	2000	0	0	0	0	0	0	0	0	0	0	0	0
11010481	韧血	54	3	22	2000	0	0	0	0	0	0	0	0	0	0	0	0
11010501	命血	50	3	22	2000	0	0	0	0	0	0	0	0	0	0	0	0
11010521	闪血	51	3	22	2000	0	0	0	0	0	0	0	0	0	0	0	0
11010541	免暴伤血	118	6	22	2000	0	0	0	0	0	0	0	0	0	0	0	0
11010561	武士伤害+血	225	10	22	2000	0	0	0	0	0	0	0	0	0	0	0	0
11010581	剑侠伤害+血	226	10	22	2000	0	0	0	0	0	0	0	0	0	0	0	0
11010601	骑射伤害+血	227	10	22	2000	0	0	0	0	0	0	0	0	0	0	0	0
11010621	火枪伤害+血	228	10	22	2000	0	0	0	0	0	0	0	0	0	0	0	0
11010641	先知伤害+血	229	10	22	2000	0	0	0	0	0	0	0	0	0	0	0	0
11010661	萨满伤害+血	230	10	22	2000	0	0	0	0	0	0	0	0	0	0	0	0
11010681	十字军伤害+血	231	10	22	2000	0	0	0	0	0	0	0	0	0	0	0	0
11010701	圣火使伤害+血	232	10	22	2000	0	0	0	0	0	0	0	0	0	0	0	0
11010721	刺客伤害+血	233	10	22	2000	0	0	0	0	0	0	0	0	0	0	0	0
11010741	近卫军伤害+血	234	10	22	2000	0	0	0	0	0	0	0	0	0	0	0	0
11010761	隐修士伤害+血	235	10	22	2000	0	0	0	0	0	0	0	0	0	0	0	0
11010781	僧侣伤害+血	236	10	22	2000	0	0	0	0	0	0	0	0	0	0	0	0
11010801	武士伤害-血	109	10	22	2000	0	0	0	0	0	0	0	0	0	0	0	0
11010821	剑侠伤害-血	110	10	22	2000	0	0	0	0	0	0	0	0	0	0	0	0
11010841	骑射伤害-血	111	10	22	2000	0	0	0	0	0	0	0	0	0	0	0	0
11010861	火枪伤害-血	112	10	22	2000	0	0	0	0	0	0	0	0	0	0	0	0
11010881	先知伤害-血	113	10	22	2000	0	0	0	0	0	0	0	0	0	0	0	0
11010901	萨满伤害-血	114	10	22	2000	0	0	0	0	0	0	0	0	0	0	0	0
11010921	十字军伤害-血	211	10	22	2000	0	0	0	0	0	0	0	0	0	0	0	0
11010941	圣火使伤害-血	212	10	22	2000	0	0	0	0	0	0	0	0	0	0	0	0
11010961	刺客伤害-血	213	10	22	2000	0	0	0	0	0	0	0	0	0	0	0	0
11010981	近卫军伤害-血	214	10	22	2000	0	0	0	0	0	0	0	0	0	0	0	0
11011001	隐修士伤害-血	215	10	22	2000	0	0	0	0	0	0	0	0	0	0	0	0
11011021	僧侣伤害-血	216	10	22	2000	0	0	0	0	0	0	0	0	0	0	0	0
11011041	落马暴	245	2	53	2	0	0	0	0	0	0	0	0	0	0	0	0
11011061	破甲暴	247	2	53	2	0	0	0	0	0	0	0	0	0	0	0	0
11011081	必中暴	250	2	53	2	0	0	0	0	0	0	0	0	0	0	0	0
11011101	神圣一击暴	222	2	53	2	0	0	0	0	0	0	0	0	0	0	0	0
11011121	落马韧	245	2	54	2	0	0	0	0	0	0	0	0	0	0	0	0
11011141	破甲韧	247	2	54	2	0	0	0	0	0	0	0	0	0	0	0	0
11011161	必中韧	250	2	54	2	0	0	0	0	0	0	0	0	0	0	0	0
11011181	神圣一击韧	222	2	54	2	0	0	0	0	0	0	0	0	0	0	0	0
11011201	落马命	245	2	50	2	0	0	0	0	0	0	0	0	0	0	0	0
11011221	破甲命	247	2	50	2	0	0	0	0	0	0	0	0	0	0	0	0
11011241	必中命	250	2	50	2	0	0	0	0	0	0	0	0	0	0	0	0
11011261	神圣一击命	222	2	50	2	0	0	0	0	0	0	0	0	0	0	0	0
11011281	落马闪	245	2	51	2	0	0	0	0	0	0	0	0	0	0	0	0
11011301	破甲闪	247	2	51	2	0	0	0	0	0	0	0	0	0	0	0	0
11011321	必中闪	250	2	51	2	0	0	0	0	0	0	0	0	0	0	0	0
11011341	神圣一击闪	222	2	51	2	0	0	0	0	0	0	0	0	0	0	0	0
11011361	落马血	245	2	22	2000	0	0	0	0	0	0	0	0	0	0	0	0
11011381	破甲血	247	2	22	2000	0	0	0	0	0	0	0	0	0	0	0	0
11011401	必中血	250	2	22	2000	0	0	0	0	0	0	0	0	0	0	0	0
11011421	神圣一击血	222	2	22	2000	0	0	0	0	0	0	0	0	0	0	0	0
11011441	马术血	246	3	22	2000	0	0	0	0	0	0	0	0	0	0	0	0
11011450	经验7%所有属性50	8	50	115	7	0	0	0	0	0	0	0	0	0	0	0	0
11011451	经验7%所有属性150	8	150	115	7	0	0	0	0	0	0	0	0	0	0	0	0
11011452	经验9%所有属性300	8	300	115	9	0	0	0	0	0	0	0	0	0	0	0	0
11011461	不破血	249	3	22	2000	0	0	0	0	0	0	0	0	0	0	0	0
11011481	移动速度血	88	50	22	2000	0	0	0	0	0	0	0	0	0	0	0	0
11011482	350全属性10经验3暴击	8	350	115	10	53	3	0	0	0	0	0	0	0	0	0	0
11011483	3暴击5爆伤3命中所有攻击150	53	3	118	5	12	150	14	150	10	150	0	0	0	0	0	0
