NUM	TEXT	NUM	NUM	TEXT
蓝丸ID	蓝丸名称（只是为了看）	蓝丸等级（只是为了看）	蓝丸强化的条目	适用的装备类型
11000866	单纹水蓝石	1	1	1|2|3|4|5|6|7|8|9|10|11|12|20|23|24|25|26|27|35|36|37|38|39|40|41|42|43|44|45|46
11000867	单纹水蓝石	2	1	1|2|3|4|5|6|7|8|9|10|11|12|20|23|24|25|26|27|35|36|37|38|39|40|41|42|43|44|45|46
11000868	单纹水蓝石	3	1	1|2|3|4|5|6|7|8|9|10|11|12|20|23|24|25|26|27|35|36|37|38|39|40|41|42|43|44|45|46
11000869	单纹水蓝石	4	1	1|2|3|4|5|6|7|8|9|10|11|12|20|23|24|25|26|27|35|36|37|38|39|40|41|42|43|44|45|46
11000870	单纹水蓝石	5	1	1|2|3|4|5|6|7|8|9|10|11|12|20|23|24|25|26|27|35|36|37|38|39|40|41|42|43|44|45|46
11000871	双纹水蓝石	1	2	1|2|3|4|5|6|7|8|9|10|11|12|20|23|24|25|26|27|35|36|37|38|39|40|41|42|43|44|45|46
11000872	双纹水蓝石	2	2	1|2|3|4|5|6|7|8|9|10|11|12|20|23|24|25|26|27|35|36|37|38|39|40|41|42|43|44|45|46
11000873	双纹水蓝石	3	2	1|2|3|4|5|6|7|8|9|10|11|12|20|23|24|25|26|27|35|36|37|38|39|40|41|42|43|44|45|46
11000874	双纹水蓝石	4	2	1|2|3|4|5|6|7|8|9|10|11|12|20|23|24|25|26|27|35|36|37|38|39|40|41|42|43|44|45|46
11000875	双纹水蓝石	5	2	1|2|3|4|5|6|7|8|9|10|11|12|20|23|24|25|26|27|35|36|37|38|39|40|41|42|43|44|45|46
11000876	三纹水蓝石	1	3	1|2|3|4|5|6|7|8|9|10|11|12|20|23|24|25|26|27|35|36|37|38|39|40|41|42|43|44|45|46
11000877	三纹水蓝石	2	3	1|2|3|4|5|6|7|8|9|10|11|12|20|23|24|25|26|27|35|36|37|38|39|40|41|42|43|44|45|46
11000878	三纹水蓝石	3	3	1|2|3|4|5|6|7|8|9|10|11|12|20|23|24|25|26|27|35|36|37|38|39|40|41|42|43|44|45|46
11000879	三纹水蓝石	4	3	1|2|3|4|5|6|7|8|9|10|11|12|20|23|24|25|26|27|35|36|37|38|39|40|41|42|43|44|45|46
11000880	三纹水蓝石	5	3	1|2|3|4|5|6|7|8|9|10|11|12|20|23|24|25|26|27|35|36|37|38|39|40|41|42|43|44|45|46
11000881	四纹水蓝石	1	4	1|2|3|4|5|6|7|8|9|10|11|12|20|23|24|25|26|27|35|36|37|38|39|40|41|42|43|44|45|46
11000882	四纹天蓝石	2	4	1|2|3|4|5|6|7|8|9|10|11|12|20|23|24|25|26|27|35|36|37|38|39|40|41|42|43|44|45|46
11000883	四纹水蓝石	3	4	1|2|3|4|5|6|7|8|9|10|11|12|20|23|24|25|26|27|35|36|37|38|39|40|41|42|43|44|45|46
11000884	四纹水蓝石	4	4	1|2|3|4|5|6|7|8|9|10|11|12|20|23|24|25|26|27|35|36|37|38|39|40|41|42|43|44|45|46
11000885	四纹水蓝石	5	4	1|2|3|4|5|6|7|8|9|10|11|12|20|23|24|25|26|27|35|36|37|38|39|40|41|42|43|44|45|46
11000886	五纹水蓝石	1	5	1|2|3|4|5|6|7|8|9|10|11|12|20|23|24|25|26|27|35|36|37|38|39|40|41|42|43|44|45|46
11000887	五纹天蓝石	2	5	1|2|3|4|5|6|7|8|9|10|11|12|20|23|24|25|26|27|35|36|37|38|39|40|41|42|43|44|45|46
11000888	五纹靛蓝石	3	5	1|2|3|4|5|6|7|8|9|10|11|12|20|23|24|25|26|27|35|36|37|38|39|40|41|42|43|44|45|46
11000889	五纹水蓝石	4	5	1|2|3|4|5|6|7|8|9|10|11|12|20|23|24|25|26|27|35|36|37|38|39|40|41|42|43|44|45|46
11000890	五纹水蓝石	5	5	1|2|3|4|5|6|7|8|9|10|11|12|20|23|24|25|26|27|35|36|37|38|39|40|41|42|43|44|45|46
