NUM	TEXT	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM
属性ID编号	属性名称	一级蓝丸数值类型（1，固定值2，百分比值）	一级蓝丸数值	计算结果的分母系数（向下取整）	二级数值类型（1，固定值2，百分比值）	二级蓝丸数值	计算结果的分母系数（向下取整）	三级数值类型（1，固定值2，百分比值）	三级蓝丸	计算结果的分母系数（向下取整）	四级数值类型（1，固定值2，百分比值）	四级蓝丸	计算结果的分母系数（向下取整）	五级数值类型（1，固定值2，百分比值）	五级蓝丸	计算结果的分母系数（向下取整）
0	力量点数	1	45	1	1	70	1	1	90	1	1	160	1	1	240	1
1	力量百分比	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1
2	敏捷点数	1	45	1	1	70	1	1	90	1	1	160	1	1	240	1
3	敏捷百分比	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1
4	智力点数	1	45	1	1	70	1	1	90	1	1	160	1	1	240	1
5	智力百分比	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1
6	体质点数	1	45	1	1	70	1	1	90	1	1	160	1	1	240	1
7	体质百分比	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1
8	所有属性	1	20	1	1	30	1	1	40	1	1	70	1	1	100	1
9	所有属性百分比	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1
10	魔攻伤害点数	1	22	1	1	33	1	1	44	1	1	66	1	1	100	1
11	魔攻伤害百分比	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1
12	近攻伤害点数	1	22	1	1	33	1	1	44	1	1	75	1	1	100	1
13	近攻伤害百分比	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1
14	远攻伤害点数	1	22	1	1	33	1	1	44	1	1	75	1	1	100	1
15	远攻伤害百分比	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1
16	魔攻防御点数	1	22	1	1	33	1	1	44	1	1	66	1	1	100	1
17	魔攻防御百分比	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1
18	近攻防御点数	1	22	1	1	33	1	1	44	1	1	75	1	1	100	1
19	近攻防御百分比	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1
20	远攻防御点数	1	22	1	1	33	1	1	44	1	1	75	1	1	100	1
21	远攻防御百分比	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1
22	生命值上限点数	1	450	1	1	675	1	1	900	1	1	1350	1	1	2250	1
23	生命值上限百分比	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1
26	怒气上限点数	1	5	2	1	10	3	1	10	2	1	10	2	1	10	2
27	能量上限点数	1	5	2	1	10	3	1	10	2	1	10	2	1	10	2
28	箭支上限点数	1	1	2	1	2	3	1	2	2	1	2	2	1	2	2
29	弹药上限点数	1	1	2	1	2	3	1	2	2	1	2	2	1	2	2
30	魔法上限点数	1	1200	2	1	2400	3	1	2400	2	1	2400	2	1	2400	2
31	灵力上限点数	1	1200	2	1	2400	3	1	2400	2	1	2400	2	1	2400	2
38	怒气回复	1	2	3	1	4	4	1	4	3	1	4	3	1	4	3
39	能量回复	1	2	3	1	4	4	1	4	3	1	4	3	1	4	3
40	箭支回复	1	1	3	1	2	4	1	2	3	1	2	3	1	2	3
41	弹药回复	1	1	3	1	2	4	1	2	3	1	2	3	1	2	3
42	魔法回复	1	10	3	1	20	4	1	20	3	1	20	3	1	20	3
43	灵力回复	1	10	3	1	20	4	1	20	3	1	20	3	1	20	3
50	命中	1	1	2	1	2	3	1	2	2	1	2	2	1	2	2
51	闪避	1	1	2	1	2	3	1	2	2	1	2	2	1	2	2
53	暴击	1	1	2	1	2	3	1	2	2	1	2	2	1	2	2
54	韧性	1	1	2	1	2	3	1	2	2	1	2	2	1	2	2
88	移动速度	1	100	2	1	200	3	1	200	2	1	200	2	1	200	2
90	攻击速度	1	100	4	1	200	5	1	200	4	1	200	4	1	200	4
94	生命回复	1	5	1	1	10	2	1	10	1	1	10	1	1	10	1
97	暴击伤害	1	2	3	1	4	4	1	4	3	1	4	3	1	4	3
109	抵抗武士职业伤害	1	1	2	1	2	3	1	2	2	1	2	2	1	2	2
110	抵抗剑侠职业伤害	1	1	2	1	2	3	1	2	2	1	2	2	1	2	2
111	抵抗骑射手职业伤害	1	1	2	1	2	3	1	2	2	1	2	2	1	2	2
112	抵抗火枪手职业伤害	1	1	2	1	2	3	1	2	2	1	2	2	1	2	2
113	抵抗先知职业伤害	1	1	2	1	2	3	1	2	2	1	2	2	1	2	2
114	抵抗萨满职业伤害	1	1	2	1	2	3	1	2	2	1	2	2	1	2	2
115	增加经验获得	1	1	3	1	2	4	1	2	3	1	2	3	1	2	3
149	按百分比抵消近攻攻击	1	1	3	1	2	4	1	2	3	1	2	3	1	2	3
150	按百分比抵消远攻攻击	1	1	3	1	2	4	1	2	3	1	2	3	1	2	3
151	按百分比抵消魔攻攻击	1	1	3	1	2	4	1	2	3	1	2	3	1	2	3
163	按百分比抵消三系伤害	1	1	4	1	2	5	1	2	4	1	2	4	1	2	4
190	几率触发近攻免疫	1	1	3	1	2	4	1	2	3	1	2	3	1	2	3
191	几率触发远攻免疫	1	1	3	1	2	4	1	2	3	1	2	3	1	2	3
192	几率触发魔法免疫	1	1	3	1	2	4	1	2	3	1	2	3	1	2	3
201	近伤反免疫	1	1	3	1	2	4	1	2	3	1	2	3	1	2	3
202	远伤反免疫	1	1	3	1	2	4	1	2	3	1	2	3	1	2	3
203	魔伤反免疫	1	1	3	1	2	4	1	2	3	1	2	3	1	2	3
211	抵抗十字军职业伤害	1	1	2	1	2	3	1	2	2	1	2	2	1	2	2
212	抵抗圣火使职业伤害	1	1	2	1	2	3	1	2	2	1	2	2	1	2	2
213	抵抗刺客职业伤害	1	1	2	1	2	3	1	2	2	1	2	2	1	2	2
214	抵抗近卫军职业伤害	1	1	2	1	2	3	1	2	2	1	2	2	1	2	2
215	抵抗隐修士职业伤害	1	1	2	1	2	3	1	2	2	1	2	2	1	2	2
216	抵抗僧侣职业伤害	1	1	2	1	2	3	1	2	2	1	2	2	1	2	2
217	反射远攻伤害	1	1	3	1	2	4	1	2	3	1	2	3	1	2	3
218	吸血	1	1	3	1	2	4	1	2	3	1	2	3	1	2	3
220	几率触发减攻击速度5秒	1	1	3	1	2	4	1	2	3	1	2	3	1	2	3
221	几率触发减移动速度2秒	1	1	3	1	2	4	1	2	3	1	2	3	1	2	3
222	几率触发攻击双倍	1	1	3	1	2	4	1	2	3	1	2	3	1	2	3
223	几率触发眩晕1秒	1	1	3	1	2	4	1	2	3	1	2	3	1	2	3
224	几率触发忽视近攻防御	1	1	3	1	2	4	1	2	3	1	2	3	1	2	3
225	增强对武士伤害	1	1	2	1	2	3	1	2	2	1	2	2	1	2	2
226	增强对剑侠伤害	1	1	2	1	2	3	1	2	2	1	2	2	1	2	2
227	增强对骑射手伤害	1	1	2	1	2	3	1	2	2	1	2	2	1	2	2
228	增强对火枪手伤害	1	1	2	1	2	3	1	2	2	1	2	2	1	2	2
229	增强对先知伤害	1	1	2	1	2	3	1	2	2	1	2	2	1	2	2
230	增强对萨满伤害	1	1	2	1	2	3	1	2	2	1	2	2	1	2	2
231	增强对十字军伤害	1	1	2	1	2	3	1	2	2	1	2	2	1	2	2
232	增强对圣火使伤害	1	1	2	1	2	3	1	2	2	1	2	2	1	2	2
233	增强对刺客伤害	1	1	2	1	2	3	1	2	2	1	2	2	1	2	2
234	增强对近卫军伤害	1	1	2	1	2	3	1	2	2	1	2	2	1	2	2
235	增强对隐修士伤害	1	1	2	1	2	3	1	2	2	1	2	2	1	2	2
236	增强对僧侣伤害	1	1	2	1	2	3	1	2	2	1	2	2	1	2	2
245	落马	1	1	3	1	2	4	1	2	3	1	2	3	1	2	3
246	马术	1	1	3	1	2	4	1	2	3	1	2	3	1	2	3
247	破坏装备耐久	1	1	3	1	2	4	1	2	3	1	2	3	1	2	3
248	增加三防点数          	1	8	1	1	12	1	1	16	1	1	66	1	1	100	1
249	装备耐久保护	1	1	3	1	2	4	1	2	3	1	2	3	1	2	3
250	几率触发必中	1	1	3	1	2	4	1	2	3	1	2	3	1	2	3
251	几率触发忽视远攻防御	1	1	3	1	2	4	1	2	3	1	2	3	1	2	3
252	几率触发忽视魔法防御	1	1	3	1	2	4	1	2	3	1	2	3	1	2	3
253	反射近攻伤害	1	1	3	1	2	4	1	2	3	1	2	3	1	2	3
254	反射魔法伤害	1	1	3	1	2	4	1	2	3	1	2	3	1	2	3
