NUM	NUM	TEXT	TEXT	NUM	TEXT	NUM	TEXT
ID	陨星石ID(ID不重复)	陨星石名称（只是为了看）	陨星石等级（只是为了看）	陨星石数量	影响属性偏向类型	影响偏向百分比	适用的装备Type类别
1	11000635	神力之源·主手	1	1	143|144|145	10	1|2|3|4|5|6|35|36|37|38|39|40
2	11000636	神力之源·副手	1	1	143|144|145	20	7|8|9|10|11|12|41|42|43|44|45|46
3	11000637	神力之源·头盔	1	1	143|144|145	30	20
4	11000638	神力之源·战甲	1	1	143|144|145	40	23
5	11000639	神力之源·腰带	1	1	143|144|145	50	26
6	11000640	神力之源·项链	1	1	143|144|145	60	24
7	11000641	神力之源·护手	1	1	143|144|145	70	25
8	11000642	神力之源·战靴	1	1	143|144|145	80	27
9	11000643	神力之源·主手	2	1	143|144|145	90	1|2|3|4|5|6|35|36|37|38|39|40
10	11000644	神力之源·副手	2	1	143|144|145	10	7|8|9|10|11|12|41|42|43|44|45|46
11	11000645	神力之源·头盔	2	1	143|144|145	20	20
12	11000646	神力之源·战甲	2	1	143|144|145	30	23
13	11000647	神力之源·腰带	2	1	143|144|145	40	26
14	11000648	神力之源·项链	2	1	143|144|145	50	24
15	11000649	神力之源·护手	2	1	143|144|145	60	25
16	11000650	神力之源·战靴	2	1	143|144|145	70	27
17	11000651	神力之源·主手	3	1	143|144|145	80	1|2|3|4|5|6|35|36|37|38|39|40
18	11000652	神力之源·副手	3	1	143|144|145	90	7|8|9|10|11|12|41|42|43|44|45|46
19	11000653	神力之源·头盔	3	1	143|144|145	10	20
20	11000654	神力之源·战甲	3	1	143|144|145	20	23
21	11000655	神力之源·腰带	3	1	143|144|145	30	26
22	11000656	神力之源·项链	3	1	143|144|145	40	24
23	11000657	神力之源·护手	3	1	143|144|145	50	25
24	11000658	神力之源·战靴	3	1	143|144|145	60	27
25	11000659	神力之源·主手	4	1	143|144|145	70	1|2|3|4|5|6|35|36|37|38|39|40
26	11000660	神力之源·副手	4	1	143|144|145	80	7|8|9|10|11|12|41|42|43|44|45|46
27	11000661	神力之源·头盔	4	1	143|144|145	90	20
28	11000662	神力之源·战甲	4	1	143|144|145	10	23
29	11000663	神力之源·腰带	4	1	143|144|145	20	26
30	11000664	神力之源·项链	4	1	143|144|145	30	24
31	11000665	神力之源·护手	4	1	143|144|145	40	25
32	11000666	神力之源·战靴	4	1	143|144|145	50	27
33	11000667	神力之源·主手	5	1	143|144|145	60	1|2|3|4|5|6|35|36|37|38|39|40
34	11000668	神力之源·副手	5	1	143|144|145	70	7|8|9|10|11|12|41|42|43|44|45|46
35	11000669	神力之源·头盔	5	1	143|144|145	80	20
36	11000670	神力之源·战甲	5	1	143|144|145	90	23
37	11000671	神力之源·腰带	5	1	143|144|145	10	26
38	11000672	神力之源·项链	5	1	143|144|145	20	24
39	11000673	神力之源·护手	5	1	143|144|145	30	25
40	11000674	神力之源·战靴	5	1	143|144|145	40	27
41	11000675	神力之源·主手	6	1	143|144|145	50	1|2|3|4|5|6|35|36|37|38|39|40
42	11000676	神力之源·副手	6	1	143|144|145	60	7|8|9|10|11|12|41|42|43|44|45|46
43	11000677	神力之源·头盔	6	1	143|144|145	70	20
44	11000678	神力之源·战甲	6	1	143|144|145	80	23
45	11000679	神力之源·腰带	6	1	143|144|145	90	26
46	11000680	神力之源·项链	6	1	143|144|145	10	24
47	11000681	神力之源·护手	6	1	143|144|145	20	25
48	11000682	神力之源·战靴	6	1	143|144|145	30	27
49	11000683	神力之源·主手	7	1	143|144|145	40	1|2|3|4|5|6|35|36|37|38|39|40
50	11000684	神力之源·副手	7	1	143|144|145	50	7|8|9|10|11|12|41|42|43|44|45|46
51	11000685	神力之源·头盔	7	1	143|144|145	60	20
52	11000686	神力之源·战甲	7	1	143|144|145	70	23
53	11000687	神力之源·腰带	7	1	143|144|145	80	26
54	11000688	神力之源·项链	7	1	143|144|145	90	24
55	11000689	神力之源·护手	7	1	143|144|145	100	25
56	11000690	神力之源·战靴	7	1	143|144|145	100	27
57	11000691	神力之源·主手	8	1	143|144|145	100	1|2|3|4|5|6|35|36|37|38|39|40
58	11000692	神力之源·副手	8	1	143|144|145	100	7|8|9|10|11|12|41|42|43|44|45|46
59	11000693	神力之源·头盔	8	1	143|144|145	100	20
60	11000694	神力之源·战甲	8	1	143|144|145	100	23
61	11000695	神力之源·腰带	8	1	143|144|145	100	26
62	11000696	神力之源·项链	8	1	143|144|145	100	24
63	11000697	神力之源·护手	8	1	143|144|145	100	25
64	11000698	神力之源·战靴	8	1	143|144|145	100	27
65	11000820	神力之源·主手	9	1	143|144|145	100	1|2|3|4|5|6|35|36|37|38|39|40
66	11000821	神力之源·副手	9	1	143|144|145	100	7|8|9|10|11|12|41|42|43|44|45|46
67	11000822	神力之源·头盔	9	1	143|144|145	100	20
68	11000823	神力之源·战甲	9	1	143|144|145	100	23
69	11000824	神力之源·腰带	9	1	143|144|145	100	26
70	11000825	神力之源·项链	9	1	143|144|145	100	24
71	11000826	神力之源·护手	9	1	143|144|145	100	25
72	11000827	神力之源·战靴	9	1	143|144|145	100	27
73	12251000	守护之源·主手	1	1	146|147|148	10	1|2|3|4|5|6|35|36|37|38|39|40
74	12251001	守护之源·副手	1	1	146|147|148	20	7|8|9|10|11|12|41|42|43|44|45|46
75	12251002	守护之源·头盔	1	1	146|147|148	30	20
76	12251003	守护之源·战甲	1	1	146|147|148	40	23
77	12251004	守护之源·腰带	1	1	146|147|148	50	26
78	12251005	守护之源·项链	1	1	146|147|148	60	24
79	12251006	守护之源·护手	1	1	146|147|148	70	25
80	12251007	守护之源·战靴	1	1	146|147|148	80	27
81	12251008	守护之源·主手	2	1	146|147|148	90	1|2|3|4|5|6|35|36|37|38|39|40
82	12251009	守护之源·副手	2	1	146|147|148	10	7|8|9|10|11|12|41|42|43|44|45|46
83	12251010	守护之源·头盔	2	1	146|147|148	20	20
84	12251011	守护之源·战甲	2	1	146|147|148	30	23
85	12251012	守护之源·腰带	2	1	146|147|148	40	26
86	12251013	守护之源·项链	2	1	146|147|148	50	24
87	12251014	守护之源·护手	2	1	146|147|148	60	25
88	12251015	守护之源·战靴	2	1	146|147|148	70	27
89	12251016	守护之源·主手	3	1	146|147|148	80	1|2|3|4|5|6|35|36|37|38|39|40
90	12251017	守护之源·副手	3	1	146|147|148	90	7|8|9|10|11|12|41|42|43|44|45|46
91	12251018	守护之源·头盔	3	1	146|147|148	10	20
92	12251019	守护之源·战甲	3	1	146|147|148	20	23
93	12251020	守护之源·腰带	3	1	146|147|148	30	26
94	12251021	守护之源·项链	3	1	146|147|148	40	24
95	12251022	守护之源·护手	3	1	146|147|148	50	25
96	12251023	守护之源·战靴	3	1	146|147|148	60	27
97	12251024	守护之源·主手	4	1	146|147|148	70	1|2|3|4|5|6|35|36|37|38|39|40
98	12251025	守护之源·副手	4	1	146|147|148	80	7|8|9|10|11|12|41|42|43|44|45|46
99	12251026	守护之源·头盔	4	1	146|147|148	90	20
100	12251027	守护之源·战甲	4	1	146|147|148	10	23
101	12251028	守护之源·腰带	4	1	146|147|148	20	26
102	12251029	守护之源·项链	4	1	146|147|148	30	24
103	12251030	守护之源·护手	4	1	146|147|148	40	25
104	12251031	守护之源·战靴	4	1	146|147|148	50	27
105	12251032	守护之源·主手	5	1	146|147|148	60	1|2|3|4|5|6|35|36|37|38|39|40
106	12251033	守护之源·副手	5	1	146|147|148	70	7|8|9|10|11|12|41|42|43|44|45|46
107	12251034	守护之源·头盔	5	1	146|147|148	80	20
108	12251035	守护之源·战甲	5	1	146|147|148	90	23
109	12251036	守护之源·腰带	5	1	146|147|148	10	26
