NUM	NUM	TEXT	NUM
ID	材料ID	材料名称（只是为了看）	对总值平均分配比例（10000为分母）
1	11000603	一级冥铁	10000
2	11000604	二级冥铁	7500
3	11000605	三级冥铁	5000
4	11000606	四级冥铁	0
5	11000607	五级冥铁	0
6	11000608	六级冥铁	0
7	11000609	七级冥铁	0
8	11000610	八级冥铁	0
9	11000611	九级冥铁	0
10	11000612	一级冥银	10000
11	11000613	二级冥银	9000
12	11000614	三级冥银	8000
13	11000615	四级冥银	7000
14	11000616	五级冥银	6000
15	11000617	六级冥银	5000
16	11000618	七级冥银	4000
17	11000619	八级冥银	3000
18	11000620	九级冥银	0
19	11000621	一级冥金	10000
20	11000622	二级冥金	9000
21	11000623	三级冥金	8000
22	11000624	四级冥金	7000
23	11000625	五级冥金	6000
24	11000626	六级冥金	5000
25	11000627	七级冥金	4000
26	11000628	八级冥金	3000
27	11000629	九级冥金	0
