NUM	TEXT	TEXT	TEXT	TEXT	TEXT	TEXT	NUM	NUM	NUM
技能ID	技能名称	升级需要房屋等级	升级需要马币	升级需要声望	升级需要银卡	升级需要道具	道具数量	开启需要点数	最大等级
16121	加血	1|2|3|4|5|6|7|8|9	1|2|3|4|5|6|7|8|9	1|2|3|4|5|6|7|8|10	1|2|3|4|5|6|7|8|11	10018001	1	1	10
16131	加血	1|2|3|4|5|6|7|8|9	1|2|3|4|5|6|7|8|9	1|2|3|4|5|6|7|8|10	1|2|3|4|5|6|7|8|11	10018001	1	1	10
16141	加血	1|2|3|4|5|6|7|8|9	1|2|3|4|5|6|7|8|9	1|2|3|4|5|6|7|8|10	1|2|3|4|5|6|7|8|11	10018001	1	1	10
16151	加血	1|2|3|4|5|6|7|8|9	1|2|3|4|5|6|7|8|9	1|2|3|4|5|6|7|8|10	1|2|3|4|5|6|7|8|11	10018001	1	1	10
16161	加血	1|2|3|4|5|6|7|8|9	1|2|3|4|5|6|7|8|9	1|2|3|4|5|6|7|8|10	1|2|3|4|5|6|7|8|11	10018001	1	1	10
16171	加血	1|2|3|4|5|6|7|8|9	1|2|3|4|5|6|7|8|9	1|2|3|4|5|6|7|8|10	1|2|3|4|5|6|7|8|11	10018001	1	1	10
16181	加血	1|2|3|4|5|6|7|8|9	1|2|3|4|5|6|7|8|9	1|2|3|4|5|6|7|8|10	1|2|3|4|5|6|7|8|11	10018001	1	1	10
16191	加血	1|2|3|4|5|6|7|8|9	1|2|3|4|5|6|7|8|9	1|2|3|4|5|6|7|8|10	1|2|3|4|5|6|7|8|11	10018001	1	1	10
16201	加血	1|2|3|4|5|6|7|8|9	1|2|3|4|5|6|7|8|9	1|2|3|4|5|6|7|8|10	1|2|3|4|5|6|7|8|11	10018001	1	1	10
16211	加血	1|2|3|4|5|6|7|8|9	1|2|3|4|5|6|7|8|9	1|2|3|4|5|6|7|8|10	1|2|3|4|5|6|7|8|11	10018001	1	1	10
