NUM	TEXT	NUM	NUM	
可洗紫宝石id	名称	宝石分组	新宝石ID	新宝石名称
14010045	纯净的神话级红变石	1	14010485	精致的神话级红变石
14010046	纯净的神话级红变石	1	14010486	精致的神话级红变石
14010047	纯净的神话级红变石	1	14010487	精致的神话级红变石
14010048	纯净的神话级红变石	1	14010488	精致的神话级红变石
14010049	纯净的神话级红变石	1	14010489	精致的神话级红变石
14010050	纯净的神话级红变石	1	14010490	精致的神话级红变石
14010051	纯净的神话级红变石	1	14010491	精致的神话级红变石
14010052	纯净的神话级红变石	1	14010492	精致的神话级红变石
14010053	纯净的神话级红变石	1	14010493	精致的神话级红变石
14010054	纯净的神话级红变石	1	14010494	精致的神话级红变石
14010055	纯净的神话级红变石	1	14010495	精致的神话级红变石
14010056	纯净的神话级红变石	1	14010496	精致的神话级红变石
14010057	纯净的神话级红变石	1	14010497	精致的神话级红变石
14010058	纯净的神话级红变石	1	14010498	精致的神话级红变石
14010059	纯净的神话级红变石	1	14010499	精致的神话级红变石
14010060	纯净的神话级红变石	1	14010500	精致的神话级红变石
14010061	纯净的神话级红变石	1	14010501	精致的神话级红变石
14010062	纯净的神话级红变石	1	14010502	精致的神话级红变石
14010063	纯净的神话级红变石	1	14010503	精致的神话级红变石
14010064	纯净的神话级红变石	1	14010504	精致的神话级红变石
14010065	纯净的神话级红变石	1	14010505	精致的神话级红变石
14010066	纯净的神话级红变石	1	14010506	精致的神话级红变石
14010067	纯净的神话级红变石	1	14010507	精致的神话级红变石
14010068	纯净的神话级红变石	1	14010508	精致的神话级红变石
14010069	纯净的神话级红变石	1	14010509	精致的神话级红变石
14010070	纯净的神话级红变石	1	14010510	精致的神话级红变石
14010071	纯净的神话级红变石	1	14010511	精致的神话级红变石
14010072	纯净的神话级红变石	1	14010512	精致的神话级红变石
14010073	纯净的神话级红变石	1	14010513	精致的神话级红变石
14010074	纯净的神话级红变石	1	14010514	精致的神话级红变石
14010075	纯净的神话级红变石	1	14010515	精致的神话级红变石
14010076	纯净的神话级红变石	1	14010516	精致的神话级红变石
14010077	纯净的神话级红变石	1	14010517	精致的神话级红变石
14010078	纯净的神话级红变石	1	14010518	精致的神话级红变石
14010079	纯净的神话级红变石	1	14010519	精致的神话级红变石
14010080	纯净的神话级红变石	1	14010520	精致的神话级红变石
14010081	纯净的神话级红变石	1	14010521	精致的神话级红变石
14010082	纯净的神话级红变石	1	14010522	精致的神话级红变石
14010083	纯净的神话级红变石	1	14010523	精致的神话级红变石
14010084	纯净的神话级红变石	1	14010524	精致的神话级红变石
14010085	纯净的神话级红变石	1	14010525	精致的神话级红变石
14010086	纯净的神话级红变石	1	14010526	精致的神话级红变石
14010087	纯净的神话级红变石	1	14010527	精致的神话级红变石
14010088	纯净的神话级红变石	1	14010528	精致的神话级红变石
14010089	纯净的神话级红变石	1	14010529	精致的神话级红变石
14010090	纯净的神话级红变石	1	14010530	精致的神话级红变石
