NUM	NUM	NUM	NUM	NUM	TEXT	NUM
编号	激活类型（1表示横向激活，2表示纵向激活）	激活的花色类型（0表示红桃；1表示黑桃；2表示方块；3表示梅花；5红桃且同牌；6表示黑桃且同牌；7方块且同牌；8表示梅花且同牌）	"横向激活的话（1表示激活同花,2表示激活同花一对；3表示激活两队；4表示激活炸弹）纵向激活（2表示激活两行；3表示激活3行；。。。7表示激活7行）"	激活的属性类型	属性名称	激活的属性值大小
0	1	0	1	50	命中	1
1	1	0	2	50	命中	2
2	1	0	3	50	命中	4
3	1	0	4	50	命中	6
4	1	1	1	51	闪避	1
5	1	1	2	51	闪避	2
6	1	1	3	51	闪避	4
7	1	1	4	51	闪避	6
8	1	2	1	53	暴击	1
9	1	2	2	53	暴击	2
10	1	2	3	53	暴击	4
11	1	2	4	53	暴击	6
12	1	3	1	54	韧性	1
13	1	3	2	54	韧性	2
14	1	3	3	54	韧性	4
15	1	3	4	54	韧性	6
16	2	0	2	237	命中平衡	8
17	2	0	3	237	命中平衡	12
18	2	0	4	237	命中平衡	16
19	2	0	5	237	命中平衡	20
20	2	0	6	237	命中平衡	24
21	2	0	7	237	命中平衡	28
22	2	1	2	239	闪避平衡	8
23	2	1	3	239	闪避平衡	12
24	2	1	4	239	闪避平衡	16
25	2	1	5	239	闪避平衡	20
26	2	1	6	239	闪避平衡	24
27	2	1	7	239	闪避平衡	28
28	2	2	2	240	暴击平衡	8
29	2	2	3	240	暴击平衡	12
30	2	2	4	240	暴击平衡	16
31	2	2	5	240	暴击平衡	20
32	2	2	6	240	暴击平衡	24
33	2	2	7	240	暴击平衡	28
34	2	3	2	238	韧性平衡	8
35	2	3	3	238	韧性平衡	12
36	2	3	4	238	韧性平衡	16
37	2	3	5	238	韧性平衡	20
38	2	3	6	238	韧性平衡	24
39	2	3	7	238	韧性平衡	28
40	2	5	2	237	命中平衡	16
41	2	5	3	237	命中平衡	20
42	2	5	4	237	命中平衡	26
43	2	5	5	237	命中平衡	34
44	2	5	6	237	命中平衡	44
45	2	5	7	237	命中平衡	56
46	2	6	2	239	闪避平衡	16
47	2	6	3	239	闪避平衡	20
48	2	6	4	239	闪避平衡	26
49	2	6	5	239	闪避平衡	34
50	2	6	6	239	闪避平衡	44
51	2	6	7	239	闪避平衡	56
52	2	7	2	240	暴击平衡	16
53	2	7	3	240	暴击平衡	20
54	2	7	4	240	暴击平衡	26
55	2	7	5	240	暴击平衡	34
56	2	7	6	240	暴击平衡	44
57	2	7	7	240	暴击平衡	56
58	2	8	2	238	韧性平衡	16
59	2	8	3	238	韧性平衡	20
60	2	8	4	238	韧性平衡	26
61	2	8	5	238	韧性平衡	34
62	2	8	6	238	韧性平衡	44
63	2	8	7	238	韧性平衡	56
