NUM	NUM	NUM	NUM	TEXT	NUM	TEXT	NUM
索引	轮数	顾数	张数	消耗货币类型（可用|隔开）	消耗货币数值	复活消耗货币类型（可用|隔开）	复活消耗货币数值
0	1	1	1	0|1	300	2|3	100
1	1	1	2	0|1	500	2|3	100
2	1	1	3	0|1	1000	2|3	100
3	1	1	4	0|1	3000	2|3	100
4	1	1	5	0|1	5000	2|3	100
5	1	1	6	0|1	10000	2|3	100
6	1	1	7	0|1	20000	2|3	100
7	1	1	8	0|1	30000	2|3	100
8	1	1	9	0|1	40000	2|3	100
9	1	2	1	0|1	500	2|3	300
10	1	2	2	0|1	1000	2|3	300
11	1	2	3	0|1	3000	2|3	300
12	1	2	4	0|1	5000	2|3	300
13	1	2	5	0|1	10000	2|3	300
14	1	2	6	0|1	30000	2|3	300
15	1	2	7	0|1	50000	2|3	300
16	1	2	8	0|1	75000	2|3	300
17	1	2	9	0|1	100000	2|3	300
18	1	3	1	0|1	2000	2|3	500
19	1	3	2	0|1	5000	2|3	500
20	1	3	3	0|1	10000	2|3	500
21	1	3	4	0|1	20000	2|3	500
22	1	3	5	0|1	50000	2|3	500
23	1	3	6	0|1	100000	2|3	500
24	1	3	7	0|1	200000	2|3	500
25	1	3	8	0|1	300000	2|3	500
26	1	3	9	0|1	400000	2|3	500
27	2	1	1	0|1	300	2|3	100
28	2	1	2	0|1	500	2|3	100
29	2	1	3	0|1	1000	2|3	100
30	2	1	4	0|1	3000	2|3	100
31	2	1	5	0|1	5000	2|3	100
32	2	1	6	0|1	10000	2|3	100
33	2	1	7	0|1	20000	2|3	100
34	2	1	8	0|1	30000	2|3	100
35	2	1	9	0|1	40000	2|3	100
36	2	2	1	0|1	500	2|3	300
37	2	2	2	0|1	1000	2|3	300
38	2	2	3	0|1	3000	2|3	300
39	2	2	4	0|1	5000	2|3	300
40	2	2	5	0|1	10000	2|3	300
41	2	2	6	0|1	30000	2|3	300
42	2	2	7	0|1	50000	2|3	300
43	2	2	8	0|1	75000	2|3	300
44	2	2	9	0|1	100000	2|3	300
