NUM	TEXT	TEXT	TEXT	TEXT	TEXT	TEXT
ID	特殊光效ID	音效ID	特殊光效的绑定点	预留1	预留2	效果TIPS
1	ui_renwusheng_01	人_升级.ogg	人物脚部绑定点			人升级特效
2	ui_mashengji_01	人_升级.ogg	坐骑马脚部绑定点			马升级特效
3	ui_mashengji_01	人_升级.ogg	坐骑马脚部绑定点			马特殊升级特效
4	ui_mashengji_01		坐骑马脚部绑定点			上马特效
5	地图箭头_01					路径特效
10	施法_吃红药_01		人物身体受击点			加血 
11	施法_吃蓝药_01		人物身体受击点			加蓝
12	状态_治疗术_01		人物身体受击点			物理伤害
13	状态_治疗术_01		人物身体受击点			物理伤害
14	状态_治疗术_01		人物身体受击点			物理伤害
15	状态_治疗术_01		人物身体受击点			物理伤害
16	状态_治疗术_01		人物身体受击点			物理伤害
17	状态_治疗术_01		人物身体受击点			物理伤害
18	状态_治疗术_01		人物身体受击点			物理伤害
19	施法_自爆_01		人物身体受击点			物理伤害
#	任务					
7518	状态_红烟花_01	状态_红烟花_01.ogg	人物身体前置点			任务组所要特效
7519	状态_蓝烟花_02	状态_红烟花_02.ogg	人物身体前置点			任务组所要特效
7520	状态_绿烟花_02	状态_红烟花_02.ogg	人物身体前置点			任务组所要特效
7521	状态_爆炸_01	状态_爆炸_01.ogg	人物身体前置点			任务组所要特效
7522	状态_燃烧_01	状态_燃烧_01.ogg	人物身体前置点			任务组所要特效
7523	状态_燃烧_02	状态_燃烧_02.ogg	人物身体前置点			任务组所要特效
7524	状态_燃烧_03	状态_燃烧_03.ogg	人物身体前置点			任务组所要特效
7525	状态_红魔法箭_01	状态_红魔法箭_01.ogg	人物身体前置点			任务组所要特效
7526	状态_蓝魔法箭_01	状态_红魔法箭_01.ogg	人物身体前置点			任务组所要特效
7527	状态_绿魔法箭_01	状态_红魔法箭_01.ogg	人物身体前置点			任务组所要特效
7528	状态_水波动_01		人物身体前置点			任务组所要特效
7529	状态_禁锢_01	状态_禁锢_01.ogg	人物脚部绑定点			任务组所要特效
7530	状态_阵法_01	状态_法阵_01.ogg	人物脚部绑定点			任务组所要特效
7531	状态_阵法_02	状态_法阵_01.ogg	人物脚部绑定点			任务组所要特效
7532	状态_阵法_03	状态_法阵_01.ogg	人物脚部绑定点			任务组所要特效
7533	状态_阵法_04	状态_法阵_01.ogg	人物脚部绑定点			任务组所要特效
#	篝火节					
7550	成三_节日_冒烟01		人物脚部绑定点			任务组所要特效
7551	成三_节日_篝火01		人物脚部绑定点			任务组所要特效
7557	状态_坚韧术_01		人物身体前置点			万圣节活动-减速
7558	状态_禁锢_01		人物身体前置点			万圣节活动-减速
7559	18状态_平原之王_01		人物身体前置点			万圣节活动-无效果
7560	cj_瀑布水溅_02		人物身体前置点			万圣节活动-无效果
#						
7719	ui_回城红_01		人物脚部绑定点			回城特效
7720	ui_回城黄_01		人物脚部绑定点			回城特效
7721	ui_回城_01		人物脚部绑定点			回城特效
#	精英剧场					
7805	成三_精英剧场boss技能_天降火球01		任务物品绑定点_02			精英剧场特效—轰炮（流星动画）
7806	成三_精英剧场boss技能_火球爆炸01		任务物品绑定点_02			精英剧场特效—轰炮（爆炸动画）
7807	成三_精英剧场boss技能_冰球爆炸01		任务物品绑定点_02			精英剧场特效—冰结（动画）
7808	十八瞬移哈里发穆斯塔欣_01		人物身体前置点			精英剧场特效—传送（光效）
7809	成三_精英剧场boss技能_远程施法01		人物脚部绑定点			精英剧场特效—漩涡（光效）
7810	成三_精英剧场boss技能_召唤01		人物脚部绑定点			精英剧场特效—召唤喽啰（闪电动画）
#						
8310	状态_红烟花_02	状态_红烟花_02.ogg	人物身体前置点			任务组所要特效
8311	状态_红魔法箭_01	状态_红魔法箭_01.ogg	人物身体前置点			任务组所要特效
8312	状态_水下呼吸_01		人物身体前置点			任务组所要特效
8313	状态_冰元素_01		人物身体前置点			任务组所要特效
8314	ui_shengji_51		人物身体前置点			任务组所要特效
8315	game_婚礼烟花_01	状态_红烟花_01.ogg	人物脚部绑定点			婚礼用效果
8316	ui_meigui_01		人物身体前置点			七夕
8317	yh_aiqingshiyan_01	爱情誓言.mp3	人物头部绑定点			爱情誓言
8318	yh_bainiaochaofeng_01	百鸟朝凤.mp3	人物头部绑定点			百鸟朝凤
8319	yh_wucaibinfen_01	五彩缤纷.mp3	人物头部绑定点			五彩缤纷
8320	yh_fengfangsiyi_01	火树芬芳.mp3	人物头部绑定点			芬芳四溢
8321	yh_huoshuyinhua_01	火树芬芳.mp3	人物头部绑定点			火树银花
8322	yh_xinxinxiangyin_01	心心相印.mp3	人物头部绑定点			心心相印
8323	yh_yijianzhongqing_01	一见钟情.mp3	人物头部绑定点			一见钟情
8324	yh_jiandao_01	剪刀石头布.mp3	人物头部绑定点			剪刀
8325	yh_bu_01	剪刀石头布.mp3	人物头部绑定点			布
8326	yh_shitou_01	剪刀石头布.mp3	人物头部绑定点			石头
8327	yh_jiaoyin_01	脚印.mp3	人物头部绑定点			脚印
8328	yh_jiong_01	囧.mp3	人物头部绑定点			囧
8329	yh_langman_01	浪漫男.mp3	人物头部绑定点			浪漫男
8330	yh_langman_02	浪漫女.mp3	人物头部绑定点			浪漫女
