NUM	TEXT	TEXT	TEXT	TEXT	TEXT	TEXT	TEXT	TEXT	TEXT	TEXT	TEXT	TEXT	TEXT	TEXT	TEXT	TEXT	TEXT	TEXT	TEXT	TEXT	TEXT	TEXT	TEXT	TEXT	TEXT	TEXT	TEXT	TEXT	TEXT	TEXT	TEXT	TEXT	TEXT	CNC	NUM	TEXT	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	TEXT	NUM	NUM	NUM	NUM
ID	名称	效果1说明	效果值	效果2说明	效果值	效果3说明	效果值	效果4说明	效果值	效果5说明	效果值	效果6说明	效果值	效果7说明	效果值	效果8说明	效果值	效果9说明	效果值	效果10说明	效果值	效果11说明	效果值	效果12说明	效果值	效果13说明	效果值	效果14说明	效果值	效果15说明	效果值	效果16说明	效果值	分割线	逻辑ID编号	逻辑ID编号的说明	是否为持续性效果	瞬发技能效果ID/驻留效果ID	分类ID编号(互斥用)	互斥优先级别	效果影响性质（小于0负面效果 等于0中性效果 大于0有益效果）	死亡后是否保留	是否可以被驱散	技能是否可以被手动取消	是否需要引导	是否为直通效果	受到攻击伤害时是否消失	其他动作时是否消失	下线是否消失	下线后是否继续计时	持续时间(毫秒)	两次效果发作时间间隔(毫秒)	互斥规则是否参考释放者ID	是否为平行互斥	天赋	是否受PK率的影响	预留5	效果说明(内部使用)	效果个数	效果的生命周期	事件脚本ID	是否为被动技能
0	普通攻击的伤害效果， 这一行永远不能删除或者改变。这是缺省效果。		0	魔法伤害	0	冰系伤害	0	火系伤害	0	电系伤害	0	毒系伤害	0																						3	STD_IMPACT_003	0	-1	-1	0	-1	0	1	1	0	0	0	0	0	0	0	0	0	0	-1	0	0		0	0	-1	
1	普通攻击的伤害效果， 这一行永远不能删除或者改变。这是缺省效果。	HP修改量	-1	魔法伤害	0	冰系伤害	-1	火系伤害	-1	电系伤害	-1	毒系伤害	-1		-1		-1																		4	STD_IMPACT_003	0	-1	-1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	0	0		0	0	-1	
2	普通攻击的伤害效果， 这一行永远不能删除或者改变。这是缺省效果。	HP修改量	-1	魔法伤害	0	冰系伤害	-1	火系伤害	-1	电系伤害	-1	毒系伤害	-1		-1		-1																		4	STD_IMPACT_003	0	-1	-1	2	1	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	0	0		0	0	-1	
3	测试用SOT（MAXs）	物理攻击修正	-10	物理防御修正	10	魔法攻击修正	-10	魔法防御修正	10	冰系攻击修正	-10	冰系抗性修正	10	火系攻击修正	-10	火系抗性修正	10	电系攻击修正	-10	电系抗性修正	10	毒系攻击修正	-10	毒系抗性修正	10	MAX_HP修正	10	MAX_MP修正	20	MAX_RAGE修正	5	MAX_STRIKE_POINT修正	3		11	StdImpact011	1	-1	-1	3	1	0	1	1	0	0	0	0	0	0	60000	0	0	0	-1	0	0		0	0	-1	
4	测试用SOT（HitMis。。。）	命中修正	10	闪避修正	20	会心修正	30																												13	StdImpact013	1	62	86	4	1	0	1	1	0	0	0	0	0	0	60000	0	0	0	-1	0	0		0	0	-1	
5	测试用SOT（FaintUnbreakable。。。）	"可否使用任何技能标记：0-无法使用相关技能，1-可以使用相关技能）,-1无效"	1	"可否使用门派技能标记：0-无法使用相关技能，1-可以使用相关技能）,-1无效"	0	"可否移动标记：0-无法移动，1-可以移动）, -1无效"	0	"无敌否标记：0-非无敌，1-无敌）,-1无效"	1	移动速度修正%（0为无效）	0	隐身级别修正（0为无效）	0	反隐级别修正（0为无效）	0	变身ID(-1为无效)	-1	骑乘ID(-1为无效)	-1	受控于标记4	-1	伤害修正(0:修正 -1:不修正)	-1												14	StdImpact014	1	98	110	5	-1	0	1	0	0	0	1	0	0	0	60000	0	0	0	-1	0	0		0	0	-1	
6	测试用SOT（Stealth。。。）	"可否使用任何技能标记：0-无法使用相关技能，1-可以使用相关技能）,-1无效"	-1	"可否使用门派技能标记：0-无法使用相关技能，1-可以使用相关技能）,-1无效"	0	"可否移动标记：0-无法移动，1-可以移动）, -1无效"	-1	"无敌否标记：0-非无敌，1-无敌）,-1无效"	0	移动速度修正%（0为无效）	-50	隐身级别修正（0为无效）	10	反隐级别修正（0为无效）	0	变身ID(-1为无效)	-1	骑乘ID(-1为无效)	-1	受控于标记4	-1	伤害修正(0:修正 -1:不修正)	-1												14	StdImpact014	1	75	93	6	0	0	1	1	0	0	0	0	0	0	-1	0	0	0	-1	0	0		0	0	-1	
7	测试用SOT（Transform。。。）	"可否使用任何技能标记：0-无法使用相关技能，1-可以使用相关技能）,-1无效"	-1	"可否使用门派技能标记：0-无法使用相关技能，1-可以使用相关技能）,-1无效"	0	"可否移动标记：0-无法移动，1-可以移动）, -1无效"	-1	"无敌否标记：0-非无敌，1-无敌）,-1无效"	0	移动速度修正%（0为无效）	100	隐身级别修正（0为无效）	0	反隐级别修正（0为无效）	20	变身ID(-1为无效)	-1	骑乘ID(-1为无效)	1	受控于标记4	-1	伤害修正(0:修正 -1:不修正)	-1												14	StdImpact014	1	32	52	7	0	0	1	1	0	0	0	0	0	0	-1	0	0	0	-1	0	0		0	0	-1	
8	分身																																		51	STD_IMPACT_051	1	149	149	8	0	0	1	1	0	0	0	0	1	0	-1	0	0	0	-1	0	0		0	0	-1	
