NUM	NUM	TEXT	NUM	NUM	FLOAT	FLOAT	FLOAT	TEXT	NUM	NUM	NUM	NUM	TEXT	TEXT	NUM	NUM	NUM	TEXT	TEXT	TEXT	TEXT	TEXT	TEXT	TEXT	TEXT	TEXT	TEXT	TEXT	TEXT	TEXT	TEXT	TEXT	TEXT	CNC	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	TEXT	TEXT	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	TEXT	NUM	NUM	TEXT	TEXT	NUM	NUM	NUM	NUM	NUM	TEXT	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM
BUS编号ID	是否可被攻击	BUS名称	是否跟随玩家转向	是否显示头顶信息	名称高度	脚底光圈大小	阴影宽度	头像	模型ID	公车 Type	拉车马模型ID	拉车马模型ID	挂接拉车马的绑定点	挂接拉车马的绑定点	休闲动作间隔时间	是否可以与玩家交互	BOSS标记	特殊光效名称1	绑定点名称1	特殊光效名称2	绑定点名称2	特殊光效名称3	绑定点名称3	特殊光效名称4	绑定点名称4	玩家绑定点1	玩家绑定点2	玩家绑定点3	玩家绑定点4	玩家绑定点5	玩家绑定点6	玩家绑定点7	玩家绑定点8	分割线	级别	刷新周期（毫秒）	min伤血百分比(Hppercent)	基础经验值(EXP)	近程攻击	远程攻击	魔法攻击	近程防御	远程防御	魔法防御	HP上限	MP上限	HP回复	MP回复	命中	闪避	会心率	韧性	属性攻击1	属性攻击2	属性攻击3	属性攻击4	属性防御1	属性防御2	属性防御3	属性防御4	脚本ID	发招动作时间	发招冷却时间	跑步速度	走路速度	攻击速率	调用武器ID	马调用ID	基础AI编号	扩展AI编号	阵营编号	友好标记	可免疫的瞬时效果ID	可免疫的持续效果ID	掉落物品分配半径(米)	掉落有效最大组队个数	掉落物品组ID	物品组掉落率	掉落马ID	马掉落率	NPC类别	NPC类别名称	NPC名称索引拼音	BUS被动技能1	BUS被动技能2	BUS被动技能3	BUS被动技能4	BUS被动技能5	称号	"控制类型（1系统控制,0玩家控制）"	战车内空间	是否显示人物	主动技能1(镖车时特指变身技能)	主动技能2	主动技能3	主动技能4	主动技能5	"BUS类别(0镖车,1BUS,2帮会镖车)"	PK类型	min有效跟随距离	max有效跟随距离
1	0	公车	-1	1	-1	200	100	set:HAN2_Monster_touxiang_3 image:HAN2_Monster_touxiang_3_13	3092	2	-1	-1	镖车右绑定点	镖车左绑定点	10	1	0									坐骑马背部绑定点1	坐骑马背部绑定点2	坐骑马背部绑定点3	坐骑马背部绑定点4	坐骑马背部绑定点5	坐骑马背部绑定点6	坐骑马背部绑定点7	坐骑马背部绑定点8		1	10000	10	2	2	2	2	2	2	2	200	100	0	0	50	1	5	0	0	0	0	0	0	0	0	0		400	3600	1200	1200	100	-1	-1	0	-1	5	0	-1	-1	20	0	-1	0	-1		-1		l	-1	-1	-1	-1	-1		1	8	0	-1	-1	-1	-1	-1	1	0	5	25
2	0	共乘BUS	-1	1	-1	200	100	set:HAN2_Monster_touxiang_3 image:HAN2_Monster_touxiang_3_13	3092	2	-1	-1	镖车右绑定点	镖车左绑定点	10	1	0									坐骑马背部绑定点1	坐骑马背部绑定点2	坐骑马背部绑定点3	坐骑马背部绑定点4	坐骑马背部绑定点5	坐骑马背部绑定点6	坐骑马背部绑定点7	坐骑马背部绑定点8		1	10000	10	2	2	2	2	2	2	2	500	100	0	0	50	1	5	0	0	0	0	0	0	0	0	0		400	3600	2000	2000	100	-1	-1	0	-1	5	0	-1	-1	20	0	-1	0	-1		-1		l	11220	-1	-1	-1	-1		0	8	0	14000	14001	123	14002	14003	1	0	5	25
3	0	翼龙飞行器	-1	-1	-1	200	100	set:HAN2_Other_touxiang_3 image:HAN2_Other_touxiang_3_12	2665	1	-1	-1	运输车右绑定点	运输车左绑定点	10	1	0																		1	10000	10	2	2	2	2	2	2	2	80000	100	0	0	50	1	5	0	0	0	0	0	0	0	0	0		400	3600	1500	1500	100	-1	-1	0	-1	5	0	-1	-1	20	0	-1	0	-1		-1		l	11220	-1	-1	-1	-1		0	8	0	14000	-1	-1	-1	-1	0	0	5	25
4	0	青龙	-1	-1	-1	200	100	set:HAN2_Other_touxiang_3 image:HAN2_Other_touxiang_3_11	2653	2	-1	-1	镖车右绑定点	镖车左绑定点	10	1	0																		1	10000	10	2	2	2	2	2	2	2	640000	100	0	0	50	1	5	0	0	0	0	0	0	0	0	0		400	3600	1500	1500	100	-1	-1	0	-1	5	0	-1	-1	20	0	-1	0	-1		-1		l	11220	-1	-1	-1	-1		0	8	0	14000	-1	-1	-1	-1	2	0	5	50
5	0	翼龙飞行器	-1	-1	-1	200	100	set:HAN2_Other_touxiang_3 image:HAN2_Other_touxiang_3_12	2665	1	-1	-1	运输车右绑定点	运输车左绑定点	10	1	0																		1	10000	10	2	2	2	2	2	2	2	160000	100	0	0	50	1	5	0	0	0	0	0	0	0	0	0		400	3600	1500	1500	100	-1	-1	0	-1	5	0	-1	-1	20	0	-1	0	-1		-1		l	11220	-1	-1	-1	-1		0	8	0	14000	-1	-1	-1	-1	0	0	5	25
6	0	翼龙飞行器	-1	-1	-1	200	100	set:HAN2_Other_touxiang_3 image:HAN2_Other_touxiang_3_12	2665	1	-1	-1	运输车右绑定点	运输车左绑定点	10	1	0																		1	10000	10	2	2	2	2	2	2	2	240000	100	0	0	50	1	5	0	0	0	0	0	0	0	0	0		400	3600	1500	1500	100	-1	-1	0	-1	5	0	-1	-1	20	0	-1	0	-1		-1		l	11220	-1	-1	-1	-1		0	8	0	14000	-1	-1	-1	-1	0	0	5	25
7	0	官府马车	-1	-1	-1	200	100	set:HAN2_Other_touxiang_6 image:HAN2_Other_touxiang_6_3	2350	1	1257	1257	镖车右绑定点	镖车左绑定点	10	1	0																		1	10000	10	2	2	2	2	2	2	2	80000	100	0	0	50	1	5	0	0	0	0	0	0	0	0	0		400	3600	1500	2000	100	-1	-1	0	-1	5	0	-1	-1	20	0	-1	0	-1		-1		l	11220	-1	-1	-1	-1		0	8	0	14000	-1	-1	-1	-1	0	0	5	25
8	0	官府马车	-1	-1	-1	200	100	set:HAN2_Other_touxiang_6 image:HAN2_Other_touxiang_6_3	2350	1	1257	1257	镖车右绑定点	镖车左绑定点	10	1	0																		1	10000	10	2	2	2	2	2	2	2	160000	100	0	0	50	1	5	0	0	0	0	0	0	0	0	0		400	3600	1500	2000	100	-1	-1	0	-1	5	0	-1	-1	20	0	-1	0	-1		-1		l	11220	-1	-1	-1	-1		0	8	0	14000	-1	-1	-1	-1	0	0	5	25
9	0	官府马车	-1	-1	-1	200	100	set:HAN2_Other_touxiang_6 image:HAN2_Other_touxiang_6_3	2350	1	1257	1257	镖车右绑定点	镖车左绑定点	10	1	0																		1	10000	10	2	2	2	2	2	2	2	240000	100	0	0	50	1	5	0	0	0	0	0	0	0	0	0		400	3600	1500	2000	100	-1	-1	0	-1	5	0	-1	-1	20	0	-1	0	-1		-1		l	11220	-1	-1	-1	-1		0	8	0	14000	-1	-1	-1	-1	0	0	5	25
