NUM	TEXT	NUM	TEXT	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	TEXT	TEXT	TEXT	TEXT	TEXT	TEXT	TEXT	TEXT
套装ID	套装名称	套装部件数量	套装部件ID	套装数量	套装属性1	属性数值1	套装数量	套装属性2	属性数值2	套装数量	套装属性3	属性数值3	套装数量	套装属性4	属性数值4	特殊光效名字	特殊光效绑定点	特殊光效名字	特殊光效绑定点	特殊光效名字	特殊光效绑定点	特殊光效名字	特殊光效绑定点
2	重骑兵冲锋套装	2	10016002|10206004	2	12	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	装备套装身_01	人物身体受击点	装备套装手_01	人物左手绑定点	装备套装手_01	人物右手绑定点		
3	重骑兵斩将套装	2	10026002|10206005	2	12	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	装备套装身_01	人物身体受击点	装备套装手_01	人物左手绑定点	装备套装手_01	人物右手绑定点		
4	重骑兵点杀套装	2	10036002|10206006	2	14	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	装备套装身_01	人物身体受击点	装备套装手_01	人物左手绑定点	装备套装手_01	人物右手绑定点		
5	重骑兵擒王套装	2	10046002|10206007	2	14	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	装备套装身_01	人物身体受击点	装备套装手_01	人物左手绑定点	装备套装手_01	人物右手绑定点		
6	重骑兵挥军套装	2	10056002|10206008	2	10	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	装备套装身_01	人物身体受击点	装备套装手_01	人物左手绑定点	装备套装手_01	人物右手绑定点		
7	重骑兵辕门套装	2	10066002|10206009	2	10	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	装备套装身_01	人物身体受击点	装备套装手_01	人物左手绑定点	装备套装手_01	人物右手绑定点		
10	十夫长名将套装	5	10206100~10209200|10236100~10239200|10256100~10259200|10266100~10269200|10276100~10279200	2	94	10	5	16	15	5	18	15	5	20	15								
11	百夫长名将套装	5	10206160~10209206|10236160~10239206|10256160~10259206|10266160~10269206|10276160~10279206	2	94	20	5	16	25	5	18	25	5	20	25								
12	千夫长名将套装	5	10206220~10209212|10236220~10239212|10256220~10259212|10266220~10269212|10276220~10279212	2	94	30	5	16	35	5	18	35	5	20	35								
13	十夫长名将套装	5	10206110~10209201|10236110~10239201|10256110~10259201|10266110~10269201|10276110~10279201	2	94	10	5	16	15	5	18	15	5	20	15								
14	百夫长名将套装	5	10206170~10209207|10236170~10239207|10256170~10259207|10266170~10269207|10276170~10279207	2	94	20	5	16	25	5	18	25	5	20	25								
15	千夫长名将套装	5	10206230~10209213|10236230~10239213|10256230~10259213|10266230~10269213|10276230~10279213	2	94	30	5	16	35	5	18	35	5	20	35								
16	十夫长名将套装	5	10206120~10209202|10236120~10239202|10256120~10259202|10266120~10269202|10276120~10279202	2	94	10	5	16	15	5	18	15	5	20	15								
17	百夫长名将套装	5	10206180~10209208|10236180~10239208|10256180~10259208|10266180~10269208|10276180~10279208	2	94	20	5	16	25	5	18	25	5	20	25								
18	千夫长名将套装	5	10206240~10209214|10236240~10239214|10256240~10259214|10266240~10269214|10276240~10279214	2	94	30	5	16	35	5	18	35	5	20	35								
19	十夫长名将套装	5	10206130~10209203|10236130~10239203|10256130~10259203|10266130~10269203|10276130~10279203	2	94	10	5	16	15	5	18	15	5	20	15								
20	百夫长名将套装	5	10206190~10209209|10236190~10239209|10256190~10259209|10266190~10269209|10276190~10279209	2	94	20	5	16	25	5	18	25	5	20	25								
21	千夫长名将套装	5	10206250~10209215|10236250~10239215|10256250~10259215|10266250~10269215|10276250~10279215	2	94	30	5	16	35	5	18	35	5	20	35								
