NUM	NUM	NUM	NUM	TEXT	NUM	TEXT	TEXT	TEXT	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	TEXT	TEXT	NUM	TEXT	TEXT	NUM	TEXT	TEXT	NUM	NUM	NUM	NUM	NUM	NUM	
宝石ID	宝石类型	宝石种类	宝石编号	宝石图标	适应规则	镶嵌部件	宝石名称	宝石说明	基础价格	出售价格	镶嵌价格	所需装备最低等级	是否需要广播	强化属性1	强化数值1	强化属性2	强化数值2	强化属性3	强化数值3	强化属性4	强化数值4	需求宝石1	需求宝石1数量	需求宝石2	需求宝石2数量	需求宝石3	需求宝石3数量	显示宝石等级	附加参数类型	参数值	消耗值	属性颜色	宝石类型描述	"特殊光效颜色值(R,G,B,A)"	"特殊光效索引(1-30,对应item_loc)"	掉落模型	掉落模型附加的特殊光效	掉落音效	物品名称颜色	动画帧	宝石改造表Index	是否绑定	拾取等级	是否允许摆摊收购	宝石改造表Index2	物品排序	
#	武士																																														
14000001	14	0	1	CJSH_item_baoshi_6_2	9	1~12	虹彩血滴水晶	镶嵌位置：#O主武器#cC8B88E、#O副武器#cC8B88E#r #r王城#S装备镶嵌大师（装备强化区）#cC8B88E或大都#S装备镶嵌大师（装备强化区）#cC8B88E处镶嵌#r #r王城#S荣誉商店（兑换商店区）#cC8B88E出售	2200	10	1000	1	0	200	10000	-1	-1	-1	-1	-1	-1	3	1	-1	-1	-1	-1	0	-1	0	0	3c00ff	多彩宝石	FFFFFF09	0	掉落多彩宝石.lmodel	cj_yingguang_huang	0	ffffff	-1	-1	1	1	1	-1	-1	
14000002	14	0	2	CJSH_item_baoshi_6_6	9	23	虹彩夜光水晶	镶嵌位置：#O衣服#cC8B88E#r #r王城#S装备镶嵌大师（装备强化区）#cC8B88E或大都#S装备镶嵌大师（装备强化区）#cC8B88E处镶嵌#r #r王城#S荣誉商店（兑换商店区）#cC8B88E出售	2700	10	1000	1	0	200	10004	-1	-1	-1	-1	-1	-1	2	1	-1	-1	-1	-1	0	-1	0	0	3c00ff	多彩宝石	FFFFFF09	0	掉落多彩宝石.lmodel	cj_yingguang_huang	0	ffffff	-1	-1	1	1	1	-1	-1	
14000003	14	0	3	CJSH_item_baoshi_6_10	9	20	虹彩冰花水晶	镶嵌位置：#O帽子#cC8B88E#r #r王城#S装备镶嵌大师（装备强化区）#cC8B88E或大都#S装备镶嵌大师（装备强化区）#cC8B88E处镶嵌#r #r王城#S荣誉商店（兑换商店区）#cC8B88E出售	3200	10	1000	1	0	200	10015	-1	-1	-1	-1	-1	-1	4	1	-1	-1	-1	-1	0	-1	0	0	3c00ff	多彩宝石	FFFFFF09	0	掉落多彩宝石.lmodel	cj_yingguang_huang	0	ffffff	-1	-1	1	1	1	-1	-1	
14000004	14	0	4	CJSH_item_baoshi_6_8	9	21	烟海蓝水晶	镶嵌位置：#O徽章#cC8B88E#r #r王城#S装备镶嵌大师（装备强化区）#cC8B88E或大都#S装备镶嵌大师（装备强化区）#cC8B88E处镶嵌#r #r王城#S荣誉商店（兑换商店区）#cC8B88E出售	3900	10	1000	1	0	200	10003	-1	-1	-1	-1	-1	-1	1	1	-1	-1	-1	-1	0	-1	0	0	3c00ff	多彩宝石	FFFFFF09	0	掉落多彩宝石.lmodel	cj_yingguang_huang	0	ffffff	-1	-1	1	1	1	-1	-1	
14000005	14	0	5	CJSH_item_baoshi_6_12	9	28	烟顽辉水晶	镶嵌位置：#O戒指#cC8B88E#r #r王城#S装备镶嵌大师（装备强化区）#cC8B88E或大都#S装备镶嵌大师（装备强化区）#cC8B88E处镶嵌#r #r王城#S荣誉商店（兑换商店区）#cC8B88E出售	4600	10	1000	1	0	200	10007	-1	-1	-1	-1	-1	-1	4	1	-1	-1	-1	-1	0	-1	0	0	3c00ff	多彩宝石	FFFFFF09	0	掉落多彩宝石.lmodel	cj_yingguang_huang	0	ffffff	-1	-1	1	1	1	-1	-1	
14000006	14	0	6	CJSH_item_baoshi_6_14	9	29	烟翠榴水晶	镶嵌位置：#O手镯#cC8B88E#r #r王城#S装备镶嵌大师（装备强化区）#cC8B88E或大都#S装备镶嵌大师（装备强化区）#cC8B88E处镶嵌#r #r王城#S荣誉商店（兑换商店区）#cC8B88E出售	5600	10	1000	1	0	200	10017	-1	-1	-1	-1	-1	-1	4	2	-1	-1	-1	-1	0	-1	0	0	3c00ff	多彩宝石	FFFFFF09	0	掉落多彩宝石.lmodel	cj_yingguang_huang	0	ffffff	-1	-1	1	1	1	-1	-1	
14000007	14	0	7	CJSH_item_baoshi_6_13	9	25	无色玉容水晶	镶嵌位置：#O护手#cC8B88E#r #r王城#S装备镶嵌大师（装备强化区）#cC8B88E或大都#S装备镶嵌大师（装备强化区）#cC8B88E处镶嵌#r #r王城#S荣誉商店（兑换商店区）#cC8B88E出售	6700	10	1000	1	0	200	10012	-1	-1	-1	-1	-1	-1	3	2	-1	-1	-1	-1	0	-1	0	0	3c00ff	多彩宝石	FFFFFF09	0	掉落多彩宝石.lmodel	cj_yingguang_huang	0	ffffff	-1	-1	1	1	1	-1	-1	
14000008	14	0	8	CJSH_item_baoshi_6_13	9	22|23	废弃	镶嵌位置:#O衣服#cC8B88E、#O护肩#cC8B88E	8000	10	1000	1	0	-1	-1	-1	-1	-1	-1	-1	-1	3	1	-1	-1	-1	-1	0	-1	0	0	3c00ff	多彩宝石	FFFFFF09	0	掉落多彩宝石.lmodel	cj_yingguang_huang	0	ffffff	-1	-1	1	1	1	-1	-1	
14000009	14	0	9	CJSH_item_baoshi_6_13	9	27|25|24|26|20	废弃	镶嵌位置:#O护手#cC8B88E、护腕、#O腰带#cC8B88E、#O帽子#cC8B88E、#O靴子#cC8B88E	9700	10	1000	1	0	-1	-1	-1	-1	-1	-1	-1	-1	3	1	-1	-1	-1	-1	0	-1	0	0	3c00ff	多彩宝石	FFFFFF09	0	掉落多彩宝石.lmodel	cj_yingguang_huang	0	ffffff	-1	-1	1	1	1	-1	-1	
14000010	14	0	10	CJSH_item_baoshi_6_13	9	22	废弃	镶嵌位置:#O护肩#cC8B88E	11500	10	1000	1	0	-1	-1	-1	-1	-1	-1	-1	-1	2	1	-1	-1	-1	-1	0	-1	0	0	3c00ff	多彩宝石	FFFFFF09	0	掉落多彩宝石.lmodel	cj_yingguang_huang	0	ffffff	-1	-1	1	1	1	-1	-1	
14000011	14	0	11	CJSH_item_baoshi_6_13	9	27|25|24|26|20	废弃	镶嵌位置:#O护手#cC8B88E、护腕、#O腰带#cC8B88E、#O帽子#cC8B88E、#O靴子#cC8B88E	14000	10	1000	1	0	-1	-1	-1	-1	-1	-1	-1	-1	3	1	-1	-1	-1	-1	0	-1	0	0	3c00ff	多彩宝石	FFFFFF09	0	掉落多彩宝石.lmodel	cj_yingguang_huang	0	ffffff	-1	-1	1	1	1	-1	-1	
14000012	14	0	12	CJSH_item_baoshi_6_13	9	21	废弃	#O项链#cC8B88E	16700	10	1000	1	0	-1	-1	-1	-1	-1	-1	-1	-1	3	1	-1	-1	-1	-1	0	-1	0	0	3c00ff	多彩宝石	FFFFFF09	0	掉落多彩宝石.lmodel	cj_yingguang_huang	0	ffffff	-1	-1	1	1	1	-1	-1	
14000013	14	0	13	CJSH_item_baoshi_6_13	9	21	废弃	#O项链#cC8B88E	20000	10	1000	1	0	-1	-1	-1	-1	-1	-1	-1	-1	3	1	-1	-1	-1	-1	0	-1	0	0	3c00ff	多彩宝石	FFFFFF09	0	掉落多彩宝石.lmodel	cj_yingguang_huang	0	ffffff	-1	-1	1	1	1	-1	-1	
14000014	14	0	14	CJSH_item_baoshi_6_13	9	22	无色云光水晶	镶嵌位置:#O披风#cC8B88E#r #r王城#S装备镶嵌大师（装备强化区）#cC8B88E或大都#S装备镶嵌大师（装备强化区）#cC8B88E处镶嵌#r #r王城#S荣誉商店（兑换商店区）#cC8B88E出售	20000	10	1000	1	0	200	10015	-1	-1	-1	-1	-1	-1	1	1	-1	-1	-1	-1	0	-1	0	0	3c00ff	多彩宝石	FFFFFF09	0	掉落多彩宝石.lmodel	cj_yingguang_huang	0	ffffff	-1	-1	1	1	1	-1	-1	
14000015	14	0	15	CJSH_item_baoshi_6_13	9	1|7	无色仙锦水晶	镶嵌位置:#O主武器#cC8B88E、#O副武器#cC8B88E#r #r王城#S装备镶嵌大师（装备强化区）#cC8B88E或大都#S装备镶嵌大师（装备强化区）#cC8B88E处镶嵌#r #r王城#S荣誉商店（兑换商店区）#cC8B88E出售	20000	10	1000	1	0	200	10016	-1	-1	-1	-1	-1	-1	3	1	-1	-1	-1	-1	0	-1	0	0	3c00ff	多彩宝石	FFFFFF09	0	掉落多彩宝石.lmodel	cj_yingguang_huang	0	ffffff	-1	-1	1	1	1	-1	-1	
