NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	TEXT	NUM	NUM	NUM	NUM	NUM	TEXT	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM
ID	基本类型	"Type类别(0,缰绳；1，马鞭；2，马蹬；3，马刺)"		"颜色类型(白:1,绿:2,蓝:3,黄:4,紫:5)"	"装备点(0,缰绳；1，马鞭；2，马蹬；3，马刺；4，马鞍；5，马铠；6，眼罩；7，辔头；8，衔铁；9，马玲；10，马腿左前；11，马腿右前；12，马腿左后；13，马腿右后)"	物品适应规则	套装类型ID	Lv需求等级	天赋等级	个人等级	基础价格	完整耐久度(最大255)	有效期（单位小时）	天然星级	天然孔数	最大孔数	职业需求（填写职业编号）	装备牌型	装备分值	力量	敏捷	智力	体制	力量资质	敏捷资质	智力资质	体制资质	附加蓝属性ID1	附加蓝属性数值1	附加蓝属性ID2	附加蓝属性数值2	附加蓝属性ID3	附加蓝属性数值3	附加蓝属性ID4	附加蓝属性数值4	附加蓝属性ID5	附加蓝属性数值5	附加蓝属性ID6	附加蓝属性数值6	附加蓝属性ID7	附加蓝属性数值7	附加蓝属性ID8	附加蓝属性数值8	附加技能ID1	附加技能等级	附加技能ID2	附加技能等级	附加技能ID3	附加技能等级	附加技能ID4	附加技能等级	影响技能ID1	影响技能等级	影响技能ID2	影响技能等级	影响技能ID3	影响技能等级	影响技能ID4	影响技能等级	事件脚本ID	附加参数类型	参数	消耗量	拾取等级	排序规则
####	以下是	武士武器																																																										-1	-1	0	0	1	
#	缰绳																																																																
30001001	30	0	1001	1	0	1	-1	65	-1	-1	100	50	-1	0	0	7	0	-1	0	8	7	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	1	3000
30001002	30	0	1002	4	0	1	-1	65	-1	-1	100	50	-1	0	0	7	0	-1	0	10	-1	-1	-1	-1	-1	-1	-1	19	10	29	50	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	1	3000
30001003	30	0	1003	4	0	1	-1	70	-1	-1	100	50	-1	0	0	7	0	-1	0	12	-1	-1	-1	-1	-1	-1	-1	19	10	29	50	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	1	3000
30001004	30	0	1004	4	0	1	-1	75	-1	-1	100	50	-1	0	0	7	0	-1	0	14	-1	-1	-1	-1	-1	-1	-1	19	10	29	50	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	1	3000
30001005	30	0	1005	4	0	1	-1	80	-1	-1	100	50	-1	0	0	7	0	-1	0	16	-1	-1	-1	-1	-1	-1	-1	19	10	29	50	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	1	3000
30001006	30	0	1006	4	0	1	-1	85	-1	-1	100	50	-1	0	0	7	0	-1	0	18	-1	-1	-1	-1	-1	-1	-1	19	10	29	50	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	1	3000
30001007	30	0	1002	4	0	1	-1	65	-1	-1	100	50	-1	0	0	7	0	-1	0	10	-1	-1	-1	-1	-1	-1	-1	20	10	29	50	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	1	3000
