NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	TEXT	TEXT	TEXT	TEXT
组合ID(1为屁胡；其余编号越小，优先级越高)	组合名	胡牌类型(0:屁胡;1:清一色)	需求组合ID1	需求组合ID2	需求组合ID3	需求组合ID4	需求组合ID5（将）	强化属性ID1	强化数值1	强化属性ID2	强化数值2	强化属性ID3	强化数值3	强化属性ID4	强化数值4	需求符文指引装备	特殊光效	绑定点	特殊光效	绑定点
1	屁胡	0	-1	-1	-1	-1	-1	163	6	-1	-1	-1	-1	-1	-1	10310000	符文效果01_黑01	人物右肩绑定点	符文效果01_黑01	人物左肩绑定点
2	清一色	1	-1	-1	-1	-1	-1	163	12	-1	-1	-1	-1	-1	-1	10310023	ui_麻将符文效果01_01	人物身体受击点		
3	屁胡（7天）	0	-1	-1	-1	-1	-1	163	6	-1	-1	-1	-1	-1	-1	10310024	符文效果01_黑01	人物右肩绑定点	符文效果01_黑01	人物左肩绑定点
4	清一色（7天）	1	-1	-1	-1	-1	-1	163	12	-1	-1	-1	-1	-1	-1	10310026	ui_麻将符文效果01_01	人物身体受击点		
5	屁胡（30天）	0	-1	-1	-1	-1	-1	163	6	-1	-1	-1	-1	-1	-1	10310027	符文效果01_黑01	人物右肩绑定点	符文效果01_黑01	人物左肩绑定点
6	清一色（30天）	1	-1	-1	-1	-1	-1	163	12	-1	-1	-1	-1	-1	-1	10310029	ui_麻将符文效果01_01	人物身体受击点		
109	大四喜	-1	109	110	111	112	11	163	23	-1	-1	-1	-1	-1	-1	10310001	符文效果01_红01	人物右肩绑定点	符文效果01_红01	人物左肩绑定点
110	小四喜	-1	98	98	98	98	96	163	17	-1	-1	-1	-1	-1	-1	10310002	符文效果01_蓝01	人物右肩绑定点	符文效果01_蓝01	人物左肩绑定点
111	大三元	-1	98	98	98	98	96	163	15	-1	-1	-1	-1	-1	-1	10310003	符文效果01_紫01	人物右肩绑定点	符文效果01_紫01	人物左肩绑定点
112	小三元	-1	98	98	-1	-1	96	163	15	-1	-1	-1	-1	-1	-1	10310004	符文效果02_红01	人物右肩绑定点	符文效果02_红01	人物左肩绑定点
113	四暗刻	-1	10	10	10	10	11	163	9	-1	-1	-1	-1	-1	-1	10310005	ui_麻将符文效果02_01	人物身体受击点		
114	三暗刻	-1	10	10	10	-1	11	163	10	-1	-1	-1	-1	-1	-1	10310006	符文效果02_蓝01	人物右肩绑定点	符文效果02_蓝01	人物左肩绑定点
115	双暗刻	-1	10	10	-1	-1	11	163	8	-1	-1	-1	-1	-1	-1	10310007	符文效果02_绿01	人物右肩绑定点	符文效果02_绿01	人物左肩绑定点
116	清一色条字四暗刻	-1	15	15	15	15	18	149	30	-1	-1	-1	-1	-1	-1	10310008	符文效果02_紫01	人物右肩绑定点	符文效果02_紫01	人物左肩绑定点
117	清一色条字三暗刻	-1	15	15	15	-1	18	149	24	-1	-1	-1	-1	-1	-1	10310009	符文效果03_彩01	人物右肩绑定点	符文效果03_彩01	人物左肩绑定点
118	清一色条字双暗刻	-1	15	15	-1	-1	18	149	18	-1	-1	-1	-1	-1	-1	10310010	符文效果03_红01	人物右肩绑定点	符文效果03_红01	人物左肩绑定点
119	清一色筒字四暗刻	-1	16	16	16	16	19	151	30	-1	-1	-1	-1	-1	-1	10310011	符文效果03_黄01	人物右肩绑定点	符文效果03_黄01	人物左肩绑定点
120	清一色筒字三暗刻	-1	16	16	16	-1	19	151	24	-1	-1	-1	-1	-1	-1	10310012	符文效果03_蓝01	人物右肩绑定点	符文效果03_蓝01	人物左肩绑定点
121	清一色筒字双暗刻	-1	16	16	-1	-1	19	151	18	-1	-1	-1	-1	-1	-1	10310013	符文效果03_绿01	人物右肩绑定点	符文效果03_绿01	人物左肩绑定点
122	清一色万字四暗刻	-1	17	17	17	17	20	150	30	-1	-1	-1	-1	-1	-1	10310014	符文效果03_紫01	人物右肩绑定点	符文效果03_紫01	人物左肩绑定点
123	清一色万字三暗刻	-1	17	17	17	-1	20	150	24	-1	-1	-1	-1	-1	-1	10310015	符文效果04_红01	人物右肩绑定点	符文效果04_红01	人物左肩绑定点
124	清一色万字双暗刻	-1	17	17	-1	-1	20	150	18	-1	-1	-1	-1	-1	-1	10310016	符文效果04_黄01	人物右肩绑定点	符文效果04_黄01	人物左肩绑定点
125	条一色双龙会	-1	100	100	102	102	93	149	24	-1	-1	-1	-1	-1	-1	10310017	符文效果04_蓝01	人物右肩绑定点	符文效果04_蓝01	人物左肩绑定点
126	筒一色双龙会	-1	103	103	105	105	94	151	24	-1	-1	-1	-1	-1	-1	10310018	符文效果04_绿01	人物右肩绑定点	符文效果04_绿01	人物左肩绑定点
127	万一色双龙会	-1	106	106	108	108	95	150	24	-1	-1	-1	-1	-1	-1	10310019	符文效果04_紫01	人物右肩绑定点	符文效果04_紫01	人物左肩绑定点
128	碰碰胡（7天）	-1	10	10	10	10	11	163	9	-1	-1	-1	-1	-1	-1	10310025	ui_麻将符文效果02_01	人物身体受击点		
129	碰碰胡（30天）	-1	10	10	10	10	11	163	9	-1	-1	-1	-1	-1	-1	10310028	ui_麻将符文效果02_01	人物身体受击点		
130	大三元（7天）	-1	98	98	98	98	96	163	15	-1	-1	-1	-1	-1	-1	10310030	符文效果01_紫01	人物右肩绑定点	符文效果01_紫01	人物左肩绑定点
131	大三元（30天）	-1	98	98	98	98	96	163	15	-1	-1	-1	-1	-1	-1	10310031	符文效果01_紫01	人物右肩绑定点	符文效果01_紫01	人物左肩绑定点
132	小三元	-1	98	98	98	98	96	163	13	-1	-1	-1	-1	-1	-1	10310032	符文效果01_紫01	人物右肩绑定点	符文效果01_紫01	人物左肩绑定点
133	小三元（7天）	-1	98	98	98	98	96	163	13	-1	-1	-1	-1	-1	-1	10310033	符文效果01_紫01	人物右肩绑定点	符文效果01_紫01	人物左肩绑定点
134	多彩（14天）	-1	98	98	98	98	96	163	13	-1	-1	-1	-1	-1	-1	10310034	符文效果01_紫01	人物右肩绑定点	符文效果01_紫01	人物左肩绑定点
135	掌门牌：清一色门前清	1	-1	-1	-1	-1	-1	163	10	8	300	-1	-1	-1	-1	10310035	符文效果01_紫01	人物右肩绑定点	符文效果01_紫01	人物左肩绑定点
136	掌门牌：清一色双暗刻	1	-1	-1	-1	-1	-1	163	10	53	10	-1	-1	-1	-1	10310036	符文效果01_紫01	人物右肩绑定点	符文效果01_紫01	人物左肩绑定点
137	掌门牌：清一色断幺九	1	-1	-1	-1	-1	-1	163	10	54	10	-1	-1	-1	-1	10310037	符文效果01_紫01	人物右肩绑定点	符文效果01_紫01	人物左肩绑定点
