NUM	NUM	TEXT	NUM	TEXT	TEXT	TEXT	NUM	TEXT	NUM	TEXT	NUM	NUM
称号索引ID	类型ID（type）	颜色	是否默认显示	男角色称号	女角色称号	描述	称号时限（单位分钟）	获取途径说明	效果ID	回收说明	组合称号ID	类别(1任务，2剧情，3特殊)
0	1	#G	1	帮主	帮主	帮会的帮主。	0		100001		255	0
1	1	#G	1	自定义称号	自定义称号	帮会的自定义称号	0		0		255	0
2	0	#G	1	国王	国王	一国之君，无比荣耀	0				255	0
3	0	#G	1	皇帝	皇帝	世界之王者，万国之圣君	0				255	0
4	2	#B	0	%n的夫君	%n的娘子	夫妻称号	0	成功建立夫妻关系的男女双方将自动获得称号。	8600		255	3
5	2	#B	0	%n的徒弟	%n的徒弟	师徒称号	0	成功建立师徒关系的徒弟将获得此称号	8601		255	3
6	2	#B	0	乌龙宗师	乌龙宗师	乌龙辞典第一名！	10000	参加乌龙辞典	8607		255	3
7	2	#B	0	乌龙高手	乌龙高手	乌龙辞典第二名！	10000	参加乌龙辞典	8608		255	3
8	2	#B	0	乌龙强人	乌龙强人	乌龙辞典第三名！	10000	参加乌龙辞典	8609		255	3
9	2	#B	0	初为人师	初为人师	师傅称号	0	成功成为师傅时获得此称号	8602		255	3
10	2	#B	0	为人师表	为人师表	师傅称号	0	威望商人处以威望值兑换而得	8603		255	3
11	2	#B	0	诲人不倦	诲人不倦	师傅称号	0	威望商人处以威望值兑换而得	8604		255	3
12	2	#B	0	厚德树人	厚德树人	师傅称号	0	威望商人处以威望值兑换而得	8605		255	3
13	2	#B	0	名扬四海	名扬四海	师傅称号	0	威望商人处以威望值兑换而得	8606		255	3
14	2	#B	0	乌龙才子	乌龙才女	乌龙辞典三十强！	10000	参加乌龙辞典	8610		255	3
15	2	#G	1	世界杯冠军	世界杯冠军	世界杯大赛称号	40000	参加世界杯大赛并获得第一名	8810		255	3
16	2	#G	1	世界杯亚军	世界杯亚军	世界杯大赛称号	40000	参加世界杯大赛并获得第二名	8811		255	3
17	2	#G	1	世界杯季军	世界杯季军	世界杯大赛称号	40000	参加世界杯大赛并获得第三名	8812		255	3
18	2	#B	0	铁人三项冠军	铁人三项冠军	铁人三项第一名！	1440	参加铁人三项并获得第一名	-1		255	3
19	2	#B	0	铁人三项亚军	铁人三项亚军	铁人三项第二名！	1440	参加铁人三项并获得第二名	-1		255	3
20	2	#B	0	铁人三项季军	铁人三项季军	铁人三项第三名！	1440	参加铁人三项并获得第三名	-1		255	3
21	2	#B	0	屠戮成性	屠戮成性	杀敌排行榜第1名	10080	参加“排行榜挑战赛”的杀敌排行榜角逐	8800		255	3
22	2	#B	0	刀下万魂	刀下万魂	杀敌排行榜第2至3名	10080	参加“排行榜挑战赛”的杀敌排行榜角逐	8801		255	3
23	2	#B	0	十步一杀	十步一杀	杀敌排行榜第4至20名	10080	参加“排行榜挑战赛”的杀敌排行榜角逐	8802		255	3
24	2	#B	0	凶神恶煞	凶神恶煞	杀敌排行榜第21至50名	10080	参加“排行榜挑战赛”的杀敌排行榜角逐	8803		255	3
25	2	#B	0	追凶夺命	追凶夺命	杀敌排行榜第51至100名	10080	参加“排行榜挑战赛”的杀敌排行榜角逐	8804		255	3
26	2	#B	0	风流才子	绝代佳人	玫瑰排行榜第1名	10080	参加“排行榜挑战赛”的玫瑰排行榜角逐	8805		255	3
27	2	#B	0	玉面郎君	倾城佳丽	玫瑰排行榜第2至3名	10080	参加“排行榜挑战赛”的玫瑰排行榜角逐	8806		255	3
28	2	#B	0	英俊潇洒	千娇百媚	玫瑰排行榜第4至20名	10080	参加“排行榜挑战赛”的玫瑰排行榜角逐	8807		255	3
29	2	#B	0	玉树临风	秋水伊人	玫瑰排行榜第21至50名	10080	参加“排行榜挑战赛”的玫瑰排行榜角逐	8808		255	3
30	2	#B	0	风度翩翩	楚楚动人	玫瑰排行榜第51至100名	10080	参加“排行榜挑战赛”的玫瑰排行榜角逐	8809		255	3
31	2	#B	0	智力竞赛状元	智力竞赛状元	智力竞赛排行榜第1名	10080	参加“排行榜挑战赛”的智力竞赛排行榜角逐	8810		255	3
32	2	#B	0	智力竞赛榜眼	智力竞赛榜眼	智力竞赛排行榜第2至3名	10080	参加“排行榜挑战赛”的智力竞赛排行榜角逐	8811		255	3
33	2	#B	0	智力竞赛探花	智力竞赛探花	智力竞赛排行榜第4至20名	10080	参加“排行榜挑战赛”的智力竞赛排行榜角逐	8812		255	3
34	2	#B	0	智力竞赛举人	智力竞赛举人	智力竞赛排行榜第21至50名	10080	参加“排行榜挑战赛”的智力竞赛排行榜角逐	8813		255	3
35	2	#B	0	智力竞赛秀才	智力竞赛秀才	智力竞赛排行榜第51至100名	10080	参加“排行榜挑战赛”的智力竞赛排行榜角逐	8814		255	3
36	2	#B	0	寻宝之王	寻宝之王	神龙宝藏排行榜第1名	10080	参加“排行榜挑战赛”的神龙宝藏排行榜角逐	8815		255	3
37	2	#B	0	寻宝专家	寻宝专家	神龙宝藏排行榜第2至3名	10080	参加“排行榜挑战赛”的神龙宝藏排行榜角逐	8816		255	3
38	2	#B	0	寻宝达人	寻宝达人	神龙宝藏排行榜第4至20名	10080	参加“排行榜挑战赛”的神龙宝藏排行榜角逐	8817		255	3
39	2	#B	0	寻宝高手	寻宝高手	神龙宝藏排行榜第21至50名	10080	参加“排行榜挑战赛”的神龙宝藏排行榜角逐	8818		255	3
40	2	#B	0	寻宝能手	寻宝能手	神龙宝藏排行榜第51至100名	10080	参加“排行榜挑战赛”的神龙宝藏排行榜角逐	8819		255	3
41	2	#B	0	屠龙之王	屠龙之王	屠龙排行榜第1名	10080	参加“排行榜挑战赛”的屠龙排行榜角逐	8820		255	3
42	2	#B	0	屠龙侠客	屠龙侠客	屠龙排行榜第2至3名	10080	参加“排行榜挑战赛”的屠龙排行榜角逐	8821		255	3
43	2	#B	0	屠龙勇者	屠龙勇者	屠龙排行榜第4至20名	10080	参加“排行榜挑战赛”的屠龙排行榜角逐	8822		255	3
44	2	#B	0	屠龙高手	屠龙高手	屠龙排行榜第21至50名	10080	参加“排行榜挑战赛”的屠龙排行榜角逐	8823		255	3
45	2	#B	0	屠龙能手	屠龙能手	屠龙排行榜第51至100名	10080	参加“排行榜挑战赛”的屠龙排行榜角逐	8824		255	3
46	2	#B	0	漫天缤纷	漫天缤纷	放烟花排行榜第1名	10080	参加“排行榜挑战赛”的放烟花排行榜角逐	8825		255	3
47	2	#B	0	七彩斑斓	七彩斑斓	放烟花排行榜第2至3名	10080	参加“排行榜挑战赛”的放烟花排行榜角逐	8826		255	3
48	2	#B	0	五颜六色	五颜六色	放烟花排行榜第4至20名	10080	参加“排行榜挑战赛”的放烟花排行榜角逐	8827		255	3
49	2	#B	0	绚丽多姿	绚丽多姿	放烟花排行榜第21至50名	10080	参加“排行榜挑战赛”的放烟花排行榜角逐	8828		255	3
50	2	#B	0	光辉初现	光辉初现	放烟花排行榜第51至100名	10080	参加“排行榜挑战赛”的放烟花排行榜角逐	8829		255	3
51	2	#B	0	战场之王	战场之王	战场等级排行榜第1名	10080	参加“排行榜挑战赛”的战场等级排行榜角逐	8830		255	3
52	2	#B	0	战场宗师	战场宗师	战场等级排行榜第2至3名	10080	参加“排行榜挑战赛”的战场等级排行榜角逐	8831		255	3
53	2	#B	0	战场大师	战场大师	战场等级排行榜第4至20名	10080	参加“排行榜挑战赛”的战场等级排行榜角逐	8832		255	3
54	2	#B	0	战场侠士	战场侠士	战场等级排行榜第21至50名	10080	参加“排行榜挑战赛”的战场等级排行榜角逐	8833		255	3
55	2	#B	0	战场勇士	战场勇士	战场等级排行榜第51至100名	10080	参加“排行榜挑战赛”的战场等级排行榜角逐	8834		255	3
56	2	#B	0	疯狂囚龙岛王者	疯狂囚龙岛王者	囚龙岛排行榜第1名	10080	参加“排行榜挑战赛”的囚龙岛排行榜角逐	8835		255	3
57	2	#B	0	疯狂囚龙岛霸者	疯狂囚龙岛霸者	囚龙岛排行榜第2至3名	10080	参加“排行榜挑战赛”的囚龙岛排行榜角逐	8836		255	3
58	2	#B	0	疯狂囚龙岛尊者	疯狂囚龙岛尊者	囚龙岛排行榜第4至20名	10080	参加“排行榜挑战赛”的囚龙岛排行榜角逐	8837		255	3
59	2	#B	0	疯狂囚龙岛勇者	疯狂囚龙岛勇者	囚龙岛排行榜第21至50名	10080	参加“排行榜挑战赛”的囚龙岛排行榜角逐	8838		255	3
60	2	#B	0	疯狂囚龙岛武者	疯狂囚龙岛武者	囚龙岛排行榜第51至100名	10080	参加“排行榜挑战赛”的囚龙岛排行榜角逐	8839		255	3
61	2	#B	0	和氏璧王者	和氏璧王者	和氏璧排行榜第1名	10080	参加“排行榜挑战赛”的和氏璧排行榜角逐	8850		255	3
62	2	#B	0	和氏璧霸者	和氏璧霸者	和氏璧排行榜第2至3名	10080	参加“排行榜挑战赛”的和氏璧排行榜角逐	8851		255	3
63	2	#B	0	和氏璧尊者	和氏璧尊者	和氏璧排行榜第4至20名	10080	参加“排行榜挑战赛”的和氏璧排行榜角逐	8852		255	3
64	2	#B	0	和氏璧勇者	和氏璧勇者	和氏璧排行榜第21至50名	10080	参加“排行榜挑战赛”的和氏璧排行榜角逐	8853		255	3
