NUM	TEXT	NUM	NUM	NUM	NUM	NUM	NUM	NUM
索引index	属性名称	属性组id	属性效果Min	属性效果Max	权重	难度模式	通关标志	同种属性最多出现条数
1	力量	0	10	29	1	1	1	2
2	力量	0	30	39	1	1	1	2
3	力量	0	40	50	1	1	1	2
4	敏捷	2	10	29	1	1	1	2
5	敏捷	2	30	39	1	1	1	2
6	敏捷	2	40	50	1	1	1	2
7	智力	4	10	29	1	1	1	2
8	智力	4	30	39	1	1	1	2
9	智力	4	40	50	1	1	1	2
10	魔防	16	10	29	1	1	1	2
11	魔防	16	30	39	1	1	1	2
12	魔防	16	40	50	1	1	1	2
13	近防	18	10	29	1	1	1	2
14	近防	18	30	39	1	1	1	2
15	近防	18	40	50	1	1	1	2
16	远防	20	10	29	1	1	1	2
17	远防	20	30	39	1	1	1	2
18	远防	20	40	50	1	1	1	2
19	魔攻	10	10	19	1	1	1	2
20	魔攻	10	20	29	1	1	1	2
21	魔攻	10	30	40	1	1	1	2
22	近攻	12	10	19	1	1	1	2
23	近攻	12	20	29	1	1	1	2
24	近攻	12	30	40	1	1	1	2
25	远攻	14	10	19	1	1	1	2
26	远攻	14	20	29	1	1	1	2
27	远攻	14	30	40	1	1	1	2
28	体质	6	10	50	1	1	1	2
29	生命值	22	50	250	1	1	1	2
30	命中	50	1	1	1	1	1	2
31	命中	50	1	2	1	1	1	2
32	按百分比抵消近攻攻击	149	10	10	2	1	1	1
33	按百分比抵消远攻攻击	150	10	10	2	1	1	1
34	按百分比抵消魔攻攻击	151	10	10	2	1	1	1
35	按百分比抵消近攻攻击	149	10	10	2	1	1	1
36	按百分比抵消远攻攻击	150	10	10	2	1	1	1
37	按百分比抵消魔攻攻击	151	10	10	2	1	1	1
38	力量	0	10	29	1	1	2	2
39	力量	0	30	39	1	1	2	2
40	力量	0	40	50	1	1	2	2
41	敏捷	2	10	29	1	1	2	2
42	敏捷	2	30	39	1	1	2	2
43	敏捷	2	40	50	1	1	2	2
44	智力	4	10	29	1	1	2	2
45	智力	4	30	39	1	1	2	2
46	智力	4	40	50	1	1	2	2
47	魔防	16	10	29	1	1	2	2
48	魔防	16	30	39	1	1	2	2
49	魔防	16	40	50	1	1	2	2
50	近防	18	10	29	1	1	2	2
51	近防	18	30	39	1	1	2	2
52	近防	18	40	50	1	1	2	2
53	远防	20	10	29	1	1	2	2
54	远防	20	30	39	1	1	2	2
55	远防	20	40	50	1	1	2	2
56	魔攻	10	10	19	1	1	2	2
57	魔攻	10	20	29	1	1	2	2
58	魔攻	10	30	40	1	1	2	2
59	近攻	12	10	19	1	1	2	2
60	近攻	12	20	29	1	1	2	2
61	近攻	12	30	40	1	1	2	2
62	远攻	14	10	19	1	1	2	2
63	远攻	14	20	29	1	1	2	2
64	远攻	14	30	40	1	1	2	2
65	体质	6	10	50	1	1	2	2
66	生命值	22	50	250	1	1	2	2
67	命中	50	1	1	1	1	2	2
68	命中	50	1	2	1	1	2	2
69	裂甲	247	5	5	2	1	2	1
70	裂甲	247	5	5	2	1	2	1
71	力量	0	10	29	1	1	3	2
72	力量	0	30	39	1	1	3	2
73	力量	0	40	50	1	1	3	2
74	敏捷	2	10	29	1	1	3	2
75	敏捷	2	30	39	1	1	3	2
76	敏捷	2	40	50	1	1	3	2
77	智力	4	10	29	1	1	3	2
78	智力	4	30	39	1	1	3	2
79	智力	4	40	50	1	1	3	2
80	魔防	16	10	29	1	1	3	2
81	魔防	16	30	39	1	1	3	2
82	魔防	16	40	50	1	1	3	2
83	近防	18	10	29	1	1	3	2
84	近防	18	30	39	1	1	3	2
85	近防	18	40	50	1	1	3	2
86	远防	20	10	29	1	1	3	2
87	远防	20	30	39	1	1	3	2
88	远防	20	40	50	1	1	3	2
89	魔攻	10	10	19	1	1	3	2
90	魔攻	10	20	29	1	1	3	2
91	魔攻	10	30	40	1	1	3	2
92	近攻	12	10	19	1	1	3	2
93	近攻	12	20	29	1	1	3	2
94	近攻	12	30	40	1	1	3	2
95	远攻	14	10	19	1	1	3	2
96	远攻	14	20	29	1	1	3	2
97	远攻	14	30	40	1	1	3	2
98	体质	6	10	50	1	1	3	2
99	生命值	22	50	250	1	1	3	2
100	命中	50	3	3	2	1	3	2
101	命中	50	3	3	2	1	3	2
102	嗜血	218	3	3	2	1	3	1
103	嗜血	218	3	3	2	1	3	1
104	力量	0	10	29	1	1	4	2
105	力量	0	30	39	1	1	4	2
106	力量	0	40	50	1	1	4	2
107	敏捷	2	10	29	1	1	4	2
108	敏捷	2	30	39	1	1	4	2
109	敏捷	2	40	50	1	1	4	2
110	智力	4	10	29	1	1	4	2
111	智力	4	30	39	1	1	4	2
112	智力	4	40	50	1	1	4	2
113	魔防	16	10	29	1	1	4	2
114	魔防	16	30	39	1	1	4	2
115	魔防	16	40	50	1	1	4	2
116	近防	18	10	29	1	1	4	2
117	近防	18	30	39	1	1	4	2
118	近防	18	40	50	1	1	4	2
119	远防	20	10	29	1	1	4	2
120	远防	20	30	39	1	1	4	2
121	远防	20	40	50	1	1	4	2
122	魔攻	10	10	19	1	1	4	2
123	魔攻	10	20	29	1	1	4	2
124	魔攻	10	30	40	1	1	4	2
125	近攻	12	10	19	1	1	4	2
126	近攻	12	20	29	1	1	4	2
127	近攻	12	30	40	1	1	4	2
128	远攻	14	10	19	1	1	4	2
129	远攻	14	20	29	1	1	4	2
130	远攻	14	30	40	1	1	4	2
131	体质	6	10	50	1	1	4	2
132	生命值	22	50	250	1	1	4	2
133	命中	50	1	1	1	1	4	2
134	命中	50	1	2	1	1	4	2
135	闪避	51	3	3	2	1	4	2
136	闪避	51	3	3	2	1	4	2
137	武士怒气上限点数	26	20	20	2	1	4	1
138	剑侠怒气上限点数	27	20	20	2	1	4	1
139	骑射手怒气上限点数	28	3	3	2	1	4	1
140	火枪手怒气上限点数	29	3	3	2	1	4	1
141	先知怒气上限点数	30	1500	1500	2	1	4	1
142	萨满怒气上限点数	31	1500	1500	2	1	4	1
143	力量	0	10	29	1	1	5	2
144	力量	0	30	39	1	1	5	2
145	力量	0	40	50	2	1	5	2
146	敏捷	2	10	29	1	1	5	2
