NUM	TEXT	NUM	TEXT	TEXT	TEXT	TEXT	TEXT	TEXT	TEXT	TEXT	TEXT	TEXT	TEXT	TEXT	TEXT	TEXT	TEXT	TEXT	TEXT	TEXT	TEXT	TEXT	TEXT	TEXT	TEXT	TEXT	TEXT	TEXT	TEXT	TEXT	TEXT	TEXT	TEXT	TEXT	TEXT	TEXT	TEXT	TEXT	TEXT	TEXT	TEXT	TEXT	TEXT	TEXT	TEXT	TEXT	TEXT	TEXT	TEXT	TEXT	TEXT	TEXT	TEXT	TEXT	TEXT	TEXT	TEXT	TEXT	TEXT	TEXT	TEXT	TEXT	TEXT	TEXT	TEXT	TEXT	TEXT	TEXT	TEXT	TEXT	TEXT	TEXT	TEXT	TEXT	TEXT	TEXT	TEXT	TEXT	TEXT	TEXT	TEXT	TEXT	TEXT	TEXT	TEXT	TEXT	TEXT	TEXT	TEXT	TEXT	TEXT	TEXT	TEXT	TEXT	TEXT	TEXT	TEXT	TEXT
索引编号	装备位置	装备分值	武士属性组1	武士属性组2	武士属性组3	武士属性组4	武士属性组5	武士属性组6	武士属性组7	武士属性组8	剑侠属性组1	剑侠属性组2	剑侠属性组3	剑侠属性组4	剑侠属性组5	剑侠属性组6	剑侠属性组7	剑侠属性组8	骑射属性组1	骑射属性组2	骑射属性组3	骑射属性组4	骑射属性组5	骑射属性组6	骑射属性组7	骑射属性组8	火枪属性组1	火枪属性组2	火枪属性组3	火枪属性组4	火枪属性组5	火枪属性组6	火枪属性组7	火枪属性组8	先知属性组1	先知属性组2	先知属性组3	先知属性组4	先知属性组5	先知属性组6	先知属性组7	先知属性组8	萨满属性组1	萨满属性组2	萨满属性组3	萨满属性组4	萨满属性组5	萨满属性组6	萨满属性组7	萨满属性组8	十字军属性组1	十字军属性组2	十字军属性组3	十字军属性组4	十字军属性组5	十字军属性组6	十字军属性组7	十字军属性组8	圣火使属性组1	圣火使属性组2	圣火使属性组3	圣火使属性组4	圣火使属性组5	圣火使属性组6	圣火使属性组7	圣火使属性组8	刺客属性组1	刺客属性组2	刺客属性组3	刺客属性组4	刺客属性组5	刺客属性组6	刺客属性组7	刺客属性组8	近卫军属性组1	近卫军属性组2	近卫军属性组3	近卫军属性组4	近卫军属性组5	近卫军属性组6	近卫军属性组7	近卫军属性组8	隐修士属性组1	隐修士属性组2	隐修士属性组3	隐修士属性组4	隐修士属性组5	隐修士属性组6	隐修士属性组7	隐修士属性组8	僧侣属性组1	僧侣属性组2	僧侣属性组3	僧侣属性组4	僧侣属性组5	僧侣属性组6	僧侣属性组7	僧侣属性组8
0	主手	1	0|12	0|12	-1	-1	-1	-1	-1	-1	0|12	0|12	-1	-1	-1	-1	-1	-1	2|14	2|14	-1	-1	-1	-1	-1	-1	2|14	2|14	-1	-1	-1	-1	-1	-1	4|10	4|10	-1	-1	-1	-1	-1	-1	4|10	4|10	-1	-1	-1	-1	-1	-1	0|12	0|12	-1	-1	-1	-1	-1	-1	0|12	0|12	-1	-1	-1	-1	-1	-1	2|14	2|14	-1	-1	-1	-1	-1	-1	2|14	2|14	-1	-1	-1	-1	-1	-1	4|10	4|10	-1	-1	-1	-1	-1	-1	4|10	4|10	-1	-1	-1	-1	-1	-1
1	主手	5	0|12	0|12	50|53|97	-1	-1	-1	-1	-1	0|12	0|12	50|53|97	-1	-1	-1	-1	-1	2|14	2|14	50|53|97	-1	-1	-1	-1	-1	2|14	2|14	50|53|97	-1	-1	-1	-1	-1	4|10	4|10	50|53|97	-1	-1	-1	-1	-1	4|10	4|10	50|53|97	-1	-1	-1	-1	-1	0|12	0|12	50|53|97	-1	-1	-1	-1	-1	0|12	0|12	50|53|97	-1	-1	-1	-1	-1	2|14	2|14	50|53|97	-1	-1	-1	-1	-1	2|14	2|14	50|53|97	-1	-1	-1	-1	-1	4|10	4|10	50|53|97	-1	-1	-1	-1	-1	4|10	4|10	50|53|97	-1	-1	-1	-1	-1
2	主手	11	0|12	0|12	50|53|97	50|53|97	-1	-1	-1	-1	0|12	0|12	50|53|97	50|53|97	-1	-1	-1	-1	2|14	2|14	50|53|97	50|53|97	-1	-1	-1	-1	2|14	2|14	50|53|97	50|53|97	-1	-1	-1	-1	4|10	4|10	50|53|97	50|53|97	-1	-1	-1	-1	4|10	4|10	50|53|97	50|53|97	-1	-1	-1	-1	0|12	0|12	50|53|97	50|53|97	-1	-1	-1	-1	0|12	0|12	50|53|97	50|53|97	-1	-1	-1	-1	2|14	2|14	50|53|97	50|53|97	-1	-1	-1	-1	2|14	2|14	50|53|97	50|53|97	-1	-1	-1	-1	4|10	4|10	50|53|97	50|53|97	-1	-1	-1	-1	4|10	4|10	50|53|97	50|53|97	-1	-1	-1	-1
3	主手	23	0|12	0|12	50|53|97	50|53|97	0|12|50|53|97	-1	-1	-1	0|12	0|12	50|53|97	50|53|97	0|12|50|53|97	-1	-1	-1	2|14	2|14	50|53|97	50|53|97	2|14|50|53|97	-1	-1	-1	2|14	2|14	50|53|97	50|53|97	2|14|50|53|97	-1	-1	-1	4|10	4|10	50|53|97	50|53|97	4|10|50|53|97	-1	-1	-1	4|10	4|10	50|53|97	50|53|97	4|10|50|53|97	-1	-1	-1	0|12	0|12	50|53|97	50|53|97	0|12|50|53|97	-1	-1	-1	0|12	0|12	50|53|97	50|53|97	0|12|50|53|97	-1	-1	-1	2|14	2|14	50|53|97	50|53|97	2|14|50|53|97	-1	-1	-1	2|14	2|14	50|53|97	50|53|97	2|14|50|53|97	-1	-1	-1	4|10	4|10	50|53|97	50|53|97	4|10|50|53|97	-1	-1	-1	4|10	4|10	50|53|97	50|53|97	4|10|50|53|97	-1	-1	-1
4	主手	47	0|12	0|12	50|53|97	50|53|97	0|12|50|53|97	-1	-1	-1	0|12	0|12	50|53|97	50|53|97	0|12|50|53|97	-1	-1	-1	2|14	2|14	50|53|97	50|53|97	2|14|50|53|97	-1	-1	-1	2|14	2|14	50|53|97	50|53|97	2|14|50|53|97	-1	-1	-1	4|10	4|10	50|53|97	50|53|97	4|10|50|53|97	-1	-1	-1	4|10	4|10	50|53|97	50|53|97	4|10|50|53|97	-1	-1	-1	0|12	0|12	50|53|97	50|53|97	0|12|50|53|97	-1	-1	-1	0|12	0|12	50|53|97	50|53|97	0|12|50|53|97	-1	-1	-1	2|14	2|14	50|53|97	50|53|97	2|14|50|53|97	-1	-1	-1	2|14	2|14	50|53|97	50|53|97	2|14|50|53|97	-1	-1	-1	4|10	4|10	50|53|97	50|53|97	4|10|50|53|97	-1	-1	-1	4|10	4|10	50|53|97	50|53|97	4|10|50|53|97	-1	-1	-1
5	主手	95	0|12	0|12	50|53|97	50|53|97	0|12|50|53|97	-1	-1	-1	0|12	0|12	50|53|97	50|53|97	0|12|50|53|97	-1	-1	-1	2|14	2|14	50|53|97	50|53|97	2|14|50|53|97	-1	-1	-1	2|14	2|14	50|53|97	50|53|97	2|14|50|53|97	-1	-1	-1	4|10	4|10	50|53|97	50|53|97	4|10|50|53|97	-1	-1	-1	4|10	4|10	50|53|97	50|53|97	4|10|50|53|97	-1	-1	-1	0|12	0|12	50|53|97	50|53|97	0|12|50|53|97	-1	-1	-1	0|12	0|12	50|53|97	50|53|97	0|12|50|53|97	-1	-1	-1	2|14	2|14	50|53|97	50|53|97	2|14|50|53|97	-1	-1	-1	2|14	2|14	50|53|97	50|53|97	2|14|50|53|97	-1	-1	-1	4|10	4|10	50|53|97	50|53|97	4|10|50|53|97	-1	-1	-1	4|10	4|10	50|53|97	50|53|97	4|10|50|53|97	-1	-1	-1
6	主手	191	0|12	0|12	50|53|97	50|53|97	0|12|50|53|97	-1	-1	-1	0|12	0|12	50|53|97	50|53|97	0|12|50|53|97	-1	-1	-1	2|14	2|14	50|53|97	50|53|97	2|14|50|53|97	-1	-1	-1	2|14	2|14	50|53|97	50|53|97	2|14|50|53|97	-1	-1	-1	4|10	4|10	50|53|97	50|53|97	4|10|50|53|97	-1	-1	-1	4|10	4|10	50|53|97	50|53|97	4|10|50|53|97	-1	-1	-1	0|12	0|12	50|53|97	50|53|97	0|12|50|53|97	-1	-1	-1	0|12	0|12	50|53|97	50|53|97	0|12|50|53|97	-1	-1	-1	2|14	2|14	50|53|97	50|53|97	2|14|50|53|97	-1	-1	-1	2|14	2|14	50|53|97	50|53|97	2|14|50|53|97	-1	-1	-1	4|10	4|10	50|53|97	50|53|97	4|10|50|53|97	-1	-1	-1	4|10	4|10	50|53|97	50|53|97	4|10|50|53|97	-1	-1	-1
7	主手	383	0|12	0|12	50|53|97	50|53|97	0|12|50|53|97	-1	-1	-1	0|12	0|12	50|53|97	50|53|97	0|12|50|53|97	-1	-1	-1	2|14	2|14	50|53|97	50|53|97	2|14|50|53|97	-1	-1	-1	2|14	2|14	50|53|97	50|53|97	2|14|50|53|97	-1	-1	-1	4|10	4|10	50|53|97	50|53|97	4|10|50|53|97	-1	-1	-1	4|10	4|10	50|53|97	50|53|97	4|10|50|53|97	-1	-1	-1	0|12	0|12	50|53|97	50|53|97	0|12|50|53|97	-1	-1	-1	0|12	0|12	50|53|97	50|53|97	0|12|50|53|97	-1	-1	-1	2|14	2|14	50|53|97	50|53|97	2|14|50|53|97	-1	-1	-1	2|14	2|14	50|53|97	50|53|97	2|14|50|53|97	-1	-1	-1	4|10	4|10	50|53|97	50|53|97	4|10|50|53|97	-1	-1	-1	4|10	4|10	50|53|97	50|53|97	4|10|50|53|97	-1	-1	-1
8	主手	767	0|12	0|12	50|53|97	50|53|97	0|12|50|53|97	-1	-1	-1	0|12	0|12	50|53|97	50|53|97	0|12|50|53|97	-1	-1	-1	2|14	2|14	50|53|97	50|53|97	2|14|50|53|97	-1	-1	-1	2|14	2|14	50|53|97	50|53|97	2|14|50|53|97	-1	-1	-1	4|10	4|10	50|53|97	50|53|97	4|10|50|53|97	-1	-1	-1	4|10	4|10	50|53|97	50|53|97	4|10|50|53|97	-1	-1	-1	0|12	0|12	50|53|97	50|53|97	0|12|50|53|97	-1	-1	-1	0|12	0|12	50|53|97	50|53|97	0|12|50|53|97	-1	-1	-1	2|14	2|14	50|53|97	50|53|97	2|14|50|53|97	-1	-1	-1	2|14	2|14	50|53|97	50|53|97	2|14|50|53|97	-1	-1	-1	4|10	4|10	50|53|97	50|53|97	4|10|50|53|97	-1	-1	-1	4|10	4|10	50|53|97	50|53|97	4|10|50|53|97	-1	-1	-1
