NUM	TEXT	NUM	NUM	NUM	TEXT	NUM
属性表索引Index(无特珠意义)	属性名称	属性类别(0：基础属性；1：激活属性)	属性ID	属性值	部件	随机权重
1	力量	0	0	100	1~12|20~29|35~46	300
2	力量	0	0	80	1~12|20~29|35~46	300
3	力量	0	0	60	1~12|20~29|35~46	300
4	力量	0	0	40	1~12|20~29|35~46	300
5	力量	0	0	20	1~12|20~29|35~46	300
6	敏捷	0	2	100	1~12|20~29|35~46	300
7	敏捷	0	2	80	1~12|20~29|35~46	300
8	敏捷	0	2	60	1~12|20~29|35~46	300
9	敏捷	0	2	40	1~12|20~29|35~46	300
10	敏捷	0	2	20	1~12|20~29|35~46	300
11	智力	0	4	100	1~12|20~29|35~46	300
12	智力	0	4	80	1~12|20~29|35~46	300
13	智力	0	4	60	1~12|20~29|35~46	300
14	智力	0	4	40	1~12|20~29|35~46	300
15	智力	0	4	20	1~12|20~29|35~46	300
16	体质	0	6	100	1~12|20~29|35~46	300
17	体质	0	6	80	1~12|20~29|35~46	300
18	体质	0	6	60	1~12|20~29|35~46	300
19	体质	0	6	40	1~12|20~29|35~46	300
20	体质	0	6	20	1~12|20~29|35~46	300
21	全属	0	8	60	1~12|20~29|35~46	500
22	全属	0	8	48	1~12|20~29|35~46	500
23	全属	0	8	36	1~12|20~29|35~46	500
24	全属	0	8	24	1~12|20~29|35~46	500
25	全属	0	8	12	1~12|20~29|35~46	500
26	近攻	0	12	60	1~12|20~29|35~46	300
27	近攻	0	12	48	1~12|20~29|35~46	300
28	近攻	0	12	36	1~12|20~29|35~46	300
29	近攻	0	12	24	1~12|20~29|35~46	300
30	近攻	0	12	12	1~12|20~29|35~46	300
31	远攻	0	14	60	1~12|20~29|35~46	300
32	远攻	0	14	48	1~12|20~29|35~46	300
33	远攻	0	14	36	1~12|20~29|35~46	300
34	远攻	0	14	24	1~12|20~29|35~46	300
35	远攻	0	14	12	1~12|20~29|35~46	300
36	魔攻	0	10	60	1~12|20~29|35~46	300
37	魔攻	0	10	48	1~12|20~29|35~46	300
38	魔攻	0	10	36	1~12|20~29|35~46	300
39	魔攻	0	10	24	1~12|20~29|35~46	300
40	魔攻	0	10	12	1~12|20~29|35~46	300
41	近防	0	18	80	1~12|20~29|35~46	300
42	近防	0	18	65	1~12|20~29|35~46	300
43	近防	0	18	50	1~12|20~29|35~46	300
44	近防	0	18	35	1~12|20~29|35~46	300
45	近防	0	18	20	1~12|20~29|35~46	300
46	远防	0	20	80	1~12|20~29|35~46	300
47	远防	0	20	65	1~12|20~29|35~46	300
48	远防	0	20	50	1~12|20~29|35~46	300
49	远防	0	20	35	1~12|20~29|35~46	300
50	远防	0	20	20	1~12|20~29|35~46	300
51	魔防	0	16	80	1~12|20~29|35~46	300
52	魔防	0	16	65	1~12|20~29|35~46	300
53	魔防	0	16	50	1~12|20~29|35~46	300
54	魔防	0	16	35	1~12|20~29|35~46	300
55	魔防	0	16	20	1~12|20~29|35~46	300
56	血上限	0	22	600	1~12|20~29|35~46	300
57	血上限	0	22	480	1~12|20~29|35~46	300
58	血上限	0	22	360	1~12|20~29|35~46	300
59	血上限	0	22	240	1~12|20~29|35~46	300
60	血上限	0	22	120	1~12|20~29|35~46	300
61	暴击	1	53	10	1~12|20~29|35~46	400
62	暴击	1	53	5	1~12|20~29|35~46	400
63	暴击	1	53	3	1~12|20~29|35~46	400
64	韧性	1	54	10	1~12|20~29|35~46	400
65	韧性	1	54	5	1~12|20~29|35~46	400
66	韧性	1	54	3	1~12|20~29|35~46	400
67	命中	1	50	5	1~12|20~29|35~46	400
68	命中	1	50	3	1~12|20~29|35~46	400
69	闪避	1	51	5	1~12|20~29|35~46	400
70	闪避	1	51	3	1~12|20~29|35~46	400
71	闪避	1	51	3	1~12|20~29|35~46	400
72	暴伤	1	97	20	1~12|35~46	400
73	暴伤	1	97	10	1~12|35~46	400
74	暴伤	1	97	5	1~12|35~46	400
75	暴伤	1	97	3	1~12|35~46	400
76	暴伤	1	97	3	1~12|35~46	400
77	生命回复	1	94	100	24	300
78	怒气回复	1	38	1	24	300
79	能量回复	1	39	3	24	300
80	箭支回复	1	40	1	24	300
81	子弹回复	1	41	1	24	300
82	魔法恢复	1	42	100	24	300
83	灵力回复	1	43	100	24	300
84	移动速度	1	88	5000	27	400
85	移动速度	1	88	3000	27	400
86	移动速度	1	88	1000	27	400
87	移动速度	1	88	700	27	400
88	移动速度	1	88	500	27	400
89	减免武士伤害	1	109	3	1~12|20~29|35~46	300
90	减免武士伤害	1	109	2	1~12|20~29|35~46	300
91	减免武士伤害	1	109	1	1~12|20~29|35~46	300
92	减免剑侠伤害	1	110	3	1~12|20~29|35~46	300
93	减免剑侠伤害	1	110	2	1~12|20~29|35~46	300
94	减免剑侠伤害	1	110	1	1~12|20~29|35~46	300
95	减免骑射手伤害	1	111	3	1~12|20~29|35~46	300
96	减免骑射手伤害	1	111	2	1~12|20~29|35~46	300
97	减免骑射手伤害	1	111	1	1~12|20~29|35~46	300
98	减免火枪手伤害	1	112	3	1~12|20~29|35~46	300
99	减免火枪手伤害	1	112	2	1~12|20~29|35~46	300
100	减免火枪手伤害	1	112	1	1~12|20~29|35~46	300
101	减免先知伤害	1	113	3	1~12|20~29|35~46	300
102	减免先知伤害	1	113	2	1~12|20~29|35~46	300
103	减免先知伤害	1	113	1	1~12|20~29|35~46	300
104	减免萨满伤害	1	114	3	1~12|20~29|35~46	300
105	减免萨满伤害	1	114	2	1~12|20~29|35~46	300
106	减免萨满伤害	1	114	1	1~12|20~29|35~46	300
107	减免十字军伤害	1	211	3	1~12|20~29|35~46	300
108	减免十字军伤害	1	211	2	1~12|20~29|35~46	300
109	减免十字军伤害	1	211	1	1~12|20~29|35~46	300
110	减免圣火使伤害	1	212	3	1~12|20~29|35~46	300
111	减免圣火使伤害	1	212	2	1~12|20~29|35~46	300
112	减免圣火使伤害	1	212	1	1~12|20~29|35~46	300
113	减免刺客伤害	1	213	3	1~12|20~29|35~46	300
114	减免刺客伤害	1	213	2	1~12|20~29|35~46	300
115	减免刺客伤害	1	213	1	1~12|20~29|35~46	300
116	减免近卫军伤害	1	214	3	1~12|20~29|35~46	300
117	减免近卫军伤害	1	214	2	1~12|20~29|35~46	300
118	减免近卫军伤害	1	214	1	1~12|20~29|35~46	300
119	减免隐修士伤害	1	215	3	1~12|20~29|35~46	300
120	减免隐修士伤害	1	215	2	1~12|20~29|35~46	300
121	减免隐修士伤害	1	215	1	1~12|20~29|35~46	300
122	减免僧侣伤害	1	216	3	1~12|20~29|35~46	300
123	减免僧侣伤害	1	216	2	1~12|20~29|35~46	300
124	减免僧侣伤害	1	216	1	1~12|20~29|35~46	300
125	近程减免	1	149	3	1~12|20~29|35~46	300
126	近程减免	1	149	3	1~12|20~29|35~46	300
127	近程减免	1	149	3	1~12|20~29|35~46	300
128	远程减免	1	150	3	1~12|20~29|35~46	300
129	远程减免	1	150	3	1~12|20~29|35~46	300
130	远程减免	1	150	3	1~12|20~29|35~46	300
131	魔法减免	1	151	3	1~12|20~29|35~46	300
132	魔法减免	1	151	3	1~12|20~29|35~46	300
133	魔法减免	1	151	3	1~12|20~29|35~46	300
134	近程反免	1	201	5	1~12|20~29|35~46	300
135	近程反免	1	201	5	1~12|20~29|35~46	300
136	近程反免	1	201	5	1~12|20~29|35~46	300
137	近程反免	1	201	5	1~12|20~29|35~46	300
138	近程反免	1	201	5	1~12|20~29|35~46	300
139	远程反免	1	202	5	1~12|20~29|35~46	300
140	远程反免	1	202	5	1~12|20~29|35~46	300
141	远程反免	1	202	5	1~12|20~29|35~46	300
142	远程反免	1	202	5	1~12|20~29|35~46	300
143	远程反免	1	202	10	1~12|20~29|35~46	300
144	魔法反免	1	203	5	1~12|20~29|35~46	300
145	魔法反免	1	203	5	1~12|20~29|35~46	300
146	魔法反免	1	203	5	1~12|20~29|35~46	300
147	魔法反免	1	203	5	1~12|20~29|35~46	300
148	魔法反免	1	203	5	1~12|20~29|35~46	300
149	三系减免	1	163	2	1~12|20~29|35~46	300
150	三系减免	1	163	2	1~12|20~29|35~46	300
151	增加经验获得	1	115	3	28	300
152	增加经验获得	1	115	3	28	300
153	增加经验获得	1	115	3	28	300
154	增强对武士伤害	1	225	3	1~12|20~29|35~46	300
155	增强对武士伤害	1	225	2	1~12|20~29|35~46	300
156	增强对武士伤害	1	225	1	1~12|20~29|35~46	300
157	增强对剑侠伤害	1	226	3	1~12|20~29|35~46	300
158	增强对剑侠伤害	1	226	2	1~12|20~29|35~46	300
159	增强对剑侠伤害	1	226	1	1~12|20~29|35~46	300
160	增强对骑射手伤害	1	227	3	1~12|20~29|35~46	300
161	增强对骑射手伤害	1	227	2	1~12|20~29|35~46	300
162	增强对骑射手伤害	1	227	1	1~12|20~29|35~46	300
163	增强对火枪手伤害	1	228	3	1~12|20~29|35~46	300
164	增强对火枪手伤害	1	228	2	1~12|20~29|35~46	300
