NUM	TEXT	NUM	FLOAT	FLOAT	NUM	NUM	TEXT	NUM
索引index	属性名称	属性组id	属性效果Min(和lv有关)	属性效果Max(和lv有关)	属性效果Min	属性效果Max	部件id	权重
1	力量	167	0.42	0.48	-1	-1	1~12|20~29|33|34|35~46	500
2	力量	167	0.3	0.36	-1	-1	1~12|20~29|33|34|35~46	500
3	力量	167	0.18	0.24	-1	-1	1~12|20~29|33|34|35~46	500
4	敏捷	168	0.42	0.48	-1	-1	1~12|20~29|33|34|35~46	500
5	敏捷	168	0.3	0.36	-1	-1	1~12|20~29|33|34|35~46	500
6	敏捷	168	0.18	0.24	-1	-1	1~12|20~29|33|34|35~46	500
7	智力	169	0.42	0.48	-1	-1	1~12|20~29|33|34|35~46	500
8	智力	169	0.3	0.36	-1	-1	1~12|20~29|33|34|35~46	500
9	智力	169	0.18	0.24	-1	-1	1~12|20~29|33|34|35~46	500
10	体质	170	0.42	0.48	-1	-1	1~12|20~29|33|34|35~46	500
11	体质	170	0.3	0.36	-1	-1	1~12|20~29|33|34|35~46	500
12	体质	170	0.18	0.24	-1	-1	1~12|20~29|33|34|35~46	500
13	近攻	172	0.14	0.16	-1	-1	1~12|20~29|33|34|35~46	500
14	近攻	172	0.1	0.12	-1	-1	1~12|20~29|33|34|35~46	500
15	近攻	172	0.06	0.08	-1	-1	1~12|20~29|33|34|35~46	500
16	远攻	173	0.14	0.16	-1	-1	1~12|20~29|33|34|35~46	500
17	远攻	173	0.1	0.12	-1	-1	1~12|20~29|33|34|35~46	500
18	远攻	173	0.06	0.08	-1	-1	1~12|20~29|33|34|35~46	500
19	魔攻	171	0.14	0.16	-1	-1	1~12|20~29|33|34|35~46	500
20	魔攻	171	0.1	0.12	-1	-1	1~12|20~29|33|34|35~46	500
21	魔攻	171	0.06	0.08	-1	-1	1~12|20~29|33|34|35~46	500
22	近防	175	0.14	0.16	-1	-1	1~12|20~29|33|34|35~46	500
23	近防	175	0.1	0.12	-1	-1	1~12|20~29|33|34|35~46	500
24	近防	175	0.06	0.08	-1	-1	1~12|20~29|33|34|35~46	500
25	远防	176	0.14	0.16	-1	-1	1~12|20~29|33|34|35~46	500
26	远防	176	0.1	0.12	-1	-1	1~12|20~29|33|34|35~46	500
27	远防	176	0.06	0.08	-1	-1	1~12|20~29|33|34|35~46	500
28	魔防	174	0.14	0.16	-1	-1	1~12|20~29|33|34|35~46	500
29	魔防	174	0.1	0.12	-1	-1	1~12|20~29|33|34|35~46	500
30	魔防	174	0.06	0.08	-1	-1	1~12|20~29|33|34|35~46	500
31	生命值	177	2.1	2.4	-1	-1	1~12|20~29|33|34|35~46	500
32	生命值	177	1.5	1.8	-1	-1	1~12|20~29|33|34|35~46	500
33	生命值	177	0.9	1.2	-1	-1	1~12|20~29|33|34|35~46	500
34	命中	178	-1	-1	2	2	1~12|20~29|30|31|33|34|35~46	100
35	命中	178	-1	-1	1	1	1~12|20~29|30|31|33|34|35~46	100
36	闪避	179	-1	-1	2	2	26~29	100
37	闪避	179	-1	-1	1	1	26~29	100
38	暴击	180	-1	-1	2	2	1~12|21|24|25|35~46	100
39	暴击	180	-1	-1	1	1	1~12|21|24|25|35~46	100
40	韧性	181	-1	-1	2	2	20|22|23|26|27	100
41	韧性	181	-1	-1	1	1	20|22|23|26|27	100
42	暴击伤害	182	-1	-1	5	10	1~12|35~46	100
43	武士怒气上限点数	183	-1	-1	10	20	24	1000
44	剑侠怒气上限点数	184	-1	-1	10	20	24	1000
45	骑射手怒气上限点数	185	-1	-1	1	2	24	1000
46	火枪手怒气上限点数	186	-1	-1	1	3	24	1000
47	先知怒气上限点数	187	-1	-1	750	1500	24	1000
48	萨满怒气上限点数	188	-1	-1	750	1500	24	1000
49	移动速度	189	-1	-1	500	5000	27	500
50	爆伤减免	195	-1	-1	15	15	30|31|33|34	100
51	力量	167	-1	-1	25	28	30|31	500
52	力量	167	-1	-1	18	21	30|31	500
53	力量	167	-1	-1	10	14	30|31	500
54	敏捷	168	-1	-1	25	28	30|31	500
55	敏捷	168	-1	-1	18	21	30|31	500
56	敏捷	168	-1	-1	10	14	30|31	500
57	智力	169	-1	-1	25	28	30|31	500
58	智力	169	-1	-1	18	21	30|31	500
59	智力	169	-1	-1	10	14	30|31	500
60	体质	170	-1	-1	25	28	30|31	500
61	体质	170	-1	-1	18	21	30|31	500
62	体质	170	-1	-1	10	14	30|31	500
63	近攻	172	-1	-1	8	9	30|31	500
64	近攻	172	-1	-1	6	7	30|31	500
65	近攻	172	-1	-1	3	4	30|31	500
66	远攻	173	-1	-1	8	9	30|31	500
67	远攻	173	-1	-1	6	7	30|31	500
68	远攻	173	-1	-1	3	4	30|31	500
69	魔攻	171	-1	-1	8	9	30|31	500
70	魔攻	171	-1	-1	6	7	30|31	500
71	魔攻	171	-1	-1	3	4	30|31	500
72	近防	175	-1	-1	8	9	30|31	500
73	近防	175	-1	-1	6	7	30|31	500
74	近防	175	-1	-1	3	4	30|31	500
75	远防	176	-1	-1	8	9	30|31	500
76	远防	176	-1	-1	6	7	30|31	500
77	远防	176	-1	-1	3	4	30|31	500
78	魔防	174	-1	-1	8	9	30|31	500
79	魔防	174	-1	-1	6	7	30|31	500
80	魔防	174	-1	-1	3	4	30|31	500
81	生命值	177	-1	-1	126	144	30|31	500
82	生命值	177	-1	-1	90	108	30|31	500
83	生命值	177	-1	-1	54	72	30|31	500
								 
