NUM	NUM	NUM	NUM	NUM	NUM	TEXT	TEXT	NUM	NUM	FLOAT	FLOAT	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM
ÐòÒý	¸±±¾½Å±¾	±ê¼ÇMONSTER=0 BOSS=1	ÄÚ²¿Ë÷Òý±ê¼Ç	×îÐ¡¼¶±ð	×î´ó¼¶±ð	Ãû³Æ	±êÌâ	typeid	GUID	x	z	r	»ù´¡ai	À©Õ¹ai	flag0	flag1	flag2	flag3	´´½¨ÊýÁ¿	³¯Ïò	Ñ°Â·ID	ÕóÓª
0	700001	0	0	65	69	Á¶Ñýºø		26239	150538	128	128	0	7	-1	0	0	0	0	0	18	0	24
1	700001	0	1	70	74	Á¶Ñýºø		26240	150538	128	128	0	7	-1	0	0	0	0	0	18	0	24
2	700001	0	2	75	79	Á¶Ñýºø		26241	150538	128	128	0	7	-1	0	0	0	0	0	18	0	24
3	700001	0	3	80	84	Á¶Ñýºø		26242	150538	128	128	0	7	-1	0	0	0	0	0	18	0	24
4	700001	0	4	85	89	Á¶Ñýºø		26243	150538	128	128	0	7	-1	0	0	0	0	0	18	0	24
5	700001	0	5	90	94	Á¶Ñýºø		26244	150538	128	128	0	7	-1	0	0	0	0	0	18	0	24
6	700001	0	6	95	99	Á¶Ñýºø		26245	150538	128	128	0	7	-1	0	0	0	0	0	18	0	24
7	700001	0	7	100	104	Á¶Ñýºø		44130	150538	128	128	0	7	-1	0	0	0	0	0	18	0	24
8	700001	0	8	105	109	Á¶Ñýºø		44131	150538	128	128	0	7	-1	0	0	0	0	0	18	0	24
9	700001	0	9	110	114	Á¶Ñýºø		44132	150538	128	128	0	7	-1	0	0	0	0	0	18	0	24
10	700001	0	10	115	119	Á¶Ñýºø		44133	150538	128	128	0	7	-1	0	0	0	0	0	18	0	24
11	700001	0	11	120	124	Á¶Ñýºø		44134	150538	128	128	0	7	-1	0	0	0	0	0	18	0	24
12	700001	0	12	125	129	Á¶Ñýºø		44135	150538	128	128	0	7	-1	0	0	0	0	0	18	0	24
13	700001	0	13	130	134	Á¶Ñýºø		44136	150538	128	128	0	7	-1	0	0	0	0	0	18	0	24
14	700001	0	14	135	139	Á¶Ñýºø		44137	150538	128	128	0	7	-1	0	0	0	0	0	18	0	24
15	700001	0	15	140	144	Á¶Ñýºø		44138	150538	128	128	0	7	-1	0	0	0	0	0	18	0	24
16	700001	0	16	145	149	Á¶Ñýºø		44139	150538	128	128	0	7	-1	0	0	0	0	0	18	0	24
17	700001	0	17	150	154	Á¶Ñýºø		44140	150538	128	128	0	7	-1	0	0	0	0	0	18	0	24
18	700001	0	18	155	161	Á¶Ñýºø		44141	150538	128	128	0	7	-1	0	0	0	0	0	18	0	24
19	700001	1	19	65	69	Åç¶¾ºìÖëÊ×Áì		26250	-1	127	54	0	9	623	0	0	0	0	0	0	0	21
20	700001	1	20	70	74	Åç¶¾ºìÖëÊ×Áì		26251	-1	127	54	0	9	623	0	0	0	0	0	0	0	21
21	700001	1	21	75	79	Åç¶¾ºìÖëÊ×Áì		26252	-1	127	54	0	9	623	0	0	0	0	0	0	0	21
22	700001	1	22	80	84	Åç¶¾ºìÖëÊ×Áì		26253	-1	127	54	0	9	623	0	0	0	0	0	0	0	21
23	700001	1	23	85	89	Åç¶¾ºìÖëÊ×Áì		26254	-1	127	54	0	9	623	0	0	0	0	0	0	0	21
24	700001	1	24	90	94	Åç¶¾ºìÖëÊ×Áì		26255	-1	127	54	0	9	623	0	0	0	0	0	0	0	21
25	700001	1	25	95	99	Åç¶¾ºìÖëÊ×Áì		26256	-1	127	54	0	9	623	0	0	0	0	0	0	0	21
26	700001	1	26	100	104	Åç¶¾ºìÖëÊ×Áì		44142	-1	127	54	0	9	623	0	0	0	0	0	0	0	21
27	700001	1	27	105	109	Åç¶¾ºìÖëÊ×Áì		44143	-1	127	54	0	9	623	0	0	0	0	0	0	0	21
28	700001	1	28	110	114	Åç¶¾ºìÖëÊ×Áì		44144	-1	127	54	0	9	623	0	0	0	0	0	0	0	21
29	700001	1	29	115	119	Åç¶¾ºìÖëÊ×Áì		44145	-1	127	54	0	9	623	0	0	0	0	0	0	0	21
30	700001	1	30	120	124	Åç¶¾ºìÖëÊ×Áì		44146	-1	127	54	0	9	623	0	0	0	0	0	0	0	21
31	700001	1	31	125	129	Åç¶¾ºìÖëÊ×Áì		44147	-1	127	54	0	9	623	0	0	0	0	0	0	0	21
32	700001	1	32	130	134	Åç¶¾ºìÖëÊ×Áì		44148	-1	127	54	0	9	623	0	0	0	0	0	0	0	21
33	700001	1	33	135	139	Åç¶¾ºìÖëÊ×Áì		44149	-1	127	54	0	9	623	0	0	0	0	0	0	0	21
34	700001	1	34	140	144	Åç¶¾ºìÖëÊ×Áì		44150	-1	127	54	0	9	623	0	0	0	0	0	0	0	21
35	700001	1	35	145	149	Åç¶¾ºìÖëÊ×Áì		44151	-1	127	54	0	9	623	0	0	0	0	0	0	0	21
36	700001	1	36	150	154	Åç¶¾ºìÖëÊ×Áì		44152	-1	127	54	0	9	623	0	0	0	0	0	0	0	21
37	700001	1	37	155	161	Åç¶¾ºìÖëÊ×Áì		44153	-1	127	54	0	9	623	0	0	0	0	0	0	0	21
38	700001	1	38	65	69	¾ç¶¾ºìÍÜÊ×Áì		26261	-1	179	75	0	9	624	1	0	0	0	0	0	0	21
39	700001	1	39	70	74	¾ç¶¾ºìÍÜÊ×Áì		26262	-1	179	75	0	9	624	1	0	0	0	0	0	0	21
40	700001	1	40	75	79	¾ç¶¾ºìÍÜÊ×Áì		26263	-1	179	75	0	9	624	1	0	0	0	0	0	0	21
41	700001	1	41	80	84	¾ç¶¾ºìÍÜÊ×Áì		26264	-1	179	75	0	9	624	1	0	0	0	0	0	0	21
42	700001	1	42	85	89	¾ç¶¾ºìÍÜÊ×Áì		26265	-1	179	75	0	9	624	1	0	0	0	0	0	0	21
43	700001	1	43	90	94	¾ç¶¾ºìÍÜÊ×Áì		26266	-1	179	75	0	9	624	1	0	0	0	0	0	0	21
