NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM
索引	星期	开始时间	结束时间（仅做一天次数的分隔，无实际作用）	产生人数占国家人数的比例（百分之）（1档）	国家人数（1档）	产生人数占国家人数的比例（百分之）（2档）	国家人数（2档）	产生人数占国家人数的比例（百分之）（3档）	国家人数（3档）	产生人数占国家人数的比例（百分之）（4档）	国家人数（3档）
1	0	2200	2202	100	4	50	10	10	500	10	5000
2	1	2200	2202	100	4	50	10	10	500	10	5000
3	2	2200	2202	100	4	50	10	10	500	10	5000
4	3	2200	2202	100	4	50	10	10	500	10	5000
5	4	2200	2202	100	4	50	10	10	500	10	5000
6	5	2200	2202	100	4	50	10	10	500	10	5000
7	6	2200	2202	100	4	50	10	10	500	10	5000
											
#最多10条，国家人数最高必须5000											
