NUM	NUM	NUM	NUM	TEXT	TEXT	TEXT	NUM
索引	资源ID	成熟时间 	矿山等级（开始第一级记0级）	产出类型	产出数量	权重(100为基数)	得到额外奖励概率（1-宝箱）
#1类矿							
0	19000402	1800	0	12271409|12271409|12271409|12271410|12271408|0|0|0	1|2|3|1|1|0|0|0	25|47|24|3|1|0|0|0	10
1	19000402	1300	1	11000160|11000161|11000161|11000161|11000161|11000161|11000161|11000161	10|9|8|7|6|5|4|3	50|30|20|0|0|0|0|1	12
2	19000402	1400	2	11000160|11000161|11000161|11000161|11000161|11000161|11000161|11000161	10|9|8|7|6|5|4|3	50|30|20|0|0|0|0|2	12
3	19000402	1500	3	11000160|11000161|11000161|11000161|11000161|11000161|11000161|11000161	10|9|8|7|6|5|4|3	50|30|20|0|0|0|0|3	12
4	19000402	1600	4	11000160|11000161|11000161|11000161|11000161|11000161|11000161|11000161	10|9|8|7|6|5|4|3	50|30|20|0|0|0|0|4	12
5	19000402	1700	5	11000160|11000161|11000161|11000161|11000161|11000161|11000161|11000161	10|9|8|7|6|5|4|3	50|30|20|0|0|0|0|5	12
#2类矿							
6	19000403	2700	0	12271409|12271409|12271409|12271410|12271408|0|0|0	1|2|3|1|1|0|0|0	25|47|24|3|1|0|0|0	10
7	19000403	1300	1	11000160|11000161|11000161|11000161|11000161|11000161|11000161|11000161	10|9|8|7|6|5|4|3	50|30|20|0|0|0|0|1	12
8	19000403	1400	2	11000160|11000161|11000161|11000161|11000161|11000161|11000161|11000161	10|9|8|7|6|5|4|3	50|30|20|0|0|0|0|2	12
9	19000403	1500	3	11000160|11000161|11000161|11000161|11000161|11000161|11000161|11000161	10|9|8|7|6|5|4|3	50|30|20|0|0|0|0|3	12
10	19000403	1600	4	11000160|11000161|11000161|11000161|11000161|11000161|11000161|11000161	10|9|8|7|6|5|4|3	50|30|20|0|0|0|0|4	12
11	19000403	1700	5	11000160|11000161|11000161|11000161|11000161|11000161|11000161|11000161	10|9|8|7|6|5|4|3	50|30|20|0|0|0|0|5	12
#3类矿							
12	19000404	3600	0	12271409|12271409|12271409|12271410|12271408|0|0|0	1|2|3|1|1|0|0|0	25|47|24|3|1|0|0|0	10
13	19000404	1300	1	11000160|11000161|11000161|11000161|11000161|11000161|11000161|11000161	10|9|8|7|6|5|4|3	50|30|20|0|0|0|0|1	12
14	19000404	1400	2	11000160|11000161|11000161|11000161|11000161|11000161|11000161|11000161	10|9|8|7|6|5|4|3	50|30|20|0|0|0|0|2	12
15	19000404	1500	3	11000160|11000161|11000161|11000161|11000161|11000161|11000161|11000161	10|9|8|7|6|5|4|3	50|30|20|0|0|0|0|3	12
16	19000404	1600	4	11000160|11000161|11000161|11000161|11000161|11000161|11000161|11000161	10|9|8|7|6|5|4|3	50|30|20|0|0|0|0|4	12
17	19000404	1700	5	11000160|11000161|11000161|11000161|11000161|11000161|11000161|11000161	10|9|8|7|6|5|4|3	50|30|20|0|0|0|0|5	12
