NUM	TEXT	TEXT	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM
属性ID	属性名称	出现部位	权重值	1的属性值	2的属性值	3的属性值	4的属性值	5的属性值	6的属性值	7的属性值	8的属性值	9的属性值	10的属性值	11的属性值	12的属性值	13的属性值
0	力量	1~12|20~29|35~46	1	116	20	28	36	44	52	60	68	76	84	92	100	108
2	敏捷	1~12|20~29|35~46	1	116	20	28	36	44	52	60	68	76	84	92	100	108
4	智力	1~12|20~29|35~46	1	116	20	28	36	44	52	60	68	76	84	92	100	108
6	体质	1~12|20~29|35~46	1	116	20	28	36	44	52	60	68	76	84	92	100	108
8	全属性	1~12|20~29|35~46	1000	500	12	16	20	24	28	32	36	40	44	48	52	56
10	魔攻伤害点数	1~12|20~29|35~46	1	78	6	12	18	24	30	36	42	48	54	60	66	72
12	近攻伤害点数	1~12|20~29|35~46	1	78	6	12	18	24	30	36	42	48	54	60	66	72
14	远攻伤害点数	1~12|20~29|35~46	1	78	6	12	18	24	30	36	42	48	54	60	66	72
16	魔攻防御点数	1~12|20~29|35~46	1	78	6	12	18	24	30	36	42	48	54	60	66	72
18	近攻防御点数	1~12|20~29|35~46	1	78	6	12	18	24	30	36	42	48	54	60	66	72
20	远攻防御点数	1~12|20~29|35~46	1	78	6	12	18	24	30	36	42	48	54	60	66	72
