NUM	TEXT	NUM	NUM	NUM	TEXT	NUM	TEXT	NUM	TEXT	NUM	TEXT	NUM	TEXT	NUM	TEXT	NUM	TEXT	NUM	TEXT	NUM	TEXT	NUM	TEXT	NUM	TEXT	NUM	TEXT	NUM	TEXT	NUM	TEXT	NUM	TEXT	NUM	TEXT
属性组ID编号	属性组名称	属性组概率（总概率10000，如果总和不足10000，则取当前和）	装备等级限制	影响属性ID	出现属性的装备类型	影响属性ID	出现属性的装备类型	影响属性ID	出现属性的装备类型	影响属性ID	出现属性的装备类型	影响属性ID	出现属性的装备类型	影响属性ID	出现属性的装备类型	影响属性ID	出现属性的装备类型	影响属性ID	出现属性的装备类型	影响属性ID	出现属性的装备类型	影响属性ID	出现属性的装备类型	影响属性ID	出现属性的装备类型	影响属性ID	出现属性的装备类型	影响属性ID	出现属性的装备类型	影响属性ID	出现属性的装备类型	影响属性ID	出现属性的装备类型	影响属性ID	出现属性的装备类型
1	/* 力量点数 */	180	-1	1	0|1|2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
2	/* 力量百分率 */	180	-1	2	0|1|2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
3	/* 敏捷点数 */	180	-1	3	0|1|2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
4	/* 敏捷百分率 */	150	-1	4	0|1|2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
5	/* 智力点数 */	100	-1	5	3|4|0|1|2|3|4|5|6|7	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
6	/* 智力百分率*/	150	-1	6	3|4	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
7	/* 体质点数 */	100	-1	7	3|4	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
8	/* 体质百分率 */	150	-1	8	3|4	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
9	/* 所有属性点数 */	100	-1	9	3|4|0|1|2|3|4|5|6|7	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
10	/* 所有属性百分比 */	200	-1	10	3|4	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
11	/* 力量资质 */	200	-1	11	3|4	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
12	/* 力量资质百分率 */	200	-1	12	5|6	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
13	/* 敏捷资质 */	200	-1	13	5|6	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
14	/* 敏捷资质百分率 */	200	-1	14	5|6	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
15	/* 智力资质 */	200	-1	15	5|6	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
16	/* 智力资质百分率 */	150	-1	16	5|6	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
17	/* 体质资质 */	150	-1	17	5|6	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
18	/* 体质资质百分率 */	150	-1	18	5|6	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
19	/* 装备附加BUFF	150	-1	19	5|6	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
