NUM	NUM	TEXT	NUM	TEXT	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM
场景编号，必以0开头且连续	线程编号(以0开头)	名字	ISactivation(1为激活，0为不激活)	调用场景	所属服务器	Map Type(0为常规，1为副本,7为跨服战场，8跨为服报名大厅)	Safe Level	Mode	处罚标识	可立足坐标（X）	可立足坐标（Y)	client资源	默认势力	可否创建CAR
0	0	大都·中心城	1	city_cheng3dadu/city_cheng3dadu.scn	0	0	0	-1	0	285	191	0	20	-1
1	1	登录界面	1	denglucheng3/denglucheng3.scn	0	0	1	-1	1	92	171	1	20	-1
2	1	大都·泰山	1	yewai_taishan/yewai_taishan.scn	0	0	1	-1	1	11	109	2	20	-1
3	1	边塞·中兴府	1	city_zhongxingfu/city_zhongxingfu.scn	0	0	1	-1	1	16	16	3	20	-1
4	1	大都·太行山	1	yewai_taihangshan/yewai_taihangshan.scn	0	0	1	-1	1	93	19	4	20	-1
5	1	领地·凤翔府	1	yewai_fengxiangfu/yewai_fengxiangfu.scn	0	0	1	-1	1	116	110	5	20	-1
6	1	领地·蔡州城	1	yewai_caizhoucheng/yewai_caizhoucheng.scn	0	0	1	-1	1	87	104	6	20	-1
7	1	领地·秦岭	1	yewai_qinling/yewai_qinling.scn	0	0	1	-1	1	63	74	7	20	-1
8	1	领地·阿尔金山	1	yewai_jinshan/yewai_jinshan.scn	0	0	1	-1	1	102	21	8	20	-1
9	1	领地·碎叶城	1	yewai_suiyecheng/yewai_suiyecheng.scn	0	0	1	-1	1	20	31	9	20	-1
10	1	领地·红沙漠	1	yewai_hongshamo/yewai_hongshamo.scn	0	0	1	-1	1	62	110	10	20	-1
11	1	领地·撒马尔罕	1	yewai_samaerhan/yewai_samaerhan.scn	0	0	1	-1	1	22	96	11	20	-1
12	1	监狱	1	migong_jianyu/migong_jianyu.scn	0	0	1	-1	0	15	35	12	20	-1
13	2	领地·巴格达	1	yewai_bageda/yewai_bageda.scn	0	0	1	-1	1	20	20	13	20	-1
14	2	大都美丽会	1	city_dadumeilihui/city_dadumeilihui.scn	0	0	0	-1	1	16	24	14	20	-1
15	2	威海港	1	city_weihaigang/city_weihaigang.scn	0	0	0	-1	0	162	112	15	20	-1
16	2	领地·波斯高原	1	yewai_bosigaoyuan/yewai_bosigaoyuan.scn	0	0	1	-1	1	100	100	16	20	-1
17	2	领地·莫斯科	1	yewai_mosikegongguo/yewai_mosikegongguo.scn	0	0	1	-1	1	100	100	17	20	-1
18	8	领地·基辅公国	1	yewai_jifugongguo/yewai_jifugongguo.scn	0	0	1	-1	1	100	100	18	20	-1
19	9	领地·波兰王国	1	yewai_bolanwangguo/yewai_bolanwangguo.scn	0	0	1	-1	1	123	57	19	20	-1
20	10	领地·匈牙利	1	yewai_xiongyaliwangguo/yewai_xiongyaliwangguo.scn	0	0	1	-1	1	100	100	20	20	-1
21	10	领地·神圣罗马	1	yewai_shenshengluomadiguo/yewai_shenshengluomadiguo.scn	0	0	1	-1	1	59	91	21	20	-1
22	10	领地·拜占庭	1	yewai_baizhantingdiguo/yewai_baizhantingdiguo.scn	0	0	1	-1	1	59	91	22	20	-1
23	9	领地·大马士革	1	yewai_damashige/yewai_damashige.scn	0	0	1	-1	1	100	100	23	20	-1
24	9	领地·耶路撒冷	1	yewai_yelusaleng/yewai_yelusaleng.scn	0	0	1	-1	1	59	91	24	20	-1
25	9	领地·西奈半岛	1	yewai_xinaibandao/yewai_xinaibandao.scn	0	0	1	-1	1	59	91	25	20	-1
26	9	领地·对马岛	1	yewai_duimadao/yewai_duimadao.scn	0	0	1	-1	1	59	91	26	20	-1
27	9	领地·福冈	1	yewai_fugang/yewai_fugang.scn	0	0	1	-1	1	100	100	27	20	-1
28	60	test	1	zhanchang_liurenzhanchang/zhanchang_liurenzhanchang.scn	0	0	1	-1	1	100	100	28	20	-1
29	20	领地·九州岛	1	yewai_jiuzhoudao/yewai_jiuzhoudao.scn	0	0	1	-1	1	100	100	29	20	-1
30	33	test	1	test/test.scn	0	0	1	-1	1	100	100	30	20	-1
31	9	领地·缅甸	1	test/test.scn	0	0	1	-1	1	100	100	31	20	-1
32	9	领地·印度河	1	test/test.scn	0	0	1	-1	1	100	100	32	20	-1
33	11	领地·婆罗洲	1	test/test.scn	0	0	1	-1	1	100	100	33	20	-1
34	12	领地·爪哇岛	1	test/test.scn	0	0	1	-1	1	100	100	34	20	-1
35	9	领地·苏门答腊	1	test/test.scn	0	0	1	-1	1	100	100	35	20	-1
36	2	大都·南	1	city_dadunanjiao/city_dadunanjiao.scn	0	0	0	-1	0	100	100	36	20	-1
37	2	大都·东	1	city_dadudongjiao/city_dadudongjiao.scn	0	0	0	-1	0	100	100	37	20	-1
38	2	大都·西	1	city_daduxijiao/city_daduxijiao.scn	0	0	0	-1	0	100	100	38	20	-1
39	2	天上人间·麒麟	1	city_goulanyuan/city_goulanyuan.scn	0	0	0	-1	0	100	100	39	20	-1
40	9	天上人间·梦聊	1	fuben_daguanyuan/fuben_daguanyuan.scn	0	0	0	-1	0	100	100	40	20	-1
41	9	大都·皇城	1	city_huanggong/city_huanggong.scn	0	0	0	-1	0	100	100	41	20	-1
42	9	大都·大都密室	1	migong_dadushinei01/migong_dadushinei01.scn	0	0	0	-1	1	100	100	42	20	-1
43	9	大都·大都民居	1	migong_dadushinei02/migong_dadushinei02.scn	0	0	0	-1	1	100	100	43	20	-1
44	9	大都·后花园	1	city_huanggongmidao/city_huanggongmidao.scn	0	0	1	-1	1	100	100	44	20	-1
45	9	地下粮仓一层	1	migong_dadumigong1/migong_dadumigong1.scn	0	0	1	-1	1	100	100	45	20	-1
46	9	地下粮仓二层	1	migong_dadumigong2/migong_dadumigong2.scn	0	0	1	-1	1	100	100	46	20	-1
