NUM	NUM	TEXT	NUM	TEXT	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM
场景编号，必以0开头且连续	线程编号(以0开头)	名字	ISactivation(1为激活，0为不激活)	调用场景	所属服务器	"Map Type(0为常规，1为副本,7为跨服战场，8跨为服报名大厅)"	Safe Level	Mode	处罚标识	可立足坐标（X）	可立足坐标（Y)	client资源	默认势力	可否创建CAR	SDT_ExtraType	SDT_BoardCastRadius
0	0	大都·中心城	1	city_cheng3dadu/city_cheng3dadu.scn	0	0	0	-1	0	285	191	0	20	-1	1	5
1	1	登录界面	1	denglucheng3/denglucheng3.scn	0	0	1	-1	1	92	171	1	20	-1	1	5
2	1	大都·泰山	1	yewai_taishan/yewai_taishan.scn	0	0	1	-1	1	11	109	2	20	-1	1	5
3	1	边塞·中兴府	0	city_zhongxingfu/city_zhongxingfu.scn	0	0	1	-1	1	16	16	3	20	-1	1	5
4	1	大都·太行山	1	yewai_taihangshan/yewai_taihangshan.scn	0	0	1	-1	1	93	19	4	20	-1	1	5
5	1	领地·凤翔府	0	yewai_fengxiangfu/yewai_fengxiangfu.scn	0	0	1	-1	1	116	110	5	20	-1	1	5
6	1	领地·蔡州城	0	yewai_caizhoucheng/yewai_caizhoucheng.scn	0	0	1	-1	1	87	104	6	20	-1	1	5
7	1	领地·秦岭	0	yewai_qinling/yewai_qinling.scn	0	0	1	-1	1	63	74	7	20	-1	1	5
8	1	领地·阿尔金山	0	yewai_jinshan/yewai_jinshan.scn	0	0	1	-1	1	102	21	8	20	-1	1	5
9	1	领地·碎叶城	0	yewai_suiyecheng/yewai_suiyecheng.scn	0	0	1	-1	1	20	31	9	20	-1	1	5
10	1	领地·红沙漠	0	yewai_hongshamo/yewai_hongshamo.scn	0	0	1	-1	1	62	110	10	20	-1	1	5
11	1	领地·撒马尔罕	0	yewai_samaerhan/yewai_samaerhan.scn	0	0	1	-1	1	22	96	11	20	-1	1	5
12	1	监狱	0	migong_jianyu/migong_jianyu.scn	0	0	1	-1	0	15	35	12	20	-1	1	5
13	2	领地·巴格达	0	yewai_bageda/yewai_bageda.scn	0	0	1	-1	1	20	20	13	20	-1	1	5
14	2	大都美丽会	0	city_dadumeilihui/city_dadumeilihui.scn	0	0	0	-1	1	16	24	14	20	-1	1	5
15	2	威海港	0	city_weihaigang/city_weihaigang.scn	0	0	0	-1	0	162	112	15	20	-1	1	5
16	2	领地·波斯高原	0	yewai_bosigaoyuan/yewai_bosigaoyuan.scn	0	0	1	-1	1	100	100	16	20	-1	1	5
17	2	领地·莫斯科	0	yewai_mosikegongguo/yewai_mosikegongguo.scn	0	0	1	-1	1	100	100	17	20	-1	1	5
18	8	领地·基辅公国	0	yewai_jifugongguo/yewai_jifugongguo.scn	0	0	1	-1	1	100	100	18	20	-1	1	5
19	9	领地·波兰王国	0	yewai_bolanwangguo/yewai_bolanwangguo.scn	0	0	1	-1	1	123	57	19	20	-1	1	5
20	10	领地·匈牙利	0	yewai_xiongyaliwangguo/yewai_xiongyaliwangguo.scn	0	0	1	-1	1	100	100	20	20	-1	1	5
21	10	领地·神圣罗马	0	yewai_shenshengluomadiguo/yewai_shenshengluomadiguo.scn	0	0	1	-1	1	59	91	21	20	-1	1	5
22	10	领地·拜占庭	0	yewai_baizhantingdiguo/yewai_baizhantingdiguo.scn	0	0	1	-1	1	59	91	22	20	-1	1	5
23	9	领地·大马士革	0	yewai_damashige/yewai_damashige.scn	0	0	1	-1	1	100	100	23	20	-1	1	5
24	9	领地·耶路撒冷	0	yewai_yelusaleng/yewai_yelusaleng.scn	0	0	1	-1	1	59	91	24	20	-1	1	5
25	9	领地·西奈半岛	0	yewai_xinaibandao/yewai_xinaibandao.scn	0	0	1	-1	1	59	91	25	20	-1	1	5
26	9	领地·对马岛	0	yewai_duimadao/yewai_duimadao.scn	0	0	1	-1	1	59	91	26	20	-1	1	5
27	9	领地·福冈	0	yewai_fugang/yewai_fugang.scn	0	0	1	-1	1	100	100	27	20	-1	1	5
28	60	test	0	zhanchang_liurenzhanchang/zhanchang_liurenzhanchang.scn	0	0	1	-1	1	100	100	28	20	-1	1	5
29	20	领地·九州岛	0	yewai_jiuzhoudao/yewai_jiuzhoudao.scn	0	0	1	-1	1	100	100	29	20	-1	1	5
30	9	test	0	test/test.scn	0	0	1	-1	1	100	100	30	20	-1	1	5
31	9	领地·缅甸	0	test/test.scn	0	0	1	-1	1	100	100	31	20	-1	1	5
32	9	领地·印度河	0	test/test.scn	0	0	1	-1	1	100	100	32	20	-1	1	5
33	11	领地·婆罗洲	0	test/test.scn	0	0	1	-1	1	100	100	33	20	-1	1	5
34	12	领地·爪哇岛	0	test/test.scn	0	0	1	-1	1	100	100	34	20	-1	1	5
35	9	领地·苏门答腊	0	test/test.scn	0	0	1	-1	1	100	100	35	20	-1	1	5
36	2	大都·南	0	city_dadunanjiao/city_dadunanjiao.scn	0	0	0	-1	0	100	100	36	20	-1	1	5
37	2	大都·东	0	city_dadudongjiao/city_dadudongjiao.scn	0	0	0	-1	0	100	100	37	20	-1	1	5
38	2	大都·西	0	city_daduxijiao/city_daduxijiao.scn	0	0	0	-1	0	100	100	38	20	-1	1	5
39	2	天上人间·麒麟	1	city_goulanyuan/city_goulanyuan.scn	0	0	0	-1	0	100	100	39	20	-1	1	5
40	9	天上人间·梦聊	1	fuben_daguanyuan/fuben_daguanyuan.scn	0	0	0	-1	0	100	100	40	20	-1	1	5
41	9	大都·皇城	1	city_huanggong/city_huanggong.scn	0	0	0	-1	0	100	100	41	20	-1	1	5
42	9	大都·大都密室	0	migong_dadushinei01/migong_dadushinei01.scn	0	0	0	-1	1	100	100	42	20	-1	1	5
43	9	大都·大都民居	0	migong_dadushinei02/migong_dadushinei02.scn	0	0	0	-1	1	100	100	43	20	-1	1	5
44	9	大都·后花园	0	city_huanggongmidao/city_huanggongmidao.scn	0	0	1	-1	1	100	100	44	20	-1	1	5
45	9	地下粮仓一层	0	migong_dadumigong1/migong_dadumigong1.scn	0	0	1	-1	1	100	100	45	20	-1	1	5
46	9	地下粮仓二层	0	migong_dadumigong2/migong_dadumigong2.scn	0	0	1	-1	1	100	100	46	20	-1	1	5
47	9	地下粮仓三层	0	migong_dadumigong3/migong_dadumigong3.scn	0	0	1	-1	1	100	100	47	20	-1	1	5
48	9	地下粮仓四层	0	migong_dadumigong4/migong_dadumigong4.scn	0	0	1	-1	1	100	100	48	20	-1	1	5
49	9	地下粮仓五层	0	migong_dadumigong5/migong_dadumigong5.scn	0	0	1	-1	1	100	100	49	20	-1	1	5
50	0	王国·楼兰王城	1	city_cheng3wangcheng/city_cheng3wangcheng.scn	0	0	1	-1	1	123	57	50	16	0	1	5
51	1	边塞·楼兰边塞	1	city_cheng3bianjing/city_cheng3bianjing.scn	0	0	1	-1	1	274	196	51	16	-1	1	5
52	2	罕难河剧场	1	juqing_hannanhecaoyuan/juqing_hannanhecaoyuan.scn	0	0	0	-1	1	55	204	52	16	-1	1	5
53	2	乞颜部剧场	1	juqing_qiyanbu/juqing_qiyanbu.scn	0	0	0	-1	1	86	174	53	16	-1	1	5
54	2	克烈部剧场	1	juqing_keliebu/juqing_keliebu.scn	0	0	0	-1	1	175	64	54	16	-1	1	5
55	2	塔塔尔部剧场	1	juqing_tataerbu/juqing_tataerbu.scn	0	0	0	-1	1	199	202	55	16	-1	1	5
56	2	乃蛮部剧场	1	juqing_naimanbu/juqing_naimanbu.scn	0	0	0	-1	1	59	91	56	16	-1	1	5
57	2	居庸关剧场	1	juqing_juyongguan/juqing_juyongguan.scn	0	0	0	-1	1	210	233	57	16	-1	1	5
58	7	边塞·楼兰密屋	0	migong_minju04/migong_minju04.scn	0	0	0	-1	0	95	105	58	16	-1	1	5
59	7	边塞·楼兰密室	0	migong_minju05/migong_minju05.scn	0	0	0	-1	0	191	29	59	16	-1	1	5
60	7	边塞·楼兰小屋	0	migong_minju06/migong_minju06.scn	0	0	0	-1	0	36	209	60	16	-1	1	5
61	7	边塞·楼兰民居	0	migong_minju07/migong_minju07.scn	0	0	0	-1	0	227	38	61	16	-1	1	5
62	7	王国·王国密室	0	migong_loulanshinei04/migong_loulanshinei04.scn	0	0	0	-1	1	100	100	62	16	-1	1	5
63	7	王国·王国小屋	0	migong_loulanshinei05/migong_loulanshinei05.scn	0	0	0	-1	1	100	100	63	16	-1	1	5
64	7	九咒山坳	0	midong_jiuzhoushanao/midong_jiuzhoushanao.scn	0	0	1	-1	1	100	100	64	16	-1	1	5
65	8	国家场景预留	0	test/test.scn	0	0	1	-1	1	100	100	65	16	-1	1	5
66	8	国家场景预留	0	test/test.scn	0	0	1	-1	1	100	100	66	16	-1	1	5
67	1	楼兰丝绸古道	0	city_loulansichougudao/city_loulansichougudao.scn	0	0	1	-1	1	131	70	67	20	-1	1	5
68	2	矿洞	0	city_huangjinkuangdong/city_huangjinkuangdong.scn	0	0	1	-1	1	100	100	68	16	-1	1	5
69	18	国家场景预留	0	test/test.scn	0	0	1	-1	1	100	100	69	16	-1	1	5
70	18	楼兰王宫	0	city_cheng3wanggong/city_cheng3wanggong.scn	0	0	0	-1	1	100	100	70	16	-1	1	5
71	18	国家场景预留	0	test/test.scn	0	0	1	-1	1	100	100	71	16	-1	1	5
72	18	国家场景预留	0	test/test.scn	0	0	1	-1	1	100	100	72	16	-1	1	5
73	7	测试王城	0	test/test.scn	0	0	1	-1	1	100	100	73	16	-1	1	5
74	8	测试边境	0	test/test.scn	0	0	1	-1	1	100	100	74	16	-1	1	5
75	3	突厥里海魔岛迷宫	0	migong_tujuelihaiemodao/migong_tujuelihaiemodao.scn	0	0	1	-1	1	100	100	75	16	-1	1	5
76	3	边塞·楼兰暗道	0	migong_andao/migong_andao.scn	0	0	1	-1	1	64	64	76	16	-1	1	5
