NUM	NUM	NUM	TEXT	NUM	NUM	TEXT	NUM	NUM	TEXT	NUM	NUM	TEXT	NUM	NUM	TEXT	NUM	NUM	TEXT	NUM	NUM	TEXT	NUM	NUM	TEXT	NUM	NUM	TEXT	NUM	NUM	TEXT		
掉落ID组	物品组1掉落率	物品组1最大掉落	物品组1掉落内容	物品组2掉落率	物品组2最大掉落	物品组2掉落内容	物品组3掉落率	物品组3最大掉落	物品组3掉落内容	物品组4掉落率	物品组4最大掉落	物品组4掉落内容	物品组5掉落率	物品组5最大掉落	物品组5掉落内容	物品组6掉落率	物品组6最大掉落	物品组6掉落内容	物品组7掉落率	物品组7最大掉落	物品组7掉落内容	物品组8掉落率	物品组8最大掉落	物品组8掉落内容	物品组9掉落率	物品组9最大掉落	物品组9掉落内容	物品组10掉落率	物品组10最大掉落	物品组10掉落内容		
#	野外怪通用掉落（1-160），每5级一个掉落ID		白装			蓝装			冗余材料			换钱道具			宝箱			红药+星尘						药水+图谱								
1	1000000	0	11960001	1000000	0	10010010|10020010|10030010|10040010|10050010|10060010|10200010|10230010|10250010|10260010|10270010|10350001|10360001|10370001|10380001|10390001|10400001	2000000	0	11020001|11020002|11030001	1500000	0	11960001	2000000	0	12090001	3000000	1	12010001	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1		
2	1000000	0	11960001	1000000	0	10010010|10020010|10030010|10040010|10050010|10060010|10200010|10230010|10250010|10260010|10270010|10350001|10360001|10370001|10380001|10390001|10400001	2000000	0	11020001|11020002|11030001	1500000	0	11960001	2000000	0	12090001	3000000	1	12010001	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1		
3	1000000	1	10011101|10021101|10031101|10041101|10051101|10061101|10201101|10231101|10251101|10261101|10271101|10351002|10361002|10371002|10381002|10391002|10401002	1000000	1	10010020|10020020|10030020|10040020|10050020|10060020|10070020|10080020|10090020|10100020|10110020|10120020|10200020|10230020|10250020|10260020|10270020|10350002|10360002|10370002|10380002|10390002|10400002|10410002|10420002|10430002|10440002|10450002|10460002	2000000	0	11020001|11020002|11030001	500000	0	11960002	2000000	0	12090002	3000000	1	12010001	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1		
4	1000000	1	10011101|10021101|10031101|10041101|10051101|10061101|10201101|10231101|10251101|10261101|10271101|10351002|10361002|10371002|10381002|10391002|10401002	1000000	1	10010020|10020020|10030020|10040020|10050020|10060020|10070020|10080020|10090020|10100020|10110020|10120020|10200020|10230020|10250020|10260020|10270020|10350002|10360002|10370002|10380002|10390002|10400002|10410002|10420002|10430002|10440002|10450002|10460002	2000000	0	11020001|11020002|11030001	500000	1	11960002	2000000	0	12090002	3000000	1	12010001	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1		
5	500000	1	10011102|10021102|10031102|10041102|10051102|10061102|10201102|10231102|10251102|10261102|10271102|10351003|10361003|10371003|10381003|10391003|10401003	500000	1	10010030|10020030|10030030|10040030|10050030|10060030|10070030|10080030|10090030|10100030|10110030|10120030|10200030|10230030|10250030|10260030|10270030|10280030|10290030|10350003|10360003|10370003|10380003|10390003|10400003|10410003|10420003|10430003|10440003|10450003|10460003	2000000	1	11020001|11020002	500000	1	11960003	1000000	0	12090003	100000	1	11000200	2000000	1	12010002	-1	-1	-1	-1	-1	-1	-1	-1	-1		
6	500000	1	10011102|10021102|10031102|10041102|10051102|10061102|10201102|10231102|10251102|10261102|10271102|10351003|10361003|10371003|10381003|10391003|10401003	500000	1	10010030|10020030|10030030|10040030|10050030|10060030|10070030|10080030|10090030|10100030|10110030|10120030|10200030|10230030|10250030|10260030|10270030|10280030|10290030|10350003|10360003|10370003|10380003|10390003|10400003|10410003|10420003|10430003|10440003|10450003|10460003	2000000	1	11020001|11020002	500000	1	11960003	1000000	0	12090003	100000	1	11000200	2000000	1	12010002	-1	-1	-1	-1	-1	-1	-1	-1	-1		
7	500000	1	10011103|10021103|10031103|10041103|10051103|10061103|10071103|10081103|10091103|10101103|10111103|10121103|10201103|10231103|10251103|10261103|10271103|10281103|10291103	400000	1	10010040|10020040|10030040|10040040|10050040|10060040|10070040|10080040|10090040|10100040|10110040|10120040|10200040|10230040|10250040|10260040|10270040|10280040|10290040	2000000	1	11020001|11020002|11030001	500000	1	11960004	500000	0	12090004	100000	1	11000200	1500000	1	12010002	500000	1	10351004|10361004|10371004|10381004|10391004|10401004|10411003|10421003|10431003|10441003|10451003|10461003	200000	1	10350004|10360004|10370004|10380004|10390004|10400004|10410004|10420004|10430004|10440004|10450004|10460004	-1	-1	-1		
8	500000	1	10011103|10021103|10031103|10041103|10051103|10061103|10071103|10081103|10091103|10101103|10111103|10121103|10201103|10231103|10251103|10261103|10271103|10281103|10291103	400000	1	10010040|10020040|10030040|10040040|10050040|10060040|10070040|10080040|10090040|10100040|10110040|10120040|10200040|10230040|10250040|10260040|10270040|10280040|10290040	2000000	1	11020001|11020002|11030001	500000	1	11960004	500000	0	12090004	100000	1	11000200	1500000	1	12010002	500000	1	10351004|10361004|10371004|10381004|10391004|10401004|10411003|10421003|10431003|10441003|10451003|10461003	200000	1	10350004|10360004|10370004|10380004|10390004|10400004|10410004|10420004|10430004|10440004|10450004|10460004	-1	-1	-1		
9	300000	1	10011104|10021104|10031104|10041104|10051104|10061104|10071104|10081104|10091104|10101104|10111104|10121104|10201104|10231104|10251104|10261104|10271104|10281104|10291104	300000	1	10010050|10020050|10030050|10040050|10050050|10060050|10070050|10080050|10090050|10100050|10110050|10120050|10200050|10230050|10250050|10260050|10270050|10280050|10290050	1800000	1	11020006|11020007|11030001	200000	1	11960005	300000	0	12090005	40000	1	11000201	500000	1	12010003	500000	1	10351005|10361005|10371005|10381005|10391005|10401005|10411004|10421004|10431004|10441004|10451004|10461004	200000	1	10350005|10360005|10370005|10380005|10390005|10400005|10410005|10420005|10430005|10440005|10450005|10460005	-1	-1	-1		
10	300000	1	10011104|10021104|10031104|10041104|10051104|10061104|10071104|10081104|10091104|10101104|10111104|10121104|10201104|10231104|10251104|10261104|10271104|10281104|10291104	300000	1	10010050|10020050|10030050|10040050|10050050|10060050|10070050|10080050|10090050|10100050|10110050|10120050|10200050|10230050|10250050|10260050|10270050|10280050|10290050	1800000	1	11020006|11020007|11030001	200000	1	11960005	300000	0	12090005	40000	1	11000201	500000	1	12010003	500000	1	10351005|10361005|10371005|10381005|10391005|10401005|10411004|10421004|10431004|10441004|10451004|10461004	200000	1	10350005|10360005|10370005|10380005|10390005|10400005|10410005|10420005|10430005|10440005|10450005|10460005	-1	-1	-1		
11	300000	1	10011105|10021105|10031105|10041105|10051105|10061105|10071105|10081105|10091105|10101105|10111105|10121105|10201105|10231105|10251105|10261105|10271105|10281105|10291105	100000	1	10010060|10020060|10030060|10040060|10050060|10060060|10070060|10080060|10090060|10100060|10110060|10120060|10200060|10230060|10250060|10260060|10270060|10280060|10290060	1620000	1	11020010|11020011|11030003	200000	1	11960006	100000	0	12090006	40000	1	11000201	500000	1	10351006|10361006|10371006|10381006|10391006|10401006|10411005|10421005|10431005|10441005|10451005|10461005	500000	1	10350006|10360006|10370006|10380006|10390006|10400006|10410006|10420006|10430006|10440006|10450006|10460006	-1	-1	-1	-1	-1	-1		
12	300000	1	10011105|10021105|10031105|10041105|10051105|10061105|10071105|10081105|10091105|10101105|10111105|10121105|10201105|10231105|10251105|10261105|10271105|10281105|10291105	100000	1	10010060|10020060|10030060|10040060|10050060|10060060|10070060|10080060|10090060|10100060|10110060|10120060|10200060|10230060|10250060|10260060|10270060|10280060|10290060	1620000	1	11020010|11020011|11030003	200000	1	11960006	100000	0	12090006	40000	1	11000201	500000	1	10351006|10361006|10371006|10381006|10391006|10401006|10411005|10421005|10431005|10441005|10451005|10461005	500000	1	10350006|10360006|10370006|10380006|10390006|10400006|10410006|10420006|10430006|10440006|10450006|10460006	-1	-1	-1	-1	-1	-1		
13	100000	1	10011106|10021106|10031106|10041106|10051106|10061106|10071106|10081106|10091106|10101106|10111106|10121106|10201106|10231106|10251106|10261106|10271106|10281106|10291106	50000	1	10010070|10020070|10030070|10040070|10050070|10060070|10070070|10080070|10090070|10100070|10110070|10120070|10200070|10230070|10250070|10260070|10270070|10280070|10290070	1458000	1	11020014|11020015|11030005	100000	1	11960007	50000	0	12090007	20000	1	11000202	50000	1	10351007|10361007|10371007|10381007|10391007|10401007|10411006|10421006|10431006|10441006|10451006|10461006	30000	1	10350007|10360007|10370007|10380007|10390007|10400007|10410007|10420007|10430007|10440007|10450007|10460007	-1	-1	-1	-1	-1	-1		
14	100000	1	10011106|10021106|10031106|10041106|10051106|10061106|10071106|10081106|10091106|10101106|10111106|10121106|10201106|10231106|10251106|10261106|10271106|10281106|10291106	50000	1	10010070|10020070|10030070|10040070|10050070|10060070|10070070|10080070|10090070|10100070|10110070|10120070|10200070|10230070|10250070|10260070|10270070|10280070|10290070	1458000	1	11020014|11020015|11030005	100000	1	11960007	50000	0	12090007	20000	1	11000202	50000	1	10351007|10361007|10371007|10381007|10391007|10401007|10411006|10421006|10431006|10441006|10451006|10461006	30000	1	10350007|10360007|10370007|10380007|10390007|10400007|10410007|10420007|10430007|10440007|10450007|10460007	-1	-1	-1	-1	-1	-1		
15	100000	1	10011107|10021107|10031107|10041107|10051107|10061107|10071107|10081107|10091107|10101107|10111107|10121107|10201107|10231107|10251107|10261107|10271107|10281107|10291107	50000	1	10010080|10020080|10030080|10040080|10050080|10060080|10070080|10080080|10090080|10100080|10110080|10120080|10200080|10230080|10250080|10260080|10270080|10280080|10290080	1312200	1	11020014|11020015|11030007	100000	1	11960008	50000	0	12090008	20000	1	11000202	50000	1	10351008|10361008|10371008|10381008|10391008|10401008|10411007|10421007|10431007|10441007|10451007|10461007	30000	1	10350008|10360008|10370008|10380008|10390008|10400008|10410008|10420008|10430008|10440008|10450008|10460008	-1	-1	-1	-1	-1	-1		
16	100000	1	10011107|10021107|10031107|10041107|10051107|10061107|10071107|10081107|10091107|10101107|10111107|10121107|10201107|10231107|10251107|10261107|10271107|10281107|10291107	50000	1	10010080|10020080|10030080|10040080|10050080|10060080|10070080|10080080|10090080|10100080|10110080|10120080|10200080|10230080|10250080|10260080|10270080|10280080|10290080	1312200	1	11020014|11020015|11030007	100000	1	11960008	50000	0	12090008	20000	1	11000202	50000	1	10351008|10361008|10371008|10381008|10391008|10401008|10411007|10421007|10431007|10441007|10451007|10461007	30000	1	10350008|10360008|10370008|10380008|10390008|10400008|10410008|10420008|10430008|10440008|10450008|10460008	-1	-1	-1	-1	-1	-1		
17	100000	1	10011108|10021108|10031108|10041108|10051108|10061108|10071108|10081108|10091108|10101108|10111108|10121108|10201108|10231108|10251108|10261108|10271108|10281108|10291108	50000	1	10010090|10020090|10030090|10040090|10050090|10060090|10070090|10080090|10090090|10100090|10110090|10120090|10200090|10230090|10250090|10260090|10270090|10280090|10290090	1180980	1	11020014|11020015|11030007	100000	1	11960008	50000	0	12090009	20000	1	11000203	50000	1	10351009|10361009|10371009|10381009|10391009|10401009|10411008|10421008|10431008|10441008|10451008|10461008	30000	1	10350009|10360009|10370009|10380009|10390009|10400009|10410009|10420009|10430009|10440009|10450009|10460009	-1	-1	-1	-1	-1	-1		
18	100000	1	10011108|10021108|10031108|10041108|10051108|10061108|10071108|10081108|10091108|10101108|10111108|10121108|10201108|10231108|10251108|10261108|10271108|10281108|10291108	50000	1	10010090|10020090|10030090|10040090|10050090|10060090|10070090|10080090|10090090|10100090|10110090|10120090|10200090|10230090|10250090|10260090|10270090|10280090|10290090	1180980	1	11020014|11020015|11030007	100000	1	11960008	50000	0	12090009	20000	1	11000203	50000	1	10351009|10361009|10371009|10381009|10391009|10401009|10411008|10421008|10431008|10441008|10451008|10461008	30000	1	10350009|10360009|10370009|10380009|10390009|10400009|10410009|10420009|10430009|10440009|10450009|10460009	-1	-1	-1	-1	-1	-1		
19	100000	1	10011109|10021109|10031109|10041109|10051109|10061109|10071109|10081109|10091109|10101109|10111109|10121109|10201109|10231109|10251109|10261109|10271109|10281109|10291109	50000	1	10010090|10020090|10030090|10040090|10050090|10060090|10070090|10080090|10090090|10100090|10110090|10120090|10200090|10230090|10250090|10260090|10270090|10280090|10290090	1062882	1	11020014|11020015|11030007	100000	1	11960008	50000	0	12090010	20000	1	11000203	50000	1	10351010|10361010|10371010|10381010|10391010|10401010|10411009|10421009|10431009|10441009|10451009|10461009	30000	1	10350009|10360009|10370009|10380009|10390009|10400009|10410009|10420009|10430009|10440009|10450009|10460009	-1	-1	-1	-1	-1	-1		
20	100000	1	10011109|10021109|10031109|10041109|10051109|10061109|10071109|10081109|10091109|10101109|10111109|10121109|10201109|10231109|10251109|10261109|10271109|10281109|10291109	50000	1	10010090|10020090|10030090|10040090|10050090|10060090|10070090|10080090|10090090|10100090|10110090|10120090|10200090|10230090|10250090|10260090|10270090|10280090|10290090	1062882	1	11020014|11020015|11030007	100000	1	11960008	50000	0	12090010	20000	1	11000203	50000	1	10351010|10361010|10371010|10381010|10391010|10401010|10411009|10421009|10431009|10441009|10451009|10461009	30000	1	10350009|10360009|10370009|10380009|10390009|10400009|10410009|10420009|10430009|10440009|10450009|10460009	-1	-1	-1	-1	-1	-1		
21	0	1	10011110|10021110|10031110|10041110|10051110|10061110|10071110|10081110|10091110|10101110|10111110|10121110|10201110|10231110|10251110|10261110|10271110|10281110|10291110	50000	1	10010090|10020090|10030090|10040090|10050090|10060090|10070090|10080090|10090090|10100090|10110090|10120090|10200090|10230090|10250090|10260090|10270090|10280090|10290090	1062882	1	11020014|11020015|11030007	50000	1	11960009	50000	0	12090010	10000	1	11000203	0	1	10351011|10361011|10371011|10381011|10391011|10401011|10411010|10421010|10431010|10441010|10451010|10461010	30000	1	10350009|10360009|10370009|10380009|10390009|10400009|10410009|10420009|10430009|10440009|10450009|10460009	-1	-1	-1	-1	-1	-1		
22	0	1	10011110|10021110|10031110|10041110|10051110|10061110|10071110|10081110|10091110|10101110|10111110|10121110|10201110|10231110|10251110|10261110|10271110|10281110|10291110	50000	1	10010090|10020090|10030090|10040090|10050090|10060090|10070090|10080090|10090090|10100090|10110090|10120090|10200090|10230090|10250090|10260090|10270090|10280090|10290090	1062882	1	11020014|11020015|11030007	50000	1	11960009	50000	0	12090010	10000	1	11000203	0	1	10351011|10361011|10371011|10381011|10391011|10401011|10411010|10421010|10431010|10441010|10451010|10461010	30000	1	10350009|10360009|10370009|10380009|10390009|10400009|10410009|10420009|10430009|10440009|10450009|10460009	-1	-1	-1	-1	-1	-1		
23	0	1	10011110|10021110|10031110|10041110|10051110|10061110|10071110|10081110|10091110|10101110|10111110|10121110|10201110|10231110|10251110|10261110|10271110|10281110|10291110	50000	1	10010090|10020090|10030090|10040090|10050090|10060090|10070090|10080090|10090090|10100090|10110090|10120090|10200090|10230090|10250090|10260090|10270090|10280090|10290090	1062882	1	11020014|11020015|11030007	50000	1	11960009	50000	0	12090010	10000	1	11000203	0	1	10351011|10361011|10371011|10381011|10391011|10401011|10411010|10421010|10431010|10441010|10451010|10461010	30000	1	10350009|10360009|10370009|10380009|10390009|10400009|10410009|10420009|10430009|10440009|10450009|10460009	-1	-1	-1	-1	-1	-1		
24	0	1	10011110|10021110|10031110|10041110|10051110|10061110|10071110|10081110|10091110|10101110|10111110|10121110|10201110|10231110|10251110|10261110|10271110|10281110|10291110	50000	1	10010090|10020090|10030090|10040090|10050090|10060090|10070090|10080090|10090090|10100090|10110090|10120090|10200090|10230090|10250090|10260090|10270090|10280090|10290090	1062882	1	11020014|11020015|11030007	50000	1	11960009	50000	0	12090010	10000	1	11000203	0	1	10351011|10361011|10371011|10381011|10391011|10401011|10411010|10421010|10431010|10441010|10451010|10461010	30000	1	10350009|10360009|10370009|10380009|10390009|10400009|10410009|10420009|10430009|10440009|10450009|10460009	-1	-1	-1	-1	-1	-1		
25	0	1	10011110|10021110|10031110|10041110|10051110|10061110|10071110|10081110|10091110|10101110|10111110|10121110|10201110|10231110|10251110|10261110|10271110|10281110|10291110	50000	1	10010090|10020090|10030090|10040090|10050090|10060090|10070090|10080090|10090090|10100090|10110090|10120090|10200090|10230090|10250090|10260090|10270090|10280090|10290090	1062882	1	11020014|11020015|11030007	50000	1	11960009	50000	0	12090010	10000	1	11000203	0	1	10351011|10361011|10371011|10381011|10391011|10401011|10411010|10421010|10431010|10441010|10451010|10461010	30000	1	10350009|10360009|10370009|10380009|10390009|10400009|10410009|10420009|10430009|10440009|10450009|10460009	-1	-1	-1	-1	-1	-1		
26	0	1	10011110|10021110|10031110|10041110|10051110|10061110|10071110|10081110|10091110|10101110|10111110|10121110|10201110|10231110|10251110|10261110|10271110|10281110|10291110	50000	1	10010090|10020090|10030090|10040090|10050090|10060090|10070090|10080090|10090090|10100090|10110090|10120090|10200090|10230090|10250090|10260090|10270090|10280090|10290090	1062882	1	11020014|11020015|11030007	50000	1	11960009	50000	0	12090010	10000	1	11000203	0	1	10351011|10361011|10371011|10381011|10391011|10401011|10411010|10421010|10431010|10441010|10451010|10461010	30000	1	10350009|10360009|10370009|10380009|10390009|10400009|10410009|10420009|10430009|10440009|10450009|10460009	-1	-1	-1	-1	-1	-1		
27	0	1	10011110|10021110|10031110|10041110|10051110|10061110|10071110|10081110|10091110|10101110|10111110|10121110|10201110|10231110|10251110|10261110|10271110|10281110|10291110	50000	1	10010090|10020090|10030090|10040090|10050090|10060090|10070090|10080090|10090090|10100090|10110090|10120090|10200090|10230090|10250090|10260090|10270090|10280090|10290090	1062882	1	11020014|11020015|11030007	50000	1	11960009	50000	0	12090010	10000	1	11000203	0	1	10351011|10361011|10371011|10381011|10391011|10401011|10411010|10421010|10431010|10441010|10451010|10461010	30000	1	10350009|10360009|10370009|10380009|10390009|10400009|10410009|10420009|10430009|10440009|10450009|10460009	-1	-1	-1	-1	-1	-1		
28	0	1	10011110|10021110|10031110|10041110|10051110|10061110|10071110|10081110|10091110|10101110|10111110|10121110|10201110|10231110|10251110|10261110|10271110|10281110|10291110	50000	1	10010090|10020090|10030090|10040090|10050090|10060090|10070090|10080090|10090090|10100090|10110090|10120090|10200090|10230090|10250090|10260090|10270090|10280090|10290090	1062882	1	11020014|11020015|11030007	50000	1	11960009	50000	0	12090010	10000	1	11000203	0	1	10351011|10361011|10371011|10381011|10391011|10401011|10411010|10421010|10431010|10441010|10451010|10461010	30000	1	10350009|10360009|10370009|10380009|10390009|10400009|10410009|10420009|10430009|10440009|10450009|10460009	-1	-1	-1	-1	-1	-1		
29	0	1	10011110|10021110|10031110|10041110|10051110|10061110|10071110|10081110|10091110|10101110|10111110|10121110|10201110|10231110|10251110|10261110|10271110|10281110|10291110	50000	1	10010090|10020090|10030090|10040090|10050090|10060090|10070090|10080090|10090090|10100090|10110090|10120090|10200090|10230090|10250090|10260090|10270090|10280090|10290090	1062882	1	11020014|11020015|11030007	50000	1	11960010	50000	0	12090010	10000	1	11000203	0	1	10351011|10361011|10371011|10381011|10391011|10401011|10411010|10421010|10431010|10441010|10451010|10461010	30000	1	10350009|10360009|10370009|10380009|10390009|10400009|10410009|10420009|10430009|10440009|10450009|10460009	-1	-1	-1	-1	-1	-1		
30	0	1	10011110|10021110|10031110|10041110|10051110|10061110|10071110|10081110|10091110|10101110|10111110|10121110|10201110|10231110|10251110|10261110|10271110|10281110|10291110	50000	1	10010090|10020090|10030090|10040090|10050090|10060090|10070090|10080090|10090090|10100090|10110090|10120090|10200090|10230090|10250090|10260090|10270090|10280090|10290090	1062882	1	11020014|11020015|11030007	50000	1	11960010	50000	0	12090010	10000	1	11000203	0	1	10351011|10361011|10371011|10381011|10391011|10401011|10411010|10421010|10431010|10441010|10451010|10461010	30000	1	10350009|10360009|10370009|10380009|10390009|10400009|10410009|10420009|10430009|10440009|10450009|10460009	-1	-1	-1	-1	-1	-1		
31	0	1	10011110|10021110|10031110|10041110|10051110|10061110|10071110|10081110|10091110|10101110|10111110|10121110|10201110|10231110|10251110|10261110|10271110|10281110|10291110	50000	1	10010090|10020090|10030090|10040090|10050090|10060090|10070090|10080090|10090090|10100090|10110090|10120090|10200090|10230090|10250090|10260090|10270090|10280090|10290090	1062882	1	11020014|11020015|11030007	50000	1	11960010	50000	0	12090010	10000	1	11000203	0	1	10351011|10361011|10371011|10381011|10391011|10401011|10411010|10421010|10431010|10441010|10451010|10461010	30000	1	10350009|10360009|10370009|10380009|10390009|10400009|10410009|10420009|10430009|10440009|10450009|10460009	-1	-1	-1	-1	-1	-1		
32	0	1	10011110|10021110|10031110|10041110|10051110|10061110|10071110|10081110|10091110|10101110|10111110|10121110|10201110|10231110|10251110|10261110|10271110|10281110|10291110	50000	1	10010090|10020090|10030090|10040090|10050090|10060090|10070090|10080090|10090090|10100090|10110090|10120090|10200090|10230090|10250090|10260090|10270090|10280090|10290090	1062882	1	11020014|11020015|11030007	50000	1	11960010	50000	0	12090010	10000	1	11000203	0	1	10351011|10361011|10371011|10381011|10391011|10401011|10411010|10421010|10431010|10441010|10451010|10461010	30000	1	10350009|10360009|10370009|10380009|10390009|10400009|10410009|10420009|10430009|10440009|10450009|10460009	-1	-1	-1	-1	-1	-1		
#	副本怪通用掉落（51-160），每5级一个掉落ID																															
51	1000000	0	11960001	1000000	1	10010010|10020010|10030010|10040010|10050010|10060010|10200010|10230010|10250010|10260010|10270010	2000000	0	11020001|11020002|11030001	4500000	0	11960001	6000000	0	12090001	9000000	1	12010001	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1		
52	1000000	0	11960001	1000000	1	10010010|10020010|10030010|10040010|10050010|10060010|10200010|10230010|10250010|10260010|10270010	2000000	0	11020001|11020002|11030001	4500000	0	11960001	6000000	0	12090001	9000000	1	12010001	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1		
53	1000000	1	10011101|10021101|10031101|10041101|10051101|10061101|10201101|10231101|10251101|10261101|10271101|10351002|10361002|10371002|10381002|10391002|10401002	1000000	1	10010020|10020020|10030020|10040020|10050020|10060020|10070020|10080020|10090020|10100020|10110020|10120020|10200020|10230020|10250020|10260020|10270020	2000000	0	11020001|11020002|11030001	1500000	0	11960002	6000000	0	12090002	9000000	1	12010001	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1		
54	1000000	1	10011101|10021101|10031101|10041101|10051101|10061101|10201101|10231101|10251101|10261101|10271101|10351002|10361002|10371002|10381002|10391002|10401002	1000000	1	10010020|10020020|10030020|10040020|10050020|10060020|10070020|10080020|10090020|10100020|10110020|10120020|10200020|10230020|10250020|10260020|10270020	2000000	0	11020001|11020002|11030001	1500000	1	11960002	6000000	0	12090002	9000000	1	12010001	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1		
55	0	1	10011102|10021102|10031102|10041102|10051102|10061102|10201102|10231102|10251102|10261102|10271102|10351003|10361003|10371003|10381003|10391003|10401003	0	1	10010030|10020030|10030030|10040030|10050030|10060030|10070030|10080030|10090030|10100030|10110030|10120030|10200030|10230030|10250030|10260030|10270030|10280030|10290030	0	0	11020001|11020002	0	1	11960003	0	0	12090003	0	1	11000200	0	1	12010002	-1	-1	-1	-1	-1	-1	-1	-1	-1		
56	0	1	10011102|10021102|10031102|10041102|10051102|10061102|10201102|10231102|10251102|10261102|10271102|10351003|10361003|10371003|10381003|10391003|10401003	0	1	10010030|10020030|10030030|10040030|10050030|10060030|10070030|10080030|10090030|10100030|10110030|10120030|10200030|10230030|10250030|10260030|10270030|10280030|10290030	0	1	11020001|11020002	0	1	11960003	0	0	12090003	0	1	11000200	0	1	12010002	-1	-1	-1	-1	-1	-1	-1	-1	-1		
57	0	1	10011103|10021103|10031103|10041103|10051103|10061103|10071103|10081103|10091103|10101103|10111103|10121103|10201103|10231103|10251103|10261103|10271103|10281103|10291103	0	1	10010040|10020040|10030040|10040040|10050040|10060040|10070040|10080040|10090040|10100040|10110040|10120040|10200040|10230040|10250040|10260040|10270040|10280040|10290040	0	1	11020001|11020002|11030001	0	1	11960004	0	0	12090004	0	1	11000200	0	1	12010002	0	1	10351004|10361004|10371004|10381004|10391004|10401004|10411003|10421003|10431003|10441003|10451003|10461003	0	1	10350004|10360004|10370004|10380004|10390004|10400004|10410004|10420004|10430004|10440004|10450004|10460004	-1	-1	-1		
58	0	1	10011103|10021103|10031103|10041103|10051103|10061103|10071103|10081103|10091103|10101103|10111103|10121103|10201103|10231103|10251103|10261103|10271103|10281103|10291103	0	1	10010040|10020040|10030040|10040040|10050040|10060040|10070040|10080040|10090040|10100040|10110040|10120040|10200040|10230040|10250040|10260040|10270040|10280040|10290040	0	1	11020001|11020002|11030001	0	1	11960004	0	0	12090004	0	1	11000200	0	1	12010002	0	1	10351004|10361004|10371004|10381004|10391004|10401004|10411003|10421003|10431003|10441003|10451003|10461003	0	1	10350004|10360004|10370004|10380004|10390004|10400004|10410004|10420004|10430004|10440004|10450004|10460004	-1	-1	-1		
59	0	1	10011104|10021104|10031104|10041104|10051104|10061104|10071104|10081104|10091104|10101104|10111104|10121104|10201104|10231104|10251104|10261104|10271104|10281104|10291104	0	1	10010050|10020050|10030050|10040050|10050050|10060050|10070050|10080050|10090050|10100050|10110050|10120050|10200050|10230050|10250050|10260050|10270050|10280050|10290050	0	1	11020006|11020007|11030001	0	1	11960005	0	0	12090005	0	1	11000201	0	1	12010003	0	1	10351005|10361005|10371005|10381005|10391005|10401005|10411004|10421004|10431004|10441004|10451004|10461004	0	1	10350005|10360005|10370005|10380005|10390005|10400005|10410005|10420005|10430005|10440005|10450005|10460005	-1	-1	-1		
60	0	1	10011104|10021104|10031104|10041104|10051104|10061104|10071104|10081104|10091104|10101104|10111104|10121104|10201104|10231104|10251104|10261104|10271104|10281104|10291104	0	1	10010050|10020050|10030050|10040050|10050050|10060050|10070050|10080050|10090050|10100050|10110050|10120050|10200050|10230050|10250050|10260050|10270050|10280050|10290050	0	1	11020006|11020007|11030001	0	1	11960005	0	0	12090005	0	1	11000201	0	1	12010003	0	1	10351005|10361005|10371005|10381005|10391005|10401005|10411004|10421004|10431004|10441004|10451004|10461004	0	1	10350005|10360005|10370005|10380005|10390005|10400005|10410005|10420005|10430005|10440005|10450005|10460005	-1	-1	-1		
