NUM	NUM	NUM	NUM	NUM	TEXT	TEXT	FLOAT	FLOAT	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM
Ë÷Òý£¨index£©	guid	type	obj_id	camp_id	name	title	pos_x	pos_z	dir	script_id	respawn_time	group_id	team_id	base_ai	ai_file	patrol_id	shop0	shop1	shop2	shop3	ReputationID	level	sceneid	groupid£¬·¶Î§0-63
0	1	18204	-1	21		Ä§¾ý»¤·¨	102	129	0	0	3600000	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	3	0
1	2	18101	-1	21		Ä§¾ýà¶ÂÞ	30	104	0	-1	18000000	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	5	0
2	3	18103	-1	21		Ä§¾ýà¶ÂÞ	206	211	0	-1	18000000	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	7	0
3	4	18105	-1	21		Ä§¾ýà¶ÂÞ	45	63	0	-1	18000000	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	9	0
4	5	18106	-1	21		Ä§¾ýà¶ÂÞ	43	202	0	-1	18000000	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	13	0
5	6	18107	-1	21	 	Ä§¾ýà¶ÂÞ	198	92	0	-1	18000000	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	18	0
6	7	18108	-1	21		Ä§¾ýà¶ÂÞ	228	130	0	-1	18000000	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	21	0
7	8	18109	-1	21		Ä§¾ýà¶ÂÞ	40	36	0	-1	18000000	-1	-1	-1	-1	10	-1	-1	-1	-1	-1	-1	24	0
8	9	18104	-1	21		Ä§¾ýà¶ÂÞ	105	199	0	-1	18000000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	51	0
9	10	18100	-1	21		Ä§¾ýà¶ÂÞ	241	310	0	-1	18000000	-1	-1	-1	-1	11	-1	-1	-1	-1	-1	-1	50	0
10	11	18300	-1	21		Ò¹Ä»Ö®Íõ	326	221	0	0	3600000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	51	1
11	12	18204	-1	21		Ä§¾ý»¤·¨	416	86	0	0	3600000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	51	2
12	13	18102	-1	21		Ä§¾ýà¶ÂÞ	351	409	0	-1	18000000	-1	-1	-1	-1	10	-1	-1	-1	-1	-1	-1	50	1
13	14	18000	-1	21			129	92	0	0	10800000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	98	0
14	15	18003	-1	21			155	143	0	0	10800000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	99	0
15	16	18006	-1	21			136	138	0	0	10800000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	100	0
16	17	18009	-1	21			122	124	0	0	10800000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	101	0
17	18	18012	-1	21			136	113	0	0	10800000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	102	0
18	19	18015	-1	21			118	123	0	0	10800000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	103	0
19	20	18001	-1	21			71	163	0	-1	10800000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	104	0
20	21	18002	-1	21			71	163	0	-1	10800000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	104	0
21	22	18001	-1	21			205	139	0	-1	10800000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	104	0
22	23	18002	-1	21			205	139	0	-1	10800000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	104	0
23	24	18004	-1	21			149	162	0	-1	10800000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	105	0
24	25	18005	-1	21			149	162	0	-1	10800000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	105	0
25	26	18004	-1	21			40	161	0	-1	10800000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	105	0
26	27	18005	-1	21			40	161	0	-1	10800000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	105	0
27	28	18007	-1	21			143	157	0	-1	10800000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	106	0
28	29	18008	-1	21			143	157	0	-1	10800000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	106	0
29	30	18007	-1	21			63	95	0	-1	10800000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	106	0
30	31	18008	-1	21			63	95	0	-1	10800000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	106	0
31	32	18010	-1	21			197	156	0	-1	10800000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	107	0
32	33	18011	-1	21			197	156	0	-1	10800000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	107	0
33	34	18010	-1	21			61	97	0	-1	10800000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	107	0
34	35	18011	-1	21			61	97	0	-1	10800000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	107	0
35	36	18013	-1	21			147	132	0	-1	10800000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	108	0
36	37	18014	-1	21			147	132	0	-1	10800000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	108	0
37	38	18013	-1	21			175	90	0	-1	10800000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	108	0
38	39	18014	-1	21			175	90	0	-1	10800000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	108	0
39	40	18016	-1	21			168	150	0	-1	10800000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	109	0
40	41	18017	-1	21			168	150	0	-1	10800000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	109	0
41	42	18016	-1	21			50	54	0	-1	10800000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	109	0
42	43	18017	-1	21			50	54	0	-1	10800000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	109	0
43	44	18018	-1	21			111	54	0	-1	10800000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	110	0
44	45	18019	-1	21			111	54	0	-1	10800000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	110	0
45	46	18018	-1	21			78	204	0	-1	10800000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	110	0
46	47	18019	-1	21			78	204	0	-1	10800000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	110	0
47	48	18020	-1	21			149	162	0	-1	10800000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	111	0
48	49	18021	-1	21			149	162	0	-1	10800000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	111	0
49	50	18020	-1	21			89	68	0	-1	10800000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	111	0
50	51	18021	-1	21			89	68	0	-1	10800000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	111	0
51	52	18104	-1	21		Ä§¾ýà¶ÂÞ	105	199	0	-1	18000000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	151	0
52	53	18100	-1	21		Ä§¾ýà¶ÂÞ	241	310	0	-1	18000000	-1	-1	-1	-1	11	-1	-1	-1	-1	-1	-1	150	0
53	54	18301	-1	21		Ò¹Ä»Ö®Íõ	326	221	0	0	3600000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	151	1
54	55	18204	-1	21		Ä§¾ý»¤·¨	416	86	0	0	3600000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	151	2
55	56	18102	-1	21		Ä§¾ýà¶ÂÞ	351	409	0	-1	18000000	-1	-1	-1	-1	10	-1	-1	-1	-1	-1	-1	150	1
56	57	18000	-1	21			129	92	0	0	10800000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	198	0
57	58	18003	-1	21			155	143	0	0	10800000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	199	0
58	59	18006	-1	21			136	138	0	0	10800000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	200	0
59	60	18009	-1	21			122	124	0	0	10800000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	201	0
60	61	18012	-1	21			136	113	0	0	10800000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	202	0
61	62	18015	-1	21			118	123	0	0	10800000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	203	0
