NUM	NUM	NUM	NUM	NUM	TEXT	TEXT	FLOAT	FLOAT	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM
编号	随机编号	attr编号	逻辑表编号	阵营编号	名称	称号	x轴坐标	z轴坐标	朝向	脚本编号	重生时间	分组编号	队伍编号	基础AI	AI文件	巡逻路径	商店0	商店1	商店2	商店3	名誉ID	等级	镜像组
0	1	4497	101127	20	崇天门	大都传送人	255.028854	160.864517	27	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	100	0
1	2	4402	101108	20	大都	大都传送人	255	224	27	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	100	0
2	3	1083	139051	-1	金湘	装备镶嵌大师	232.448059	207.820984	9	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	80	0
3	4	1089	139052	-1	李定邦	装备铭刻大师	241.0242	207.739029	9	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	80	0
4	5	1087	139054	-1	傅克龙	装备保值大师	205.747528	206.437378	9	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	80	0
5	6	4225	139057	-1	武元	武器店	225.092957	252.244736	18	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	80	0
6	7	1310	139058	-1	房举	防具店	222.238647	249.606415	27	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	80	0
7	8	4271	139059	-1	徐长卿	药品商人	230.672974	256.62146	27	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	80	0
8	9	1086	139060	-1	盛名	声望商店	123.883057	223.437485	29	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	80	0
9	10	4217	139062	-1	乘骏	骑乘技能大师	337.274567	215.983246	18	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	80	0
10	11	4211	139063	-1	马安	骑乘道具商人	332.010132	222.454147	9	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	80	0
11	12	1255	139095	-1	马元	马币商店	121.101814	236.653259	9	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	80	0
