NUM	NUM	NUM	NUM	NUM	TEXT	TEXT	FLOAT	FLOAT	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM
编号	随机编号	attr编号	逻辑表编号	阵营编号	名称	称号	x轴坐标	z轴坐标	朝向	脚本编号	重生时间	分组编号	队伍编号	基础AI	AI文件	巡逻路径	商店0	商店1	商店2	商店3	名誉ID	等级	镜像组
0	15052370	2604	101116	-1	大都·东	大都传送人	128.5	123	27	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	100	0	
1	2262043	1178	-1	21	东瀛刺客		172.651001	160.214005	18	-1	1000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	40	0	
2	2262043	1178	-1	21	东瀛刺客		175.569061	165.866486	18	-1	1000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	40	0	
3	2262043	1178	-1	21	东瀛刺客		177.365417	161.747894	18	-1	1000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	40	0	
4	15942123	26743	140021	20	盐帮弟子		194.623322	202.787735	0	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	40	0	
5	15942124	35064	140021	20	盐帮弟子		176.384995	202.221985	0	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	40	0	
6	15942125	26743	140022	20	盐帮弟子		135.621765	190.552536	9	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	40	0	
7	15942126	26743	140023	20	盐帮弟子		194.134827	209.105957	0	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	40	0	
8	15942127	26743	140024	20	盐帮弟子		176.287811	209.078079	0	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	40	0	
9	15942128	391	140014	20	张士相	盐帮	161.005371	225.067291	14	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	40	0	
10	15942132	26743	140023	20	盐帮弟子		98.199585	198.011581	27	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	40	0	
11	15942133	26743	140024	20	盐帮弟子		125.107513	227.261475	9	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	40	0	
12	15942134	391	140016	20	方国璋	盐帮	157.412659	235.46582	9	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	40	0	
13	15942135	391	140015	20	张士德	盐帮	161.002747	221.243591	22	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	40	0	
14	15942136	31	140013	20	空明和尚	盐帮	115.762283	198.118164	32	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	40	0	
15	15942139	216	140012	20	红云道长	盐帮	115.540924	201.476837	4	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	40	0	
16	15942140	26743	140018	20	盐帮弟子		130.891647	227.192352	9	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	40	0	
17	15942143	26743	140021	20	盐帮弟子		101.449799	249.57312	9	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	40	0	
18	15942144	26743	140022	20	盐帮弟子		98.537338	249.324066	9	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	40	0	
19	15942145	26743	140023	20	盐帮弟子		94.891838	198.036484	27	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	40	0	
20	15942149	26743	140026	20	盐帮弟子		134.673843	177.44603	1	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	40	0	
21	15942150	26743	140027	20	盐帮弟子		141.607681	190.521957	9	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	40	0	
22	15942151	26743	140028	20	盐帮弟子		140.119217	177.642578	17	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	40	0	
23	15942153	18	140005	20	蔡乱头	北海舵主	131.463898	242.974915	16	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	40	0	
24	15942155	7	101621	20	沈万千		129.482361	245.006378	12	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	40	0	
25	15942157	27	140008	20	方国珍	江西舵主	123.485184	242.883698	4	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	40	0	
26	15942158	75	140007	20	张士诚	江东舵主	125.837067	244.903198	4	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	40	0	
27	15942160	391	140017	20	方国瑛	盐帮	131.013931	223.964142	9	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	40	0	
28	15942166	6	140009	20	蒲延寿	江南首富	143.897339	186.192429	16	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	40	0	
