NUM	NUM	NUM	NUM	NUM	TEXT	TEXT	FLOAT	FLOAT	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM
编号	随机编号	attr编号	逻辑表编号	阵营编号	名称	称号	x轴坐标	z轴坐标	朝向	脚本编号	重生时间	分组编号	队伍编号	基础AI	AI文件	巡逻路径	商店0	商店1	商店2	商店3	名誉ID	等级	镜像组
0	7860458	487	300008	20	女郎	领舞	19.918377	7.492947	27	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	10	0	
1	7860624	9550	300000	20	酒保	‘美高美’美丽会商店	38.465302	37.374393	25	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	10	0	
2	7860641	9550	300001	20	酒保	‘美高美’美丽会商店	38.742908	34.586647	21	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	10	0	
3	7860659	9550	300002	20	酒保	‘美高美’美丽会商店	40.593712	58.424461	9	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	10	0	
4	7860664	9550	300003	20	酒保	‘美高美’美丽会商店	43.157394	58.527599	9	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	10	0	
5	7860692	9709	300011	20	小筝	‘美高美’美丽会侍女	51.227901	49.437817	27	-1	1000	-1	-1	2	0	-1	-1	-1	-1	-1	-1	10	0	
6	7860704	9709	300011	20	小兔	‘美高美’美丽会侍女	33.505249	47.69495	27	-1	1000	-1	-1	2	0	-1	-1	-1	-1	-1	-1	10	0	
7	7860711	9709	300011	20	小美	‘美高美’美丽会侍女	21.135601	42.289993	27	-1	1000	-1	-1	2	0	-1	-1	-1	-1	-1	-1	10	0	
8	7860719	9709	300011	20	小纯	‘美高美’美丽会侍女	23.736412	20.291264	27	-1	1000	-1	-1	2	0	-1	-1	-1	-1	-1	-1	10	0	
9	7860722	9709	300011	20	小娜	‘美高美’美丽会侍女	34.159161	19.852282	27	-1	1000	-1	-1	2	0	-1	-1	-1	-1	-1	-1	10	0	
10	7860786	9706	300010	20			42.804123	12.774213	22	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	10	0	
11	7860792	9705	300010	20			40.45269	12.491425	27	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	10	0	
12	7860799	9705	300010	20			43.604694	14.94179	22	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	10	0	
13	7934988	490	300051	20	女郎	领舞	15.208521	11.751953	27	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	10	0	
14	7935005	490	300051	20	女郎	领舞	15.356825	10.297739	27	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	10	0	
15	7935014	490	300051	20	女郎	领舞	11.543196	17.309685	32	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	10	0	
16	7935019	490	300051	20	女郎	领舞	13.288505	17.234879	32	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	10	0	
17	7935023	490	300051	20	女郎	领舞	14.847446	19.102186	32	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	10	0	
18	7935081	489	300051	20	女郎	领舞	15.469044	31.598211	0	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	10	0	
19	7935100	489	300051	20	女郎	领舞	15.463975	30.239799	0	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	10	0	
