NUM	NUM	NUM	NUM	NUM	TEXT	TEXT	FLOAT	FLOAT	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM
编号	随机编号	attr编号	逻辑表编号	阵营编号	名称	称号	x轴坐标	z轴坐标	朝向	脚本编号	重生时间	分组编号	队伍编号	基础AI	AI文件	巡逻路径	商店0	商店1	商店2	商店3	名誉ID	等级	镜像组
0	15052370	2604	101118	-1	大都·西	大都传送人	157	135	31	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	100	0	
1	2262043	1179	-1	21	高丽细作		156.715668	87.949188	18	-1	1000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	40	0	
2	2262043	1179	-1	21	高丽细作		151.564728	86.081154	18	-1	1000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	40	0	
3	2262043	1179	-1	21	高丽细作		151.874451	92.580215	18	-1	1000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	40	0	
4	2262043	1180	-1	21	爪哇奸细		97.167679	184.636841	18	-1	1000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	40	0	
5	2262043	1180	-1	21	爪哇奸细		99.164734	181.899506	18	-1	1000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	40	0	
6	2262043	1180	-1	21	爪哇奸细		96.415512	180.537933	18	-1	1000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	40	0	
7	14460850	1925	101622	-1	冷笑		77.639343	71.2742	0	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	80	0	
8	5294128	419	101610	-1	殷小陆		42.957474	79.087639	18	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	80	0	
9	5294131	1934	101611	-1	韦大业		184.824966	68.989914	18	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	80	0	
10	5294122	1943	101612	-1	谢顶		118.137672	108.338226	20	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	80	0	
11	5266464	1610	139809	-1	明教弟子		151.999817	68.452843	35	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	80	0	
12	5266469	1610	139810	-1	明教弟子		151.700562	60.263184	35	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	80	0	
13	5267763	1610	139813	-1	明教弟子		103.08522	121.387192	27	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	80	0	
14	5267765	1610	139814	-1	明教弟子		96.881226	121.733444	27	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	80	0	
15	5267794	1610	139815	-1	明教弟子		49.373123	110.892532	19	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	80	0	
16	5267797	1610	139816	-1	明教弟子		49.330002	104.352112	17	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	80	0	
17	5276484	1610	139825	-1	明教弟子		75.916985	73.682068	0	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	80	0	
18	5276490	1610	139826	-1	明教弟子		75.771286	68.76165	0	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	80	0	
19	5276432	393	101613	-1	朱明五	明教教众	95.103958	77.094826	7	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	80	0	
20	5276451	13	101614	-1	小沙弥	明教教众	94.877228	66.493591	26	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	80	0	
21	5295467	393	101615	-1	刘大头	明教教众	92.777458	102.128677	27	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	80	0	
22	15941831	4308	140596	-1	大都御卫		190.527313	142.312164	27	-1	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	60	0	
23	15941833	4308	140597	-1	大都御卫		182.36145	153.296463	9	-1	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	60	0	
24	15941834	4308	140598	-1	大都御卫		190.504196	153.568588	9	-1	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	60	0	
25	15941835	4308	140599	-1	大都御卫		182.506668	142.626297	27	-1	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	60	0	
26	15941836	4308	140595	-1	大都御卫		169.356949	142.83638	27	-1	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	60	0	
27	15941837	4308	140596	-1	大都御卫		169.463608	153.31105	9	-1	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	60	0	
28	15941838	4308	140598	-1	大都御卫		166.431488	140.036194	18	-1	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	60	0	
29	15941839	4308	140599	-1	大都御卫		166.226685	155.789383	18	-1	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	60	0	
30	1462447	77	140963	-1	贝索科夫	金帐汗国副使	184.93219	105.114044	27	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	80	0	
31	1462661	78	140964	-1	索耶诺夫斯基	金帐汗国使臣	210.895355	112.652634	0	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	80	0	
32	1801273	1115	140975	-1	范同兴	安南国使臣侍从	225.671844	104.701462	27	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	80	0	
33	1802354	1644	140976	-1	孛罗	右丞相	214.53418	110.312592	27	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	80	0	
34	1802435	1643	140950	-1	李谌	高丽王世子	217.786804	116.324677	18	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	80	0	
35	1803443	46	140977	-1	乌格烈	相府管家	230.090515	129.1073	17	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	80	0	
36	1804058	55	140951	-1	梅尔内伊	伊尔汗国使臣	217.697571	113.072586	18	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	80	0	
37	1804128	56	140952	-1	内尔德	伊尔汗国副使	183.340729	185.082962	9	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	80	0	
38	1804150	8	140953	-1	崔志成	高丽国礼曹判书	223.156555	191.696335	18	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	80	0	
39	11586534	44	140530	-1	罗亚尔	传教士	39.843399	177.393997	3	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	60	0	
40	14472298	19	101616	-1	崔老太		133.641602	204.63028	18	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	80	0	
41	14472375	29	101617	-1	崔圆圆		68.886642	228.826996	17	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	80	0	
42	14472448	90	101618	-1	红媚儿		69.242607	227.611359	21	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	80	0	
43	14472477	15	101619	-1	张小生		66.143593	228.752808	2	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	80	0	
44	5285188	30	140406	-1	叶袭		134.60881	205.539688	18	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	80	0	
45	5285387	446	101620	-1	叶公		135.966232	226.392761	9	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	80	0	
46	5295349	24	139831	-1	周若女		113.67627	56.916412	31	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	80	0	
47	1460076	54	140954	-1	恰那多吉	吐蕃白兰王	211.053986	115.651367	0	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	80	0	
48	1460128	57	140955	-1	谱赞多吉	白兰王侍臣	226.178528	165.39328	17	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	80	0	
49	1460583	1302	140956	-1	黎孟	安南国使臣	211.241257	119.215637	0	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	80	0	
50	1460629	1305	140957	-1	登钦	缅甸国使臣	217.879028	119.41362	18	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	80	0	
