NUM	NUM	NUM	NUM	NUM	TEXT	TEXT	FLOAT	FLOAT	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM
编号	随机编号	attr编号	逻辑表编号	阵营编号	名称	称号	x轴坐标	z轴坐标	朝向	脚本编号	重生时间	分组编号	队伍编号	基础AI	AI文件	巡逻路径	商店0	商店1	商店2	商店3	名誉ID	等级	镜像组
0	5891422	1045	139264	-1	忽必烈	大元皇帝	64.001137	21.65	27	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	80	0	
1	14461199	1432	140929	-1	近侍		59.825886	25.793543	27	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	80	0	
2	14461208	1432	140929	-1	近侍		68.660378	26.020197	27	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	80	0	
3	14461507	4308	140930	-1	皇宫御林军		38.531029	65.660202	0	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	80	0	
4	14461489	4308	140930	-1	皇宫御林军		38.646053	79.125504	0	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	80	0	
5	14461405	4308	140930	-1	皇宫御林军		38.635597	109.017975	0	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	80	0	
6	14461387	4308	140930	-1	皇宫御林军		89.263344	95.104454	18	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	80	0	
7	14461397	4308	140930	-1	皇宫御林军		89.307816	65.297974	18	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	80	0	
8	14461397	4308	140930	-1	皇宫御林军		89.312134	79.144569	18	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	80	0	
9	14461397	4308	140930	-1	皇宫御林军		72.222549	116.923767	9	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	80	0	
10	14461507	4308	140930	-1	皇宫御林军		55.849628	116.912102	9	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	80	0	
11	14461405	1645	140974	-1	内侍		43.961224	42.238724	27	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	80	0	
12	14461397	1645	140974	-1	内侍		83.181458	42.281628	27	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	80	0	
13	14461405	1645	140974	-1	内侍		34.141396	38.507328	27	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	80	0	
