NUM	NUM	NUM	NUM	NUM	TEXT	TEXT	FLOAT	FLOAT	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM
编号	随机编号	attr编号	逻辑表编号	阵营编号	名称	称号	x轴坐标	z轴坐标	朝向	脚本编号	重生时间	分组编号	队伍编号	基础AI	AI文件	巡逻路径	商店0	商店1	商店2	商店3	名誉ID	等级	镜像组
0	15052370	4303	171772	20	步察干	神秘商人	345	219	22	-1	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	110	0	
1	15052371	9881	-1	21	冥·胡沙虎	冥王杀将	320.059631	212.221542	12	-1	14400000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	110	0	
2	15052372	9903	-1	21	冥·北条时宗	冥王杀将	369.860718	263.469421	0	-1	14400000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	110	0	
3	15052373	9882	-1	21	冥王先锋		117	150	0	-1	14400000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	90	0	
4	15052374	9882	-1	21	冥王先锋		193.431152	265.761719	0	-1	14400000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	90	0	
5	15052375	9882	-1	21	冥王先锋		428.278015	80.117424	0	-1	14400000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	90	0	
6	15052376	9882	-1	21	冥王先锋		436.347504	338.391449	0	-1	14400000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	90	0	
7	15052377	9882	-1	21	冥王先锋		350.621582	448.652649	0	-1	14400000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	90	0	
8	15052378	9883	-1	21	冥王部将		63	184	0	-1	14400000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	70	0	
9	15052379	9883	-1	21	冥王部将		72.639923	229.559982	0	-1	14400000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	70	0	
10	15052380	9883	-1	21	冥王部将		230.63092	63.8517	0	-1	14400000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	70	0	
11	15052381	9883	-1	21	冥王部将		244	39	0	-1	14400000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	70	0	
12	15052382	9883	-1	21	冥王部将		351.945709	111.447922	0	-1	14400000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	70	0	
13	15052383	9883	-1	21	冥王部将		216	179	0	-1	14400000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	70	0	
14	15052384	9883	-1	21	冥王部将		195.816223	347.287231	0	-1	14400000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	70	0	
15	15052385	9883	-1	21	冥王部将		369.975891	348.840576	0	-1	14400000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	70	0	
16	15052386	9883	-1	21	冥王部将		464.041931	471.655457	0	-1	14400000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	70	0	
17	15052387	9883	-1	21	冥王部将		460	169	0	-1	14400000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	70	0	
18	14888866	9720	142600	16	张散	楼兰探马	242	393	13	-1	180000	-1	-1	2	0	-1	-1	-1	-1	-1	-1	60	0	
