NUM	NUM	NUM	NUM	NUM	TEXT	TEXT	FLOAT	FLOAT	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM
编号	随机编号	attr编号	逻辑表编号	阵营编号	名称	称号	x轴坐标	z轴坐标	朝向	脚本编号	重生时间	分组编号	队伍编号	基础AI	AI文件	巡逻路径	商店0	商店1	商店2	商店3	名誉ID	等级	镜像组
0	15052370	2602	129170	-1	昆仑外城	昆仑王国传送人	128	180	9	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	60	0	
1	15052370	224	129174	-1	阿鲁图	运镖回复人	84	90.699997	0	-1	1000	-1	-1	3	-1	-1	-1	-1	-1	-1	-1	50	0	
2	1886322	212	130543	-1	耶律虞	50级圣山地宫	146.30867	201.874329	9	-1	30000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	50	0	
3	1886323	213	130544	-1	耶律潭	60级圣山地宫	155.67688	201.965805	9	-1	30000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	60	0	
4	1886324	224	130545	-1	耶律修	70级圣山地宫	165.360382	201.618393	9	-1	30000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	70	0	
5	1886325	225	130546	-1	耶律英	75级圣山地宫	167.964996	194.112	18	-1	30000	-1	-1	3	-1	-1	-1	-1	-1	-1	-1	75	0	
6	7267810	211	130547	-1	耶律杰	80级圣山地宫	167.947464	185.556671	18	-1	30000	-1	-1	3	-1	-1	-1	-1	-1	-1	-1	80	0	
7	7267811	207	130548	-1	耶律睿	85级圣山地宫	167.984375	174.283203	18	-1	30000	-1	-1	3	-1	-1	-1	-1	-1	-1	-1	85	0	
8	11245579	87	130550	-1	耶律德	90级圣山地宫	168.02211	163.885101	18	-1	30000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	90	0	
9	8921579	9779	129749	20		屠城战传送石	189	82	9	-1	30000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	60	0	
10	7191855	3840	400040	20			68.839119	191.428009	32	-1	2000	-1	-1	5	0	0	-1	-1	-1	-1	-1	20	0	
11	7191856	3841	400041	20			35.261749	148.547897	32	-1	2000	-1	-1	5	0	1	-1	-1	-1	-1	-1	20	0	
12	7191857	3842	400042	20			110.214645	203.690079	32	-1	2000	-1	-1	5	0	2	-1	-1	-1	-1	-1	20	0	
13	7191858	3843	400043	20			149.274017	195.99942	32	-1	2000	-1	-1	5	0	3	-1	-1	-1	-1	-1	20	0	
14	7191859	3844	400044	20			169.39238	139.993912	32	-1	2000	-1	-1	5	0	4	-1	-1	-1	-1	-1	20	0	
15	7191860	3845	400045	20			41.984268	188.970993	32	-1	2000	-1	-1	5	0	5	-1	-1	-1	-1	-1	20	0	
16	15052371	2402	400720	-1	昆仑御卫		139.647827	214.932419	18	0	10000	-1	-1	20	0	-1	-1	-1	-1	-1	-1	60	0	
17	15052372	2402	400721	-1	昆仑御卫		135.34227	228.236908	18	0	10000	-1	-1	20	0	-1	-1	-1	-1	-1	-1	60	0	
18	15052373	2402	400722	-1	昆仑御卫		120.730103	228.240479	36	0	10000	-1	-1	20	0	-1	-1	-1	-1	-1	-1	60	0	
19	15052374	2402	400723	-1	昆仑御卫		116.227737	214.5457	36	0	10000	-1	-1	20	0	-1	-1	-1	-1	-1	-1	60	0	
20	15052375	2402	400724	-1	昆仑御卫		49.441444	207.356567	9	0	10000	-1	-1	20	0	-1	-1	-1	-1	-1	-1	60	0	
21	15052376	2402	400725	-1	昆仑御卫		49.627647	196.682144	27	0	10000	-1	-1	20	0	-1	-1	-1	-1	-1	-1	60	0	
22	15052377	2402	400720	-1	昆仑御卫		206.608398	206.99852	9	0	10000	-1	-1	20	0	-1	-1	-1	-1	-1	-1	60	0	
23	15052378	2402	400721	-1	昆仑御卫		206.745895	196.884964	27	0	10000	-1	-1	20	0	-1	-1	-1	-1	-1	-1	60	0	
26	15052383	2402	400725	-1	昆仑御卫		150	90	18	0	10000	-1	-1	20	0	-1	-1	-1	-1	-1	-1	60	0	
27	15052384	2402	400720	-1	昆仑御卫		150	80	18	0	10000	-1	-1	20	0	-1	-1	-1	-1	-1	-1	60	0	
28	15052385	2402	400721	-1	昆仑御卫		150	70	18	0	10000	-1	-1	20	0	-1	-1	-1	-1	-1	-1	60	0	
29	15052386	2402	400722	-1	昆仑御卫		150	60	18	0	10000	-1	-1	20	0	-1	-1	-1	-1	-1	-1	60	0	
32	15052389	2402	400725	-1	昆仑御卫		105	90	0	0	10000	-1	-1	20	0	-1	-1	-1	-1	-1	-1	60	0	
33	15052390	2402	400723	-1	昆仑御卫		105	80	0	0	10000	-1	-1	20	0	-1	-1	-1	-1	-1	-1	60	0	
34	15052391	2402	400724	-1	昆仑御卫		105	70	0	0	10000	-1	-1	20	0	-1	-1	-1	-1	-1	-1	60	0	
35	15052392	2402	400725	-1	昆仑御卫		105	60	0	0	10000	-1	-1	20	0	-1	-1	-1	-1	-1	-1	60	0	
36	8921579	207	129719	18	国昭	王国召集人	164	229	9	-1	30000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	60	0	
37	15052393	1320	101534	-1	前往王国迷宫一层	王国迷宫传送	190	211	9	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	60	0	
38	15052400	788	-1	20	  		140	197	9	0	10000	-1	-1	3	0	6	-1	-1	-1	-1	-1	60	0	
39	15052400	788	-1	20	  		115	197	9	0	10000	-1	-1	3	0	7	-1	-1	-1	-1	-1	60	0	
40	11245579	224	130551	-1	耶律勇	95级圣山地宫	162.786987	156.07338	27	-1	30000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	95	0	
41	11245579	211	130552	-1	耶律辉	100级圣山地宫	151.899994	156.067001	27	-1	30000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	100	0	
42	15052401	211	130553	-1	耶律宏	105级圣山地宫	142	156.067001	27	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	105	0	
43	15052402	211	130554	-1	耶律齐	110级圣山地宫	112	156.067001	27	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	110	0	
44	15052403	1320	400726	-1	羌龙	图腾龙魂任务发布人	110	125	9	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	70	0	
45	15052404	211	130556	-1	耶律图	115级圣山地宫	102.1	156.067001	27	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	115	0	
