NUM	NUM	FLOAT	FLOAT	NUM	NUM	NUM	NUM
NUM	NUM	FLOAT	FLOAT	采集点类型(0标准式1集合式)	种子的数量	种子补充间隔	镜像组Id
1	105	353.682959	451.699961	1	10000	10000	
2	713	129	224	1	10000	10000	
3	931	249	107	1	1	-1	
4	934	249	107	1	1	-1	
5	935	249	107	1	1	-1	
6	937	249	107	1	1	-1	
7	939	97	88	0		10000	
8	939	101	64	0		10000	
9	939	104	84	0		10000	
10	939	105	100	0		10000	
11	939	95	100	0		10000	
12	939	76	100	0		10000	
13	939	86	96	0		10000	
14	939	99	97	0		10000	
15	939	93	98	0		10000	
16	939	112	73	0		10000	
17	939	106	86	0		10000	
18	939	108	103	0		10000	
19	939	98	104	0		10000	
20	939	85	100	0		10000	
21	939	85	90	0		10000	
22	939	94	88	0		10000	
23	1000	44.226719	127.669473	0		1000	
24	1000	43.661484	125.225078	0		1000	
25	1000	47.653223	123.414512	0		1000	
26	1000	47.06166	125.041348	0		1000	
27	1000	46.632637	126.681641	0		1000	
28	1000	49.211387	124.684678	0		1000	
29	1001	68.611621	312.255791	0		1000	
30	1001	68.206895	309.591514	0		1000	
31	1001	70.211055	308.104653	0		1000	
32	1001	72.072012	307.527373	0		1000	
33	1001	70.085742	310.385459	0		1000	
34	1001	71.947656	309.557529	0		1000	
35	1002	176.874712	164.357754	1	50	1000	
36	1003	232.520093	283.087036	0		1000	
37	1003	231.691609	281.148503	0		1000	
38	1003	234.326514	281.814968	0		1000	
39	1003	233.800354	284.577249	0		1000	
40	1003	237.316509	283.734277	0		1000	
41	1004	307.038672	80.463223	0		1000	
42	1004	306.291885	81.124805	0		1000	
43	1004	305.272607	81.759805	0		1000	
44	1004	304.958984	80.697031	0		1000	
45	1004	306.153662	79.752266	0		1000	
46	1005	303.375859	49.629219	0		1000	
47	1005	304.64186	46.555547	0		1000	
48	1005	295.880645	52.754258	0		1000	
49	1005	298.171807	50.519238	0		1000	
50	1005	301.037271	48.124863	0		1000	
51	1006	339	203	1	50	1000	
52	1007	234.266267	111.907773	1	50	1000	
53	1050	167	73				1
54	1050	274	188				1
55	1050	414	131				1
56	1050	335	229				1
57	1050	251	266				1
58	1050	158	372				1
59	1050	368	434				1
60	1050	446	330				1
