NUM	NUM	NUM	NUM	NUM	TEXT	TEXT	FLOAT	FLOAT	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM
编号	随机编号	attr编号	逻辑表编号	阵营编号	名称	称号	x轴坐标	z轴坐标	朝向	脚本编号	重生时间	分组编号	队伍编号	基础AI	AI文件	巡逻路径	商店0	商店1	商店2	商店3	名誉ID	等级	镜像组
0	1	2408	125509	20	拓道	敌国传送	399	291	13	-1	1000	-1	-1	3	-1	-1	-1	-1	-1	-1	-1	30	0	
1	2	2603	101103	-1	玉门关	楼兰边塞传送人	299.5	193.5	30	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	100	0	
2	3	2603	101104	-1	河西走廊	楼兰边塞传送人	380	305	34	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	100	0	
3	4	2600	101130	-1	女真部	楼兰边塞传送人	402.410095	150.153351	10	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	100	0	
4	5	2600	101131	-1	龟兹回鹘部	楼兰边塞传送人	159.142029	93.689423	36	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	100	0	
5	6	2600	101132	-1	囚龙滩	楼兰边塞传送人	164.21138	384.660217	10	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	100	0	
6	7	2600	101133	-1	关内	楼兰边塞传送人	406	412	18	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	100	0	
7	8	4378	125511	20	楼兰战旗		344.993408	238.976822	31	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	70	0	
8	9	2296	125514	-1	桑素	朝贡使者	282	215	15	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	100	0	
9	10	4368	125500	-1	阿史那行	[敌国夺旗]发布人	348	224	27	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	30	0	
10	11	4369	125501	-1	阿史那慎	[敌国除奸]发布人	352	225	22	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	30	0	
11	12	4370	125502	-1	阿史那谨	[敌国情报]发布人	358	230	22	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	30	0	
12	13	4371	125503	-1	阿史那言	[敌国刺杀]发布人	360	235	18	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	30	0	
13	14	9525	125512	-1	张五常	大掌柜	472	252	15	-1	1000	-1	-1	3	-1	-1	-1	-1	-1	-1	-1	30	0	
14	15	89	125548	20	张小常	张五常之子	471	256	15	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	60	0	
