NUM	NUM	FLOAT	FLOAT	NUM	NUM	NUM	NUM
NUM	NUM	FLOAT	FLOAT	采集点类型(0标准式1集合式)	种子的数量	种子补充间隔	镜像组Id
1	1050	49.681855	173.842012				1
2	1050	53.613018	130.504106				1
3	1050	57.107485	51.86978				1
4	1050	125.981524	41.655918				1
5	1050	197.668306	51.184238				1
6	1050	194.318052	130.108661				1
7	1050	173.991772	191.003599				1
8	1050	124.063315	177.609951				1
9	1050	100.930117	128.429139				1
10	1050	129.840519	107.387009				1
11	1050	155.955352	129.194159				1
12	1050	131.280726	148.651123				1
13	1050	128.654886	128.267941				1
14	1050	204.514868	168.865977				1
15	1050	189.036982	94.134995				1
16	1050	149.945828	75.558354				1
17	1050	93.228228	76.902002				1
18	1050	47.008115	96.114849				1
19	1050	91.630249	186.19417				1
20	1050	145.416458	212.038643				1
21	1050	151.954431	181.303428				1
22	1050	205.136084	193.844683				1
23	1050	37.751367	155.595364				1
24	1050	123.575059	211.766904				1
25	1050	123.405086	77.380073				1
26	1050	74.188271	201.575742				1
27	1050	69.771499	148.074391				1
28	1050	168.04332	48.586289				1
29	1050	205.523096	81.295161				1
