NUM	NUM	NUM	NUM	NUM	TEXT	TEXT	FLOAT	FLOAT	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM
±àºÅ	Ëæ»ú±àºÅ	attr±àºÅ	Âß¼­±í±àºÅ	ÕóÓª±àºÅ	Ãû³Æ	³ÆºÅ	xÖá×ø±ê	zÖá×ø±ê	³¯Ïò	½Å±¾±àºÅ	ÖØÉúÊ±¼ä	·Ö×é±àºÅ	¶ÓÎé±àºÅ	»ù´¡AI	AIÎÄ¼þ	Ñ²ÂßÂ·¾¶	ÉÌµê0	ÉÌµê1	ÉÌµê2	ÉÌµê3	ÃûÓþID	µÈ¼¶	¾µÏñ×é
0	16343839	45	118100	-1	Ð»ÉºµÏ	¶«Õý½ÌÉñ¸¦	77.125999	223.39006	9	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	92	0	
1	16343840	65	118101	-1	ÄáÂü·òÈË	»ªÉ³ÊÐÃñ	81.134369	196.283157	26	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	92	0	
2	16343841	249	118102	-1	±´¶û±È¶þÊÀ	²¨À¼´ó¹«	68.004486	217.776917	9	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	92	0	
3	16343842	66	118103	-1	Ë¹ç÷	½ðË¹Ö®ÆÞ	81.088966	198.235611	8	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	92	0	
4	16343843	67	118104	-1	É¯ÍÞ		56.214676	222.172943	4	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	92	0	
5	16343844	68	118105	-1	±ËµÃ	¹ó×åÉÙÄê	56.735889	220.354095	0	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	92	0	
6	16343845	77	118106	-1	»ª¶ûÎ÷		188.319885	207.202286	32	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	92	0	
7	16343846	78	118107	20	ÑÅçêÈÊË¹»ù	½Ý¿Ë´ó¹«	69.264801	215.753296	24	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	92	0	
8	16343847	76	118108	-1	±´ÅµÒÁË¹»ù	¹ó×åÊÌ´Ó	66.454376	215.643509	32	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	92	0	
9	16343848	1374	118109	-1	»ùËþ	Ìú¼×±¤½«¾ü	208.506119	27.979345	30	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	92	0	
10	16343849	79	118110	-1	ÖÓË¹	»ªÉ³ÊÐÃñ	57.781261	193.021454	0	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	92	0	
11	16343850	69	118111	-1	ÑÅ¿ÉÎ÷	ÖÓË¹Ö®×Ó	59.528	195.269745	0	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	92	0	
12	16343851	79	118112	-1	²¼¿âÆæË¹»ù	»ªÉ³ÊÐÃñ	57.929653	222.283463	9	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	92	0	
13	16343852	1374	118113	-1	ÒÁÂ³ÈøË¹	¾ÞÅÚ±¤ÊØ½«	135.293594	117.939438	18	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	92	0	
14	16343853	2272	118114	20	¾ÞÅÚ±¤Ê¿±ø		137.676849	112.977837	0	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	92	0	
15	16343854	2272	118114	20	¾ÞÅÚ±¤Ê¿±ø		137.4487	122.777672	0	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	92	0	
16	16343855	2272	118114	20	¾ÞÅÚ±¤Ê¿±ø		118.611641	124.215248	18	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	92	0	
17	16343856	2272	118114	20	¾ÞÅÚ±¤Ê¿±ø		118.648041	117.803406	18	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	92	0	
18	16343857	2272	118114	20	¾ÞÅÚ±¤Ê¿±ø		131.552185	125.07653	9	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	92	0	
19	16343858	2272	118130	20	°¢¶û¹ÅÁ¦	¾ÞÅÚ±¤¸±½«	136.408066	119.908661	18	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	92	0	
20	16343859	2272	118114	20	¾ÞÅÚ±¤Ê¿±ø		136.48912	116.157478	18	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	92	0	
21	16343860	2272	118114	20	¾ÞÅÚ±¤Ê¿±ø		123.045654	147.357147	27	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	92	0	
22	16343861	2272	118114	20	¾ÞÅÚ±¤Ê¿±ø		131.923187	147.639145	27	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	92	0	
23	16343862	2272	118114	21	Ìú¼×±¤Ê¿±ø		207.00676	40.130234	0	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	92	0	
24	16343863	2272	118114	21	Ìú¼×±¤Ê¿±ø		205.5961	34.768036	4	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	92	0	
25	16343864	2272	118114	21	Ìú¼×±¤Ê¿±ø		216.108902	29.968847	20	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	92	0	
26	16343865	2272	118114	21	Ìú¼×±¤Ê¿±ø		218.935684	34.637264	24	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	92	0	
27	16343866	2272	118114	21	Ìú¼×±¤Ê¿±ø		210	33	24	0	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	92	0	
28	16343867	2272	118114	21	Ìú¼×±¤Ê¿±ø		212	35	24	0	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	92	0	
29	16343868	2272	118114	21	Ìú¼×±¤Ê¿±ø		214	31	24	0	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	92	0	
30	16343869	167	-1	-1	 	 	199.383133	28.478954	0	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	92	0	
31	16343870	168	-1	-1	 	 	198.775024	25.844336	0	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	92	0	
32	16343871	169	-1	-1	 	 	213.971497	19.404854	24	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	92	0	
33	16343872	170	-1	-1	 	 	212.250061	18.374268	24	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	92	0	
34	16343873	172	-1	-1	 	 	216.181595	20.512695	24	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	92	0	
35	16343874	170	-1	-1	 	 	159.501099	192.581314	16	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	92	0	
36	16343875	2272	-1	21	²¨À¼·ü±ø		30.920313	231.176285	8	0	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	92	0	
37	16343876	2272	-1	20	¾ÞÅÚ±¤Ê¿±ø		123.463257	125.234848	9	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	92	0	
38	16343877	2272	-1	20	²¨À¼Ê¿±ø		230.489517	157.274094	9	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	92	0	
39	16343878	2272	-1	20	²¨À¼Ê¿±ø		102.934395	205.632614	35	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	92	0	
40	16343879	2272	-1	20	²¨À¼Ê¿±ø		102.627838	215.240463	35	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	92	0	
41	16343880	2272	-1	20	²¨À¼Ê¿±ø		85.537201	215.417847	18	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	92	0	
42	16343881	2272	-1	20	²¨À¼Ê¿±ø		85.463997	204.982895	18	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	92	0	
43	16343882	2272	-1	20	²¨À¼Ê¿±ø		71.7724	188.036591	19	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	92	0	
44	16343883	2272	-1	20	²¨À¼Ê¿±ø		64.733253	187.799377	35	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	92	0	
45	16343884	2272	-1	20	²¨À¼Ê¿±ø		73.718414	172.986511	9	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	92	0	
46	16343885	2272	-1	20	²¨À¼Ê¿±ø		63.174862	172.718536	9	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	92	0	
47	16343886	2272	-1	21	²¨À¼·ü±ø		20.33873	224.795319	2	0	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	92	0	
48	16343887	2272	-1	20	²¨À¼Ê¿±ø		46.982525	205.496338	0	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	92	0	
49	16343888	2272	-1	21	²¨À¼·ü±ø		26.097197	231.875305	0	0	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	92	0	
50	16343889	2272	-1	21	²¨À¼·ü±ø		22.776934	232.456451	0	0	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	92	0	
51	16343890	2272	-1	20	²¨À¼Ê¿±ø		235.224304	142.778946	18	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	92	0	
52	16343891	2272	-1	20	²¨À¼Ê¿±ø		234.287857	155.402328	18	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	92	0	
53	16343892	2272	-1	21	²¨À¼·ü±ø		19.113544	227.471802	30	0	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	92	0	
54	16343893	2272	-1	20	²¨À¼Ê¿±ø		65.407516	219.426498	9	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	92	0	
55	16343894	2272	-1	20	²¨À¼Ê¿±ø		46.969658	216.708313	0	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	92	0	
56	16343895	2272	-1	20	²¨À¼Ê¿±ø		70.359612	219.539124	9	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	92	0	
57	16343896	2268	118115	-1	ÃÉ¹ÅÓÂÊ¿		94.819954	65.935059	30	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	92	0	
58	16343897	2260	118116	-1	¹ù±¦Óñ	Î÷Õ÷¾ü¸±Í³Ë§	61.5989	46.997856	35	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	92	0	
59	16343898	2261	118117	-1	»¢¶ùÌ¨	Î÷Õ÷½«¾ü	94.294136	67.728752	0	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	92	0	
60	16343899	2262	118118	-1	Í¼ÌØ°¢º£	Î÷Õ÷½«¾ü	61.508961	50.506073	2	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	92	0	
61	16343900	2262	118119	-1	º±Ê§ØÝ	Î÷Õ÷½«¾ü	66.295891	50.383266	18	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	92	0	
62	16343901	2268	118115	-1	ÃÉ¹ÅÓÂÊ¿		52.20734	76.256577	24	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	92	0	
63	16343902	2261	118120	-1	ºÕ¶ûÎÂ	Î÷Õ÷½«¾ü	51.185169	77.816818	24	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	92	0	
64	16343903	2268	118115	-1	ÃÉ¹ÅÓÂÊ¿		93.079597	66.515694	0	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	92	0	
65	16343904	2268	118115	-1	ÃÉ¹ÅÓÂÊ¿		60.307133	42.538612	32	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	92	0	
66	16343905	2268	118115	-1	ÃÉ¹ÅÓÂÊ¿		180.776428	65.971169	34	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	92	0	
67	16343906	2268	118115	-1	ÃÉ¹ÅÓÂÊ¿		179.898987	67.933884	34	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	92	0	
68	16343907	2268	118115	-1	ÃÉ¹ÅÓÂÊ¿		53.851318	77.197762	26	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	92	0	
69	16343908	2268	118115	-1	ÃÉ¹ÅÓÂÊ¿		92.13166	67.869133	32	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	92	0	
70	16343909	2268	118115	-1	ÃÉ¹ÅÓÂÊ¿		50.557655	75.903801	24	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	92	0	
71	16343910	2265	118121	-1	ËÕµÂÑÓ¼ª¶ù	Î÷Õ÷¾ü´óÈøÂú	66.16391	47.067471	20	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	92	0	
72	16343911	2266	118122	-1	°Î¶¼	Î÷Õ÷¾üÍ³Ë§	63.877354	44.379726	27	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	92	0	
73	16343912	1152	118123	-1	Ô¿³×ÀÏÈË		50.977749	38.804012	31	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	92	0	
74	16343913	2266	118124	-1	¹ùÙ©		181.510849	68.39769	32	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	92	0	
75	16343914	2268	0	-1	ÃÉ¹ÅÓÂÊ¿		67.463028	42.344933	24	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	92	0	
76	16343915	2269	118125	-1	ÃÉ¹ÅÓÂÊ¿£¨ÆïÂíÑ²Âß£©		34.99588	68.338722	0	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	92	0	
77	16343916	2269	118125	-1	ÃÉ¹ÅÓÂÊ¿£¨ÆïÂíÑ²Âß£©		79.254372	66.45533	0	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	92	0	
78	16343917	2274	-1	21	Ä§Áúµ°		193.410049	220.349594	0	0	10000	-1	-1	6	0	-1	-1	-1	-1	-1	-1	92	0	
79	16343918	2274	-1	21	Ä§Áúµ°		195.398895	222.495102	0	0	10000	-1	-1	6	0	-1	-1	-1	-1	-1	-1	92	0	
