NUM	NUM	NUM	NUM	NUM	TEXT	TEXT	FLOAT	FLOAT	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM
编号	随机编号	attr编号	逻辑表编号	阵营编号	名称	称号	x轴坐标	z轴坐标	朝向	脚本编号	重生时间	分组编号	队伍编号	基础AI	AI文件	巡逻路径	商店0	商店1	商店2	商店3	名誉ID	等级	镜像组
0	8630722	880	116000	-1	成吉思汗	四海之王	128	28	27	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	84	0	
1	8630738	886	116004	-1	旭烈兀	拖雷之子	135	37	9	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	84	0	
2	8630751	886	116006	-1	蒙哥	拖雷之子	121	33	9	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	84	0	
3	8630762	94	116001	-1	苏德延吉儿	大萨满	159	45	27	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	84	0	
4	8630764	940	-1	-1	萨满教众		155.967224	46.575214	2	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	84	0	
5	8630768	940	-1	-1	萨满教众		156.234283	49.347481	1	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	84	0	
6	8630904	887	116002	-1	哲别	神射手	124	33	9	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	84	0	
7	8630906	917	116003	-1	速不台	老将军	132	33	9	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	84	0	
8	8630909	881	116005	-1	丘处机	长春真人	132	37	9	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	84	0	
9	8630912	886	116019	-1	拔都	术赤之子	135	33	9	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	84	0	
10	8631216	860	-1	-1	蒙古怯薛军		132.249802	41.080696	18	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	84	0	
11	8631218	860	-1	-1	蒙古怯薛军		132.597122	69.95137	27	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	84	0	
12	8631220	860	-1	-1	蒙古怯薛军		187.685806	182.883667	7	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	84	0	
13	8631223	860	-1	-1	蒙古怯薛军		124.23613	40.774445	0	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	84	0	
14	8631228	860	-1	-1	蒙古怯薛军		128.013733	69.806488	28	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	84	0	
15	8631233	860	-1	-1	蒙古怯薛军		180.097244	183.852432	6	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	84	0	
16	8631450	886	116007	-1	忽必烈	拖雷之子	121	37	9	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	84	0	
17	8631454	886	116024	-1	郭宝玉	火器营少帅	124	37	9	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	84	0	
18	8632117	915	-1	-1	蒙古勇士		81.815666	68.639397	12	-1	1000	-1	-1	3	0	0	-1	-1	-1	-1	-1	84	0	
19	8632120	915	-1	-1	蒙古勇士		88.860138	45.468674	24	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	84	0	
20	8632123	915	-1	-1	蒙古勇士		65.62056	42.837128	28	-1	1000	-1	-1	3	0	1	-1	-1	-1	-1	-1	84	0	
21	8632127	915	-1	-1	蒙古勇士		72.871681	74.418167	9	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	84	0	
22	8641246	859	116016	-1	蒙哥	前锋军军统帅	67.082237	122.919937	18	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	84	0	
23	8641342	859	116018	-1	忽必烈	右翼军统帅	111.211578	195.636993	21	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	84	0	
