NUM	NUM	NUM	NUM	NUM	TEXT	TEXT	FLOAT	FLOAT	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM
编号	随机编号	attr编号	逻辑表编号	阵营编号	名称	称号	x轴坐标	z轴坐标	朝向	脚本编号	重生时间	分组编号	队伍编号	基础AI	AI文件	巡逻路径	商店0	商店1	商店2	商店3	名誉ID	等级	镜像组
0	3532520	860	-1	20	迎亲护卫		144	163	9	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	75	0	
1	3532522	860	-1	20	迎亲护卫		150	165	9	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	75	0	
2	3532556	860	-1	20	迎亲护卫		210.012192	216.677307	2	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	75	0	
3	3532592	865	114000	20	别勒古台	成吉思汗之弟	212.897141	215.755295	9	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	75	0	
4	3532828	858	114008	20	蒙哥	拖雷之子	149	162	9	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	75	0	
5	3532970	70	114002	20	萨珊娜	波斯公主	100.470848	140.387985	8	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	75	0	
6	3532975	74	114001	20	塞维斯	阿拉伯公主	102.381546	140.78653	8	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	75	0	
7	3533134	840	-1	21	钦察武士	突厥联军	180.951324	159.687027	27	-1	1000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	75	0	
8	3533164	840	-1	21	钦察武士	突厥联军	163.128113	172.175568	27	-1	1000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	75	0	
9	3533165	840	-1	21	钦察武士	突厥联军	173.52504	175.753098	27	-1	1000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	75	0	
10	3533167	840	-1	21	钦察武士	突厥联军	183.527481	149.667862	27	-1	1000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	75	0	
11	3533178	840	-1	21	钦察武士	突厥联军	167.598022	163.857727	27	-1	1000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	75	0	
12	3533184	840	-1	21	钦察武士	突厥联军	177.744904	171.135818	27	-1	1000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	75	0	
13	3533186	840	-1	21	钦察武士	突厥联军	176.103943	154.120438	27	-1	1000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	75	0	
14	3533190	840	-1	21	钦察武士	突厥联军	166.003494	157.683029	27	-1	1000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	75	0	
15	3533238	153	114003	20	合丹	窝阔台之子	112.233749	135.292068	1	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	75	0	
16	3533279	860	-1	20	蒙古勇士		111.734146	122.295021	10	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	75	0	
17	3533291	860	-1	20	蒙古勇士		106.541275	120.989204	6	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	75	0	
18	3533293	860	-1	20	蒙古勇士		94.581169	133.69371	14	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	75	0	
19	3533297	860	-1	20	蒙古勇士		106.399956	141.488068	29	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	75	0	
20	3533299	860	-1	20	蒙古勇士		96.598022	127.466537	17	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	75	0	
21	3533831	864	114005	20	王处一	全真七子	67	173	9	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	75	0	
22	3534096	847	-1	21	亦难出	突厥大将军	25.899298	43.061806	28	-1	1000	-1	-1	6	0	-1	-1	-1	-1	-1	-1	75	0	
23	3534148	843	-1	21	突厥护卫军		29.608095	39.288517	28	-1	1000	-1	-1	6	0	-1	-1	-1	-1	-1	-1	75	0	
24	3534150	843	-1	21	突厥护卫军		21.121611	39.340714	28	-1	1000	-1	-1	6	0	-1	-1	-1	-1	-1	-1	75	0	
25	3534163	862	-1	21	突厥近卫军		19.944881	53.987698	9	-1	1000	-1	-1	6	0	-1	-1	-1	-1	-1	-1	75	0	
26	3534166	862	-1	21	突厥近卫军		25.754805	57.274559	9	-1	1000	-1	-1	6	0	-1	-1	-1	-1	-1	-1	75	0	
27	3534591	862	-1	21	突厥近卫军		44.601189	85.607361	27	-1	1000	-1	-1	6	0	-1	-1	-1	-1	-1	-1	75	0	
28	3534593	862	-1	21	突厥近卫军		57.716766	83.597694	27	-1	1000	-1	-1	6	0	-1	-1	-1	-1	-1	-1	75	0	
29	3534695	842	-1	21	沙漠毒蝎		70.037712	211.450012	27	-1	1000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	75	0	
30	3534710	842	-1	21	沙漠毒蝎		135.119705	220.812515	27	-1	1000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	75	0	
31	3534718	842	-1	21	沙漠毒蝎		93.821556	210.207138	27	-1	1000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	75	0	
32	3534722	842	-1	21	沙漠毒蝎		83.678337	201.63446	27	-1	1000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	75	0	
33	3534726	842	-1	21	沙漠毒蝎		85.563126	191.394302	27	-1	1000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	75	0	
34	3534732	842	-1	21	沙漠毒蝎		94.781517	199.917801	27	-1	1000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	75	0	
35	3534750	842	-1	21	沙漠毒蝎		50.960468	173.671967	27	-1	1000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	75	0	
36	3534752	842	-1	21	沙漠毒蝎		40.217831	183.235046	27	-1	1000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	75	0	
37	3534755	842	-1	21	沙漠毒蝎		28.879316	187.773941	27	-1	1000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	75	0	
38	3534759	842	-1	21	沙漠毒蝎		56.033504	181.992035	27	-1	1000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	75	0	
