NUM	NUM	NUM	NUM	NUM	TEXT	TEXT	FLOAT	FLOAT	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM
编号	随机编号	attr编号	逻辑表编号	阵营编号	名称	称号	x轴坐标	z轴坐标	朝向	脚本编号	重生时间	分组编号	队伍编号	基础AI	AI文件	巡逻路径	商店0	商店1	商店2	商店3	名誉ID	等级	镜像组
0	826626	1907	118000	-1	拔都	欧洲之王	63.785122	204.676926	0	-1	1000	-1	-1	3	-1	-1	-1	-1	-1	-1	-1	90	0	
1	827193	2119	118001	-1	速不台		64.622337	200	27	-1	1000	-1	-1	3	-1	-1	-1	-1	-1	-1	-1	90	0	
2	827349	212	118002	-1	郭宝玉		64.514214	209	9	-1	1000	-1	-1	3	-1	-1	-1	-1	-1	-1	-1	90	0	
3	827462	2119	118003	-1	阔出		67.724022	200	27	-1	1000	-1	-1	3	-1	-1	-1	-1	-1	-1	-1	90	0	
4	827536	212	118004	-1	蒙哥		67.680267	209	9	-1	1000	-1	-1	3	-1	-1	-1	-1	-1	-1	-1	90	0	
5	827853	2117	118005	-1	蒙古士兵		62.096992	208.628265	0	-1	1000	-1	-1	3	-1	-1	-1	-1	-1	-1	-1	90	0	
6	827865	2117	118006	-1	蒙古士兵		62.186314	200.136368	0	-1	1000	-1	-1	3	-1	-1	-1	-1	-1	-1	-1	90	0	
7	827939	2233	118007	-1	蒙古士兵		70.097717	196.174118	0	-1	1000	-1	-1	3	-1	-1	-1	-1	-1	-1	-1	90	0	
8	827947	2233	118008	-1	蒙古士兵		69.603699	216.677124	0	-1	1000	-1	-1	3	-1	-1	-1	-1	-1	-1	-1	90	0	
9	827961	2233	118009	-1	蒙古士兵		70.194519	192.334152	0	-1	1000	-1	-1	3	-1	-1	-1	-1	-1	-1	-1	90	0	
10	827969	2233	118010	-1	蒙古士兵		69.569733	212.691483	0	-1	1000	-1	-1	3	-1	-1	-1	-1	-1	-1	-1	90	0	
11	830266	300	118011	-1	海都		114.98172	207.682785	5	-1	1000	-1	-1	3	-1	-1	-1	-1	-1	-1	-1	90	0	
12	830430	2233	118012	-1	蒙古士兵		112.034607	204.834198	4	-1	1000	-1	-1	3	-1	-1	-1	-1	-1	-1	-1	90	0	
13	830528	2233	118013	-1	蒙古士兵		118.25676	209.657516	4	-1	1000	-1	-1	3	-1	-1	-1	-1	-1	-1	-1	90	0	
14	830534	2233	118014	-1	蒙古士兵		121.495224	209.755356	4	-1	1000	-1	-1	3	-1	-1	-1	-1	-1	-1	-1	90	0	
15	830611	2233	118015	-1	蒙古士兵		110.356941	200.961975	4	-1	1000	-1	-1	3	-1	-1	-1	-1	-1	-1	-1	90	0	
16	831067	1118	118016	-1	左拉	吉卜赛占卜师	177.073944	194.958252	22	-1	1000	-1	-1	3	-1	-1	-1	-1	-1	-1	-1	90	0	
17	838923	1117	118017	-1	普斯图	吉卜赛族长	189.754639	196.302368	2	-1	1000	-1	-1	3	-1	-1	-1	-1	-1	-1	-1	90	0	
18	839342	2502	118018	-1	加蒂	吉卜赛人	181.27301	181.866455	28	-1	1000	-1	-1	3	-1	-1	-1	-1	-1	-1	-1	90	0	
19	839453	71	118019	-1	丽莎	吉卜赛人	180.979721	185.031647	2	-1	1000	-1	-1	3	-1	-1	-1	-1	-1	-1	-1	90	0	
20	840199	73	118020	-1	阿克迷儿	吉卜赛人	183.135117	183.95813	19	-1	1000	-1	-1	3	-1	-1	-1	-1	-1	-1	-1	90	0	
21	840353	74	118021	-1	妮达	吉卜赛人	186.068787	188.849777	6	-1	1000	-1	-1	3	-1	-1	-1	-1	-1	-1	-1	90	0	
22	841991	246	118022	-1	米格	吉卜赛人	189.194382	203.496475	14	-1	1000	-1	-1	3	-1	-1	-1	-1	-1	-1	-1	90	0	
23	842096	307	118023	-1	尼米娜	吉卜赛人	187.162201	201.044174	27	-1	1000	-1	-1	3	-1	-1	-1	-1	-1	-1	-1	90	0	
24	842432	2233	118024	-1	蒙古斥候		148.476456	207.757248	14	-1	1000	-1	-1	3	-1	-1	-1	-1	-1	-1	-1	90	0	
25	842437	2233	118025	-1	蒙古斥候		144.479691	213.272171	14	-1	1000	-1	-1	3	-1	-1	-1	-1	-1	-1	-1	90	0	
26	847250	122	118026	-1	被俘的龙骑兵		147.329376	210.251968	16	-1	1000	-1	-1	3	-1	-1	-1	-1	-1	-1	-1	90	0	
27	1014262	2240	118027	-1	奥斯曼	西突厥首领	141.104095	122.2351	12	-1	1000	-1	-1	3	-1	-1	-1	-1	-1	-1	-1	90	0	
28	1014346	2241	118028	-1	西突厥战士		137.09758	106.00071	0	-1	1000	-1	-1	3	-1	-1	-1	-1	-1	-1	-1	90	0	
29	1014376	2241	118029	-1	西突厥战士		152.752548	112.324989	10	-1	1000	-1	-1	3	-1	-1	-1	-1	-1	-1	-1	90	0	
30	1014739	91	118030	-1	凯末尔	突厥部贵族	120.251328	122.253967	8	-1	1000	-1	-1	3	-1	-1	-1	-1	-1	-1	-1	90	0	
31	1014948	57	118031	-1	莫卡	阿兰百姓	117.243683	120.919205	33	-1	1000	-1	-1	3	-1	-1	-1	-1	-1	-1	-1	90	0	
32	1015079	72	118032	-1	艾丝洛娃	阿兰百姓	119.981583	118.00293	25	-1	1000	-1	-1	3	-1	-1	-1	-1	-1	-1	-1	90	0	
33	1015431	79	118033	-1	柯察金	阿兰百姓	122.05938	118.994858	23	-1	1000	-1	-1	3	-1	-1	-1	-1	-1	-1	-1	90	0	
34	1015572	77	118034	-1	克日科夫	阿兰百姓	118.457985	118.126877	30	-1	1000	-1	-1	3	-1	-1	-1	-1	-1	-1	-1	90	0	
35	1015617	78	118035	-1	布萨尔斯基	阿兰百姓	122.679367	120.999535	20	-1	1000	-1	-1	3	-1	-1	-1	-1	-1	-1	-1	90	0	
36	1016131	2241	118036	-1	西突厥战士		108.708221	115.358452	12	-1	1000	-1	-1	3	-1	-1	-1	-1	-1	-1	-1	90	0	
37	1016152	2241	118037	-1	西突厥战士		139.605896	124.638344	10	-1	1000	-1	-1	3	-1	-1	-1	-1	-1	-1	-1	90	0	
38	1016156	2241	118038	-1	西突厥战士		111.758041	103.547859	20	-1	1000	-1	-1	3	-1	-1	-1	-1	-1	-1	-1	90	0	
39	1016173	2241	118039	-1	西突厥战士		143.64035	124.126152	12	-1	1000	-1	-1	3	-1	-1	-1	-1	-1	-1	-1	90	0	
40	1017183	124	118040	-1	库鲁斯曼	塞尔柱信使	128.227112	131	2	-1	1000	-1	-1	3	-1	-1	-1	-1	-1	-1	-1	90	0	
41	1255342	111	118041	-1	加丹	西突厥密探	132	106	27	-1	1000	-1	-1	3	-1	-1	-1	-1	-1	-1	-1	90	0	
42	1255888	2243	118042	-1	塞尔柱战士		65.520927	97.19207	5	-1	1000	-1	-1	3	-1	-1	-1	-1	-1	-1	-1	90	0	
43	1255901	2243	118043	-1	塞尔柱战士		67.326424	92.742004	5	-1	1000	-1	-1	3	-1	-1	-1	-1	-1	-1	-1	90	0	
44	1256755	1949	118044	-1	史纳都	塞尔柱王国将领	66.738846	96.207268	1	-1	1000	-1	-1	3	-1	-1	-1	-1	-1	-1	-1	90	0	
45	1257075	2243	118045	-1	塞尔柱战士		73.194298	95.880402	5	-1	1000	-1	-1	3	-1	-1	-1	-1	-1	-1	-1	90	0	
46	1259952	42	118046	-1	基辅巫师		180.211838	57.944057	0	-1	1000	-1	-1	3	-1	-1	-1	-1	-1	-1	-1	90	0	
47	1257208	2244	-1	21	维京战士	雇佣军	96.971817	78.293297	27	-1	1000	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	90	0	
48	1257214	2244	-1	21	维京战士	雇佣军	94.094055	85.873421	27	-1	1000	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	90	0	
49	1257218	2244	-1	21	维京战士	雇佣军	76.822159	76.734901	27	-1	1000	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	90	0	
50	1257223	2244	-1	21	维京战士	雇佣军	83.582268	75.407753	27	-1	1000	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	90	0	
51	1257225	2244	-1	21	维京战士	雇佣军	105.318314	83.189545	27	-1	1000	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	90	0	
52	1257253	2244	-1	21	维京战士	雇佣军	83.453194	82.025299	27	-1	1000	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	90	0	
53	1257862	2234	-1	21	条顿骑士	雇佣军	94.857162	72.567413	27	-1	1000	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	90	0	
54	1257866	2234	-1	21	条顿骑士	雇佣军	90.612572	78.328033	27	-1	1000	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	90	0	
55	1257867	2234	-1	21	条顿骑士	雇佣军	99.655556	82.876572	27	-1	1000	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	90	0	
56	1257869	2234	-1	21	条顿骑士	雇佣军	78.73278	82.565857	27	-1	1000	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	90	0	
57	1257871	2234	-1	21	条顿骑士	雇佣军	101.860603	89.452263	27	-1	1000	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	90	0	
58	1257875	2234	-1	21	条顿骑士	雇佣军	63.835873	72.401382	27	-1	1000	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	90	0	
59	1257879	2234	-1	21	条顿骑士	雇佣军	71.654587	79.838303	27	-1	1000	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	90	0	
60	1257895	2234	-1	21	条顿骑士	雇佣军	71.750198	73.318634	27	-1	1000	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	90	0	
61	1257902	2234	-1	21	条顿骑士	雇佣军	107.479095	89.502007	27	-1	1000	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	90	0	
62	1257911	2234	-1	21	条顿骑士	雇佣军	109.745338	78.701088	27	-1	1000	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	90	0	
63	1257879	2234	-1	21	条顿骑士	雇佣军	90.613243	87.999252	27	-1	1000	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	90	0	
64	1257895	2234	-1	21	条顿骑士	雇佣军	83.368774	86.895233	27	-1	1000	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	90	0	
65	1257902	2234	-1	21	条顿骑士	雇佣军	101.504929	74.305618	27	-1	1000	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	90	0	
66	1257911	2234	-1	21	条顿骑士	雇佣军	80.559334	70.382767	27	-1	1000	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	90	0	
67	1258164	2234	-1	21	条顿骑士	雇佣军	74.647095	86.293671	30	-1	1000	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	90	0	
68	1258173	2235	-1	21	基辅宫廷护卫		224.380127	52.621582	18	-1	1000	-1	-1	6	-1	-1	-1	-1	-1	-1	-1	90	0	
69	1258214	2234	-1	21	条顿骑士	雇佣军	66.560738	81.451691	27	-1	1000	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	90	0	
70	1259479	2245	-1	21	基辅大巫师		195.85907	38.725487	28	-1	1000	-1	-1	6	-1	-1	-1	-1	-1	-1	-1	90	0	
71	1259497	2245	-1	21	基辅大巫师		193.378113	45.691727	5	-1	1000	-1	-1	6	-1	-1	-1	-1	-1	-1	-1	90	0	
72	1259521	2245	-1	21	基辅大巫师		200.061935	41.550125	21	-1	1000	-1	-1	6	-1	-1	-1	-1	-1	-1	-1	90	0	
73	1259524	2245	-1	21	基辅大巫师		198.847748	45.665165	14	-1	1000	-1	-1	6	-1	-1	-1	-1	-1	-1	-1	90	0	
74	1259526	2245	-1	21	基辅大巫师		191.930023	41.379971	34	-1	1000	-1	-1	6	-1	-1	-1	-1	-1	-1	-1	90	0	
75	1261288	2235	-1	21	基辅近卫军		217.782196	99.276871	27	-1	1000	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	90	0	
76	1261297	2235	-1	21	基辅近卫军		233.226944	95.616821	27	-1	1000	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	90	0	
77	1261303	2235	-1	21	基辅近卫军		174.444504	73.418831	27	-1	1000	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	90	0	
78	1261306	2235	-1	21	基辅近卫军		220.28273	95.456657	27	-1	1000	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	90	0	
79	1261314	2235	-1	21	基辅近卫军		182.294449	70.906754	27	-1	1000	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	90	0	
80	1261322	2235	-1	21	基辅近卫军		231.008392	99.500488	27	-1	1000	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	90	0	
81	1271425	2247	-1	21	狼蛛		208.778275	180.853821	27	-1	1000	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	90	0	
82	1271427	2247	-1	21	狼蛛		216.297211	167.785629	27	-1	1000	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	90	0	
83	1271428	2247	-1	21	狼蛛		222.827774	178.613998	27	-1	1000	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	90	0	
84	1271433	2247	-1	21	狼蛛		222.691345	166.455643	27	-1	1000	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	90	0	
85	1271447	2247	-1	21	狼蛛		217.965179	174.443848	27	-1	1000	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	90	0	
86	1271592	2242	-1	21	维京女巫		208.887329	170.116943	26	-1	1000	-1	-1	6	-1	-1	-1	-1	-1	-1	-1	90	0	
87	847930	2236	-1	21	基辅龙骑兵		137.484955	178.66864	27	-1	1000	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	90	0	
88	847932	2236	-1	21	基辅龙骑兵		136.099701	184.357956	27	-1	1000	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	90	0	
89	847942	2236	-1	21	基辅龙骑兵		144.955994	182.106125	27	-1	1000	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	90	0	
90	847950	2236	-1	21	基辅龙骑兵		129.349304	169.030731	27	-1	1000	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	90	0	
91	847953	2236	-1	21	基辅龙骑兵		137.715012	167.757996	27	-1	1000	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	90	0	
92	847963	2236	-1	21	基辅龙骑兵		132.659012	174.329117	27	-1	1000	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	90	0	
93	847964	2236	-1	21	基辅龙骑兵		142.198624	174.117508	27	-1	1000	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	90	0	
94	851992	2236	-1	21	基辅龙骑兵		128.653702	179.770386	27	-1	1000	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	90	0	
95	851994	2236	-1	21	基辅龙骑兵		148.635849	175.786896	27	-1	1000	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	90	0	
96	853051	2239	-1	21	亚历山大·涅夫斯基	基辅大公	117.898155	167.442917	27	-1	1000	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	90	0	
97	853051	2239	118047	-1	乌金娜	伪装的基辅大公	227.5457	46.449684	18	-1	1000	-1	-1	3	-1	-1	-1	-1	-1	-1	-1	90	0	
98	13492874	1152	118048	-1	钥匙老人		62.721813	188.172821	6	-1	1000	-1	-1	3	-1	-1	-1	-1	-1	-1	-1	90	0	
99	13492875	2235	-1	21	基辅宫廷护卫		230.214645	50.259716	18	0	1000	-1	-1	6	-1	-1	-1	-1	-1	-1	-1	90	0	
100	13492876	2235	-1	21	基辅宫廷护卫		230.263031	42.645489	18	0	1000	-1	-1	6	-1	-1	-1	-1	-1	-1	-1	90	0	
101	13492877	2235	-1	21	基辅宫廷护卫		224.400375	39.946934	18	0	1000	-1	-1	6	-1	-1	-1	-1	-1	-1	-1	90	0	
102	13492878	2235	-1	21	基辅宫廷护卫		204.903992	84.887161	24	0	10000	-1	-1	6	-1	-1	-1	-1	-1	-1	-1	90	0	
103	13492879	2235	-1	21	基辅宫廷护卫		190.358627	64.419861	0	0	10000	-1	-1	6	-1	-1	-1	-1	-1	-1	-1	90	0	
104	13492880	2235	-1	21	基辅宫廷护卫		201.671204	64.500259	18	0	10000	-1	-1	6	-1	-1	-1	-1	-1	-1	-1	90	0	
105	13492881	2235	-1	21	基辅宫廷护卫		188.231354	84.483551	32	0	10000	-1	-1	6	-1	-1	-1	-1	-1	-1	-1	90	0	
106	13492882	2235	-1	21	基辅宫廷护卫		202.520935	82.47226	24	0	10000	-1	-1	6	-1	-1	-1	-1	-1	-1	-1	90	0	
107	13492883	2235	-1	21	基辅宫廷护卫		190.422043	82.434898	32	0	10000	-1	-1	6	-1	-1	-1	-1	-1	-1	-1	90	0	
