NUM	NUM	NUM	NUM	NUM	TEXT	TEXT	FLOAT	FLOAT	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM
index	guid	type	obj_id	camp_id	name	title	pos_x	pos_z	dir	script_id	respawn_time	group_id	team_id	base_ai	ai_file	patrol_id	shop0	shop1	shop2	shop3	ReputationID	level	viewgroup
0	1	18802	-1	21	пипи		48.614620	178.519669	0	0	10000	-1	-1	0	0	-1	-1	-1	-1	-1	-1	110	0	
1	2	18802	-1	21	пипи		48.714619	178.419662	0	0	10000	-1	-1	0	0	-1	-1	-1	-1	-1	-1	110	0	
2	3	18802	-1	21	пипи		47.614620	178.519669	0	0	10000	-1	-1	0	0	-1	-1	-1	-1	-1	-1	110	0	
3	4	18802	-1	21	пипи		47.614620	179.519669	0	0	10000	-1	-1	0	0	-1	-1	-1	-1	-1	-1	110	0	
4	5	1	-1	20	╢с╬ежщ╩ью╢╣дхК©з		224.457001	119.998001	0	0	10000	-1	-1	0	0	-1	-1	-1	-1	-1	-1	60	0	
5	6	18802	-1	21	пипи		48.614620	179.519669	0	0	10000	-1	-1	0	0	-1	-1	-1	-1	-1	-1	110	0	
6	7	18802	-1	21	пипи		48.614620	177.519669	0	0	10000	-1	-1	0	0	-1	-1	-1	-1	-1	-1	110	0	
7	8	18802	-1	21	пипи		49.614620	178.519669	0	0	10000	-1	-1	0	0	-1	-1	-1	-1	-1	-1	110	0	
8	9	18802	-1	21	пипи		49.614620	179.519669	0	0	10000	-1	-1	0	0	-1	-1	-1	-1	-1	-1	110	0	
9	10	18802	-1	21	пипи		49.614620	177.519669	0	0	10000	-1	-1	0	0	-1	-1	-1	-1	-1	-1	110	0	
10	11	18802	-1	21	пипи		200.292679	40.100399	0	0	10000	-1	-1	0	0	-1	-1	-1	-1	-1	-1	110	0	
11	12	18802	-1	21	пипи		200.392685	40.000401	0	0	10000	-1	-1	0	0	-1	-1	-1	-1	-1	-1	110	0	
12	13	18802	-1	21	пипи		199.292679	40.100399	0	0	10000	-1	-1	0	0	-1	-1	-1	-1	-1	-1	110	0	
13	14	18802	-1	21	пипи		199.292679	41.100399	0	0	10000	-1	-1	0	0	-1	-1	-1	-1	-1	-1	110	0	
14	15	18802	-1	21	пипи		199.292679	39.100399	0	0	10000	-1	-1	0	0	-1	-1	-1	-1	-1	-1	110	0	
15	16	18802	-1	21	пипи		200.292679	41.100399	0	0	10000	-1	-1	0	0	-1	-1	-1	-1	-1	-1	110	0	
16	17	18802	-1	21	пипи		200.292679	39.100399	0	0	10000	-1	-1	0	0	-1	-1	-1	-1	-1	-1	110	0	
17	18	18802	-1	21	пипи		201.292679	40.100399	0	0	10000	-1	-1	0	0	-1	-1	-1	-1	-1	-1	110	0	
18	19	18802	-1	21	пипи		201.292679	41.100399	0	0	10000	-1	-1	0	0	-1	-1	-1	-1	-1	-1	110	0	
19	20	18802	-1	21	пипи		201.292679	39.100399	0	0	10000	-1	-1	0	0	-1	-1	-1	-1	-1	-1	110	0	
20	21	18802	-1	21	пипи		34.631641	19.572676	0	0	10000	-1	-1	0	0	-1	-1	-1	-1	-1	-1	110	0	
21	22	18802	-1	21	пипи		34.731640	19.472675	0	0	10000	-1	-1	0	0	-1	-1	-1	-1	-1	-1	110	0	
22	23	18802	-1	21	пипи		33.631641	19.572676	0	0	10000	-1	-1	0	0	-1	-1	-1	-1	-1	-1	110	0	
